,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,75.0,18.0,2.0,670.0,26.0,218.0,81.0,7.0,34.0,67.0,32.0,28.0,107.0,25.0,9.0,169.0,35.0,7979.0,2.0,0.0,90.0,44.0,56.0,127.0,0.0,436.0,21.0,79.0,10.0,1.0,26.0,8.0,116.0,6.0,0.0,8.0,3.0,154.0,67.0,18.0,74.0,39.0,20.0,4.0,105.0,296.0,391.0,26.0,464.0,107.0,0.0,0.0,359.0,0.0,6.0,3.0,107.0,62.0,45.0,8.0,26.0,3.0,20.0,16.0,34.0,97.0,7.0,151.0,187.0,5.0,1.0,0.0,21.0,48.0,6.0,3.0,56.0,73.0,85.0,13.0,137.0,43.0,11.0,0.0,102.0,20.0,14.0,392.0,253.0,1.0,126.0,6.0,0.0,48.0,27.0,805.0,3.0,293.0,126.0,42.0,15.0,84.0,0.0,33.0,40.0,2.0,133.0,2.0,60.0,69.0,2.0,210.0,0.0,36.0,199.0
Russian Federation,1.0,63.0,1.0,209.0,6.0,16.0,31.0,0.0,0.0,0.0,26.0,1.0,2.0,43.0,5.0,57.0,3.0,4068.0,1.0,1.0,64.0,5.0,7.0,131.0,1.0,185.0,11.0,50.0,6.0,17.0,3.0,1.0,33.0,1.0,0.0,0.0,30.0,119.0,6.0,0.0,12.0,2.0,14.0,21.0,63.0,41.0,90.0,3.0,17.0,33.0,0.0,0.0,370.0,2.0,0.0,0.0,1.0,0.0,5.0,15.0,3.0,0.0,71.0,0.0,40.0,16.0,26.0,123.0,28.0,4.0,0.0,0.0,9.0,11.0,0.0,8.0,17.0,28.0,12.0,5.0,39.0,14.0,11.0,0.0,61.0,18.0,69.0,57.0,5.0,0.0,2.0,1.0,0.0,3.0,1.0,40.0,0.0,144.0,36.0,1.0,3.0,7.0,0.0,15.0,0.0,0.0,76.0,17.0,39.0,32.0,0.0,16.0,1.0,9.0,18.0
Japan,23.0,8.0,5.0,241.0,2.0,15.0,3.0,0.0,17.0,2.0,6.0,8.0,5.0,11.0,4.0,56.0,0.0,3264.0,2.0,1.0,55.0,53.0,40.0,7.0,0.0,63.0,5.0,83.0,283.0,1.0,10.0,1.0,112.0,1.0,0.0,23.0,4.0,221.0,19.0,0.0,8.0,12.0,2.0,1.0,6.0,33.0,54.0,31.0,87.0,53.0,3.0,1.0,165.0,13.0,5.0,88.0,6.0,0.0,22.0,2.0,2.0,0.0,7.0,0.0,15.0,30.0,10.0,74.0,9.0,2.0,1.0,0.0,7.0,40.0,6.0,3.0,20.0,159.0,11.0,0.0,21.0,31.0,5.0,0.0,27.0,14.0,12.0,32.0,34.0,1.0,4.0,8.0,0.0,13.0,2.0,17.0,0.0,97.0,110.0,5.0,2.0,10.0,0.0,5.0,2.0,0.0,41.0,0.0,10.0,20.0,0.0,8.0,0.0,28.0,42.0
Italy,87.0,17.0,5.0,373.0,13.0,102.0,220.0,1.0,19.0,11.0,20.0,60.0,34.0,12.0,12.0,242.0,2.0,20327.0,1.0,1.0,72.0,216.0,144.0,15.0,0.0,215.0,18.0,54.0,17.0,0.0,52.0,78.0,478.0,1.0,0.0,19.0,1.0,385.0,143.0,3.0,16.0,60.0,3.0,0.0,56.0,267.0,772.0,12.0,765.0,912.0,3.0,0.0,596.0,3.0,7.0,0.0,458.0,15.0,55.0,8.0,196.0,1.0,16.0,3.0,47.0,93.0,17.0,432.0,204.0,9.0,2.0,0.0,26.0,89.0,4.0,27.0,267.0,51.0,123.0,11.0,13.0,259.0,29.0,0.0,100.0,218.0,170.0,203.0,225.0,6.0,73.0,14.0,0.0,69.0,4.0,257.0,1.0,142.0,61.0,37.0,96.0,59.0,4.0,47.0,0.0,3.0,63.0,0.0,73.0,94.0,2.0,573.0,1.0,27.0,110.0
Puerto Rico,1.0,2.0,0.0,26.0,1.0,4.0,1.0,0.0,3.0,0.0,4.0,6.0,3.0,9.0,0.0,11.0,0.0,667.0,0.0,0.0,22.0,4.0,33.0,0.0,0.0,19.0,0.0,12.0,2.0,0.0,2.0,1.0,12.0,0.0,0.0,4.0,0.0,21.0,12.0,0.0,1.0,1.0,1.0,0.0,17.0,22.0,21.0,0.0,4.0,11.0,4.0,0.0,60.0,1.0,1.0,0.0,2.0,0.0,8.0,79.0,0.0,1.0,21.0,0.0,3.0,4.0,0.0,10.0,11.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,8.0,4.0,7.0,0.0,36.0,12.0,10.0,0.0,6.0,4.0,5.0,22.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,18.0,7.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,8.0,0.0,21.0,0.0,9.0,32.0
Portugal,2.0,1.0,1.0,140.0,0.0,24.0,9.0,0.0,22.0,1.0,1.0,4.0,7.0,9.0,0.0,46.0,0.0,1759.0,0.0,0.0,20.0,32.0,3.0,1.0,0.0,24.0,0.0,6.0,1.0,0.0,3.0,1.0,31.0,0.0,0.0,0.0,0.0,31.0,4.0,1.0,5.0,4.0,0.0,0.0,1.0,26.0,72.0,1.0,21.0,5.0,1.0,0.0,43.0,0.0,0.0,0.0,26.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,0.0,32.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,4.0,4.0,11.0,1.0,14.0,1.0,2.0,0.0,6.0,2.0,12.0,30.0,8.0,2.0,2.0,0.0,0.0,2.0,10.0,25.0,0.0,38.0,5.0,2.0,2.0,3.0,0.0,0.0,13.0,0.0,39.0,0.0,15.0,2.0,0.0,0.0,0.0,15.0,20.0
Papua New Guinea,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,26.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,6.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
United States,7.0,225.0,16.0,1457.0,34.0,134.0,27.0,5.0,171.0,55.0,131.0,107.0,223.0,107.0,160.0,858.0,6.0,28582.0,13.0,14.0,1103.0,390.0,135.0,81.0,11.0,1479.0,20.0,795.0,37.0,0.0,201.0,78.0,447.0,7.0,0.0,30.0,31.0,762.0,248.0,30.0,117.0,90.0,82.0,14.0,243.0,635.0,666.0,14.0,744.0,411.0,57.0,0.0,2741.0,18.0,10.0,9.0,101.0,19.0,140.0,47.0,49.0,1.0,268.0,3.0,363.0,364.0,97.0,1015.0,202.0,20.0,1.0,16.0,140.0,144.0,25.0,53.0,260.0,406.0,602.0,12.0,211.0,843.0,57.0,27.0,191.0,113.0,307.0,883.0,470.0,35.0,17.0,33.0,0.0,89.0,24.0,434.0,8.0,723.0,388.0,129.0,73.0,143.0,4.0,19.0,71.0,7.0,401.0,5.0,287.0,330.0,2.0,226.0,2.0,227.0,578.0
"Iran, Islamic Republic of",1.0,11.0,1.0,9.0,1.0,5.0,24.0,0.0,2.0,0.0,0.0,0.0,6.0,138.0,1.0,13.0,3.0,452.0,1.0,0.0,9.0,4.0,6.0,76.0,0.0,25.0,2.0,30.0,1.0,0.0,1.0,0.0,17.0,0.0,0.0,3.0,0.0,62.0,98.0,0.0,13.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,15.0,0.0,2.0,0.0,366.0,0.0,2.0,0.0,1.0,6.0,3.0,0.0,6.0,0.0,2.0,0.0,3.0,3.0,5.0,9.0,2.0,0.0,0.0,0.0,3.0,12.0,1.0,2.0,6.0,4.0,6.0,2.0,1.0,6.0,7.0,1.0,3.0,8.0,11.0,14.0,9.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,13.0,4.0,0.0,0.0,9.0,0.0,57.0,2.0,1.0,48.0,4.0,2.0,1.0,0.0,1.0,5.0,11.0,2.0
Belgium,1.0,0.0,0.0,206.0,1.0,3.0,17.0,0.0,5.0,0.0,1.0,2.0,5.0,8.0,1.0,10.0,0.0,1106.0,0.0,0.0,13.0,8.0,5.0,25.0,0.0,49.0,0.0,9.0,7.0,0.0,1.0,2.0,14.0,1.0,0.0,0.0,0.0,19.0,10.0,3.0,3.0,0.0,2.0,0.0,60.0,13.0,25.0,1.0,10.0,6.0,0.0,0.0,91.0,0.0,0.0,1.0,4.0,1.0,3.0,2.0,1.0,0.0,7.0,0.0,5.0,18.0,52.0,20.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,9.0,6.0,5.0,1.0,6.0,12.0,2.0,0.0,5.0,5.0,49.0,11.0,149.0,0.0,6.0,0.0,2.0,9.0,2.0,72.0,0.0,14.0,4.0,1.0,0.0,26.0,0.0,2.0,1.0,0.0,23.0,0.0,4.0,5.0,1.0,2.0,0.0,3.0,6.0
