,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Jordan,1.0,0.0,0.0,19.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,43.0,0.0,3.0,1.0,290.0,0.0,0.0,16.0,4.0,1.0,21.0,0.0,8.0,0.0,19.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,70.0,6.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,17.0,3.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,4.0,4.0,2.0,0.0,3.0,9.0,0.0,0.0,0.0,3.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,11.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0
Spain,78.0,32.0,2.0,657.0,52.0,212.0,83.0,7.0,29.0,73.0,26.0,40.0,111.0,28.0,9.0,170.0,37.0,8159.0,2.0,0.0,91.0,44.0,78.0,123.0,15.0,455.0,28.0,80.0,11.0,1.0,26.0,7.0,114.0,6.0,0.0,10.0,3.0,157.0,65.0,18.0,73.0,32.0,20.0,4.0,107.0,294.0,393.0,26.0,415.0,93.0,0.0,0.0,357.0,0.0,6.0,3.0,108.0,62.0,44.0,8.0,35.0,2.0,43.0,17.0,34.0,102.0,7.0,159.0,156.0,5.0,1.0,0.0,21.0,53.0,6.0,3.0,56.0,73.0,82.0,13.0,139.0,38.0,11.0,0.0,84.0,20.0,14.0,383.0,256.0,1.0,107.0,5.0,0.0,48.0,28.0,825.0,3.0,295.0,131.0,42.0,15.0,86.0,0.0,33.0,41.0,2.0,143.0,2.0,52.0,70.0,3.0,218.0,0.0,48.0,238.0
Luxembourg,1.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,0.0,283.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,6.0,0.0,2.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,11.0
Portugal,3.0,1.0,1.0,141.0,0.0,23.0,9.0,0.0,22.0,1.0,2.0,4.0,6.0,9.0,0.0,46.0,0.0,1826.0,0.0,0.0,20.0,31.0,3.0,1.0,0.0,25.0,0.0,5.0,1.0,0.0,3.0,1.0,28.0,0.0,0.0,0.0,0.0,31.0,4.0,1.0,5.0,4.0,0.0,0.0,2.0,26.0,71.0,1.0,21.0,5.0,1.0,0.0,49.0,0.0,0.0,0.0,27.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,34.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,4.0,5.0,11.0,1.0,16.0,2.0,2.0,0.0,5.0,2.0,13.0,33.0,7.0,2.0,2.0,0.0,0.0,2.0,10.0,30.0,0.0,42.0,4.0,2.0,2.0,3.0,0.0,0.0,13.0,0.0,38.0,0.0,17.0,3.0,0.0,0.0,0.0,14.0,19.0
Norway,4.0,2.0,0.0,58.0,2.0,2.0,1.0,0.0,8.0,0.0,0.0,1.0,5.0,9.0,0.0,5.0,0.0,264.0,2.0,1.0,4.0,2.0,4.0,7.0,0.0,11.0,3.0,8.0,1.0,0.0,6.0,1.0,14.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,2.0,2.0,0.0,0.0,15.0,13.0,28.0,0.0,8.0,2.0,1.0,0.0,48.0,0.0,0.0,0.0,11.0,1.0,2.0,4.0,5.0,0.0,6.0,0.0,4.0,4.0,0.0,27.0,0.0,1.0,0.0,0.0,13.0,12.0,0.0,0.0,3.0,0.0,5.0,0.0,3.0,25.0,2.0,0.0,2.0,0.0,8.0,2.0,63.0,10.0,1.0,0.0,0.0,1.0,0.0,12.0,0.0,12.0,13.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,9.0,11.0,0.0,4.0,2.0,0.0,0.0,7.0,14.0
Puerto Rico,1.0,2.0,0.0,27.0,1.0,4.0,1.0,0.0,3.0,0.0,4.0,7.0,3.0,8.0,0.0,14.0,0.0,660.0,0.0,0.0,21.0,4.0,32.0,0.0,0.0,18.0,0.0,12.0,2.0,0.0,3.0,1.0,11.0,0.0,0.0,4.0,0.0,22.0,11.0,0.0,1.0,1.0,1.0,0.0,25.0,22.0,21.0,0.0,6.0,11.0,4.0,0.0,57.0,1.0,1.0,0.0,2.0,0.0,9.0,79.0,0.0,1.0,9.0,0.0,4.0,4.0,0.0,10.0,11.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,8.0,4.0,7.0,0.0,38.0,13.0,11.0,0.0,6.0,4.0,5.0,22.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,27.0,0.0,19.0,7.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,17.0,0.0,21.0,0.0,8.0,33.0
Italy,78.0,14.0,3.0,363.0,12.0,98.0,217.0,1.0,16.0,9.0,20.0,64.0,39.0,12.0,11.0,252.0,2.0,20887.0,1.0,1.0,71.0,213.0,142.0,15.0,0.0,215.0,18.0,55.0,18.0,0.0,48.0,76.0,499.0,1.0,0.0,17.0,1.0,389.0,144.0,2.0,17.0,59.0,3.0,0.0,51.0,268.0,768.0,14.0,786.0,933.0,3.0,0.0,579.0,3.0,7.0,0.0,449.0,16.0,55.0,8.0,195.0,1.0,17.0,3.0,45.0,93.0,17.0,491.0,208.0,8.0,2.0,0.0,28.0,90.0,4.0,28.0,267.0,58.0,130.0,11.0,12.0,247.0,29.0,0.0,102.0,220.0,186.0,209.0,223.0,6.0,63.0,13.0,0.0,67.0,4.0,282.0,1.0,151.0,70.0,36.0,98.0,58.0,5.0,47.0,0.0,3.0,61.0,0.0,72.0,92.0,2.0,585.0,1.0,27.0,129.0
Japan,23.0,7.0,5.0,210.0,2.0,16.0,3.0,0.0,19.0,2.0,9.0,8.0,5.0,11.0,4.0,55.0,0.0,3180.0,2.0,1.0,46.0,55.0,33.0,7.0,0.0,63.0,6.0,70.0,284.0,1.0,10.0,1.0,110.0,1.0,0.0,25.0,3.0,235.0,18.0,0.0,9.0,11.0,2.0,1.0,6.0,36.0,54.0,29.0,79.0,52.0,3.0,1.0,148.0,13.0,5.0,90.0,6.0,0.0,22.0,2.0,2.0,0.0,7.0,0.0,13.0,25.0,9.0,75.0,11.0,2.0,1.0,0.0,8.0,40.0,7.0,3.0,21.0,161.0,13.0,0.0,21.0,31.0,5.0,0.0,27.0,13.0,21.0,30.0,22.0,1.0,4.0,8.0,0.0,13.0,1.0,11.0,0.0,101.0,110.0,5.0,2.0,10.0,0.0,5.0,2.0,0.0,40.0,0.0,10.0,19.0,0.0,4.0,0.0,22.0,36.0
Russian Federation,1.0,60.0,1.0,214.0,6.0,15.0,31.0,0.0,1.0,0.0,27.0,1.0,2.0,47.0,5.0,55.0,14.0,3961.0,1.0,1.0,66.0,5.0,9.0,164.0,1.0,190.0,11.0,55.0,6.0,18.0,0.0,1.0,35.0,1.0,0.0,0.0,30.0,118.0,6.0,0.0,12.0,2.0,11.0,20.0,65.0,39.0,94.0,2.0,17.0,33.0,0.0,0.0,354.0,0.0,0.0,0.0,1.0,0.0,5.0,14.0,3.0,0.0,76.0,0.0,40.0,16.0,26.0,122.0,26.0,6.0,0.0,0.0,10.0,8.0,0.0,8.0,18.0,25.0,12.0,5.0,44.0,13.0,12.0,0.0,63.0,22.0,66.0,54.0,6.0,0.0,3.0,1.0,0.0,3.0,1.0,32.0,0.0,112.0,35.0,1.0,4.0,9.0,0.0,15.0,0.0,0.0,80.0,16.0,42.0,32.0,0.0,16.0,1.0,9.0,19.0
Papua New Guinea,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,27.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,3.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,41.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
