,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Italy,27.0,9.0,2.0,816.0,29.0,87.0,206.0,1.0,47.0,23.0,13.0,87.0,20.0,18.0,2.0,310.0,0.0,29678.0,1.0,2.0,63.0,98.0,81.0,113.0,1.0,306.0,16.0,82.0,17.0,0.0,68.0,3.0,271.0,3.0,0.0,27.0,4.0,160.0,80.0,5.0,10.0,63.0,5.0,1.0,62.0,342.0,647.0,21.0,436.0,398.0,1.0,0.0,518.0,2.0,1.0,1.0,175.0,26.0,122.0,5.0,5.0,1.0,48.0,0.0,73.0,158.0,14.0,1041.0,290.0,13.0,0.0,0.0,15.0,91.0,5.0,64.0,148.0,210.0,153.0,4.0,50.0,125.0,121.0,2.0,94.0,306.0,796.0,348.0,215.0,2.0,23.0,12.0,0.0,16.0,9.0,245.0,3.0,295.0,106.0,17.0,64.0,31.0,2.0,48.0,1.0,10.0,124.0,0.0,71.0,117.0,0.0,40.0,0.0,26.0,165.0
Costa Rica,2.0,1.0,5.0,5.0,0.0,9.0,10.0,0.0,1.0,3.0,6.0,4.0,1.0,5.0,0.0,7.0,0.0,903.0,7.0,0.0,1.0,2.0,29.0,5.0,0.0,4.0,0.0,6.0,2.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,9.0,3.0,0.0,20.0,18.0,14.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,1.0,7.0,1.0,0.0,13.0,11.0,5.0,11.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,5.0,0.0,18.0,5.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,18.0,15.0
United States,15.0,286.0,43.0,4735.0,86.0,248.0,104.0,14.0,195.0,122.0,264.0,241.0,300.0,152.0,204.0,1542.0,16.0,46940.0,37.0,35.0,2423.0,963.0,315.0,134.0,49.0,2226.0,34.0,1302.0,111.0,2.0,840.0,99.0,837.0,8.0,1.0,68.0,46.0,1096.0,416.0,62.0,203.0,157.0,104.0,19.0,1049.0,1474.0,1574.0,46.0,1507.0,864.0,62.0,1.0,5094.0,44.0,26.0,10.0,188.0,56.0,249.0,141.0,10.0,4.0,638.0,8.0,886.0,709.0,200.0,2117.0,231.0,43.0,1.0,13.0,368.0,246.0,83.0,75.0,480.0,1169.0,440.0,27.0,488.0,1065.0,131.0,44.0,366.0,141.0,880.0,1237.0,1043.0,42.0,36.0,113.0,3.0,141.0,57.0,510.0,33.0,1273.0,520.0,210.0,118.0,260.0,16.0,21.0,78.0,18.0,658.0,33.0,460.0,692.0,6.0,153.0,1.0,412.0,1296.0
Japan,13.0,40.0,2.0,221.0,0.0,7.0,3.0,0.0,21.0,1.0,58.0,14.0,3.0,9.0,6.0,39.0,0.0,2116.0,4.0,2.0,50.0,77.0,35.0,14.0,0.0,100.0,3.0,58.0,113.0,0.0,16.0,2.0,73.0,1.0,0.0,6.0,16.0,183.0,12.0,1.0,12.0,15.0,5.0,0.0,22.0,90.0,88.0,14.0,73.0,46.0,0.0,0.0,270.0,38.0,1.0,59.0,4.0,1.0,24.0,1.0,0.0,1.0,4.0,0.0,45.0,32.0,15.0,107.0,7.0,1.0,0.0,0.0,9.0,32.0,6.0,3.0,19.0,168.0,19.0,3.0,2.0,31.0,1.0,2.0,29.0,14.0,64.0,18.0,15.0,2.0,1.0,4.0,0.0,7.0,0.0,36.0,3.0,101.0,33.0,4.0,4.0,28.0,0.0,0.0,2.0,0.0,39.0,0.0,3.0,41.0,0.0,4.0,0.0,20.0,48.0
Cameroon,1.0,1.0,2.0,43.0,0.0,1.0,0.0,3.0,3.0,0.0,2.0,3.0,0.0,266.0,7.0,2.0,1.0,247.0,0.0,0.0,7.0,3.0,6.0,6.0,1.0,31.0,0.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.0,0.0,18.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,6.0,5.0,1.0,3.0,1.0,4.0,0.0,14.0,0.0,0.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,85.0,0.0,32.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,2.0,0.0,24.0,0.0,1.0,2.0,7.0,0.0,2.0,0.0,6.0,2.0,5.0,0.0,0.0,6.0,0.0,0.0,4.0,13.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,23.0,4.0,0.0,1.0,3.0,60.0,3.0
Grenada,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,258.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0
Spain,68.0,2.0,3.0,1154.0,19.0,145.0,125.0,0.0,38.0,58.0,126.0,16.0,95.0,123.0,3.0,260.0,4.0,11336.0,2.0,3.0,126.0,100.0,129.0,144.0,3.0,609.0,38.0,75.0,18.0,0.0,75.0,15.0,178.0,4.0,0.0,4.0,65.0,250.0,73.0,1.0,44.0,85.0,18.0,0.0,356.0,299.0,494.0,66.0,498.0,76.0,2.0,0.0,855.0,0.0,1.0,2.0,52.0,17.0,84.0,18.0,14.0,9.0,95.0,4.0,131.0,167.0,53.0,481.0,150.0,0.0,1.0,0.0,5.0,28.0,53.0,5.0,26.0,86.0,86.0,21.0,143.0,36.0,7.0,2.0,85.0,18.0,72.0,352.0,276.0,2.0,149.0,8.0,0.0,49.0,6.0,331.0,6.0,262.0,120.0,39.0,14.0,42.0,1.0,17.0,7.0,0.0,300.0,10.0,42.0,149.0,1.0,75.0,0.0,45.0,161.0
Norway,1.0,0.0,5.0,50.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,21.0,4.0,0.0,3.0,0.0,562.0,2.0,0.0,4.0,4.0,6.0,3.0,0.0,24.0,11.0,17.0,2.0,0.0,12.0,2.0,15.0,0.0,0.0,0.0,0.0,6.0,10.0,1.0,4.0,1.0,1.0,0.0,34.0,32.0,41.0,0.0,17.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,2.0,0.0,3.0,1.0,5.0,14.0,0.0,31.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,2.0,10.0,3.0,4.0,0.0,7.0,34.0,2.0,0.0,2.0,0.0,8.0,10.0,65.0,1.0,0.0,1.0,0.0,8.0,2.0,6.0,0.0,20.0,16.0,0.0,10.0,16.0,0.0,1.0,1.0,0.0,9.0,0.0,6.0,11.0,0.0,0.0,0.0,1.0,31.0
Nigeria,1.0,2.0,1.0,44.0,1.0,1.0,5.0,25.0,3.0,0.0,22.0,15.0,5.0,152.0,2.0,29.0,0.0,1070.0,1.0,0.0,32.0,8.0,6.0,7.0,24.0,231.0,4.0,42.0,1.0,0.0,3.0,1.0,16.0,6.0,0.0,29.0,4.0,23.0,15.0,1.0,4.0,2.0,11.0,0.0,12.0,66.0,27.0,0.0,15.0,2.0,12.0,0.0,46.0,0.0,0.0,407.0,1.0,1.0,102.0,1.0,0.0,1.0,6.0,0.0,7.0,285.0,177.0,218.0,15.0,0.0,0.0,0.0,1.0,3.0,36.0,0.0,11.0,11.0,109.0,1.0,6.0,20.0,10.0,0.0,6.0,0.0,58.0,35.0,23.0,0.0,4.0,34.0,0.0,5.0,13.0,112.0,0.0,8.0,5.0,0.0,7.0,3.0,6.0,1.0,0.0,1.0,58.0,0.0,79.0,17.0,0.0,1.0,1.0,39.0,44.0
Portugal,10.0,2.0,0.0,307.0,2.0,12.0,8.0,0.0,4.0,0.0,29.0,20.0,3.0,2.0,0.0,97.0,1.0,3141.0,0.0,0.0,13.0,13.0,95.0,2.0,0.0,98.0,0.0,17.0,0.0,0.0,12.0,2.0,65.0,1.0,0.0,3.0,0.0,38.0,8.0,2.0,9.0,4.0,0.0,0.0,22.0,49.0,60.0,2.0,32.0,6.0,1.0,0.0,168.0,1.0,0.0,2.0,59.0,4.0,20.0,2.0,0.0,0.0,2.0,1.0,19.0,53.0,0.0,270.0,6.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,22.0,18.0,27.0,1.0,34.0,6.0,6.0,0.0,16.0,11.0,29.0,78.0,23.0,0.0,6.0,3.0,0.0,5.0,5.0,63.0,0.0,247.0,17.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,40.0,0.0,13.0,25.0,0.0,6.0,0.0,13.0,62.0
