,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,52.0,2.0,3.0,1097.0,17.0,150.0,120.0,0.0,38.0,62.0,123.0,15.0,90.0,81.0,4.0,252.0,4.0,11285.0,2.0,3.0,118.0,99.0,136.0,159.0,3.0,618.0,36.0,70.0,17.0,0.0,91.0,15.0,175.0,4.0,0.0,4.0,65.0,235.0,72.0,2.0,41.0,83.0,18.0,0.0,307.0,253.0,447.0,67.0,501.0,71.0,2.0,0.0,829.0,0.0,0.0,2.0,42.0,16.0,79.0,18.0,14.0,9.0,76.0,3.0,122.0,156.0,54.0,475.0,145.0,4.0,1.0,0.0,6.0,26.0,53.0,5.0,23.0,75.0,88.0,21.0,144.0,37.0,7.0,2.0,86.0,18.0,66.0,341.0,271.0,2.0,149.0,8.0,0.0,49.0,4.0,307.0,5.0,257.0,117.0,41.0,16.0,41.0,1.0,19.0,7.0,0.0,281.0,10.0,42.0,150.0,1.0,70.0,0.0,43.0,154.0
Italy,34.0,8.0,2.0,840.0,26.0,86.0,216.0,1.0,45.0,23.0,14.0,76.0,16.0,18.0,3.0,309.0,0.0,28863.0,1.0,2.0,65.0,81.0,52.0,114.0,1.0,318.0,18.0,82.0,19.0,0.0,67.0,3.0,257.0,4.0,0.0,24.0,4.0,147.0,83.0,6.0,13.0,62.0,5.0,1.0,60.0,352.0,630.0,19.0,419.0,372.0,2.0,0.0,478.0,2.0,1.0,1.0,172.0,27.0,119.0,6.0,5.0,1.0,35.0,0.0,77.0,149.0,14.0,1042.0,270.0,14.0,0.0,0.0,12.0,92.0,16.0,55.0,156.0,201.0,154.0,4.0,47.0,160.0,110.0,2.0,78.0,313.0,815.0,306.0,226.0,2.0,27.0,14.0,0.0,17.0,11.0,197.0,2.0,297.0,101.0,14.0,86.0,28.0,2.0,56.0,0.0,11.0,127.0,1.0,66.0,112.0,1.0,34.0,0.0,21.0,140.0
United States,15.0,298.0,44.0,4493.0,88.0,285.0,105.0,11.0,198.0,118.0,191.0,222.0,299.0,152.0,211.0,1493.0,15.0,45315.0,36.0,36.0,2338.0,879.0,317.0,131.0,45.0,2256.0,33.0,1273.0,100.0,1.0,830.0,97.0,831.0,7.0,1.0,66.0,47.0,1102.0,387.0,59.0,207.0,136.0,106.0,17.0,1026.0,1483.0,1544.0,44.0,1440.0,743.0,66.0,1.0,4981.0,40.0,26.0,10.0,177.0,52.0,246.0,156.0,22.0,4.0,594.0,5.0,914.0,686.0,205.0,2113.0,229.0,47.0,1.0,12.0,368.0,237.0,94.0,82.0,439.0,1125.0,461.0,26.0,482.0,1067.0,131.0,45.0,371.0,138.0,860.0,1172.0,966.0,23.0,35.0,113.0,3.0,148.0,53.0,521.0,37.0,1295.0,433.0,198.0,126.0,267.0,14.0,18.0,81.0,15.0,646.0,31.0,453.0,691.0,6.0,130.0,1.0,398.0,1272.0
Japan,10.0,40.0,2.0,225.0,0.0,7.0,3.0,0.0,19.0,1.0,58.0,14.0,3.0,9.0,6.0,39.0,0.0,2035.0,4.0,2.0,53.0,72.0,37.0,15.0,0.0,99.0,3.0,54.0,118.0,0.0,14.0,2.0,69.0,1.0,0.0,11.0,16.0,175.0,12.0,1.0,12.0,12.0,5.0,0.0,22.0,80.0,81.0,13.0,67.0,43.0,0.0,0.0,254.0,38.0,1.0,66.0,3.0,1.0,22.0,2.0,0.0,1.0,5.0,0.0,57.0,29.0,15.0,108.0,7.0,1.0,0.0,0.0,9.0,32.0,6.0,3.0,18.0,168.0,19.0,3.0,2.0,26.0,1.0,2.0,28.0,14.0,57.0,18.0,13.0,2.0,1.0,8.0,0.0,8.0,0.0,36.0,3.0,103.0,51.0,4.0,4.0,27.0,0.0,0.0,2.0,0.0,36.0,0.0,1.0,29.0,0.0,3.0,0.0,20.0,51.0
"Macedonia, Republic of",1.0,0.0,0.0,23.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,721.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,49.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,16.0,12.0,57.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0
Austria,1.0,1.0,4.0,92.0,3.0,2.0,1.0,0.0,1.0,0.0,7.0,8.0,4.0,5.0,0.0,24.0,0.0,1405.0,0.0,1.0,5.0,8.0,5.0,33.0,0.0,27.0,4.0,7.0,3.0,0.0,17.0,0.0,60.0,1.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,5.0,2.0,0.0,19.0,52.0,39.0,0.0,16.0,16.0,0.0,0.0,178.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,7.0,5.0,0.0,111.0,11.0,1.0,0.0,0.0,1.0,8.0,0.0,4.0,3.0,18.0,8.0,0.0,1.0,4.0,1.0,0.0,5.0,12.0,31.0,13.0,19.0,0.0,0.0,0.0,0.0,7.0,3.0,49.0,10.0,47.0,13.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,26.0,0.0,6.0,12.0,1.0,4.0,0.0,4.0,19.0
Belgium,3.0,2.0,0.0,204.0,0.0,2.0,21.0,0.0,3.0,1.0,10.0,0.0,2.0,3.0,1.0,42.0,0.0,1640.0,0.0,1.0,14.0,23.0,11.0,12.0,0.0,88.0,1.0,10.0,6.0,0.0,15.0,0.0,73.0,0.0,0.0,1.0,0.0,114.0,91.0,0.0,2.0,2.0,2.0,0.0,14.0,23.0,6.0,0.0,34.0,11.0,1.0,0.0,186.0,0.0,0.0,0.0,24.0,1.0,6.0,1.0,6.0,0.0,4.0,0.0,5.0,21.0,2.0,61.0,7.0,0.0,0.0,0.0,12.0,10.0,1.0,1.0,9.0,8.0,15.0,2.0,13.0,38.0,1.0,1.0,10.0,5.0,22.0,25.0,468.0,1.0,6.0,0.0,1.0,6.0,4.0,41.0,0.0,34.0,15.0,5.0,0.0,7.0,0.0,2.0,0.0,1.0,29.0,0.0,10.0,12.0,0.0,1.0,0.0,9.0,19.0
Ireland,1.0,4.0,0.0,185.0,1.0,10.0,0.0,0.0,7.0,0.0,4.0,3.0,35.0,3.0,0.0,71.0,0.0,2750.0,1.0,2.0,19.0,7.0,13.0,1.0,0.0,84.0,2.0,45.0,2.0,0.0,6.0,0.0,94.0,1.0,0.0,1.0,3.0,242.0,14.0,3.0,21.0,4.0,1.0,1.0,81.0,63.0,80.0,0.0,31.0,9.0,0.0,0.0,314.0,0.0,0.0,3.0,3.0,0.0,8.0,4.0,5.0,0.0,33.0,3.0,7.0,14.0,0.0,52.0,11.0,1.0,0.0,0.0,15.0,5.0,3.0,0.0,7.0,6.0,15.0,1.0,7.0,26.0,0.0,0.0,13.0,8.0,27.0,45.0,180.0,1.0,2.0,1.0,0.0,10.0,2.0,10.0,0.0,75.0,21.0,14.0,2.0,11.0,0.0,2.0,4.0,0.0,19.0,0.0,31.0,22.0,0.0,1.0,1.0,5.0,11.0
Netherlands,11.0,1.0,0.0,940.0,2.0,8.0,1.0,0.0,3.0,1.0,21.0,3.0,5.0,3.0,1.0,31.0,0.0,1195.0,1.0,0.0,17.0,18.0,9.0,7.0,0.0,35.0,0.0,32.0,6.0,0.0,4.0,0.0,46.0,0.0,0.0,1.0,1.0,26.0,5.0,0.0,3.0,5.0,0.0,1.0,12.0,43.0,19.0,1.0,19.0,14.0,0.0,0.0,135.0,0.0,0.0,0.0,5.0,0.0,4.0,7.0,0.0,0.0,27.0,0.0,18.0,13.0,0.0,36.0,18.0,3.0,0.0,0.0,12.0,4.0,0.0,3.0,18.0,13.0,19.0,20.0,5.0,37.0,1.0,0.0,32.0,11.0,14.0,29.0,73.0,0.0,2.0,4.0,1.0,0.0,4.0,20.0,0.0,27.0,5.0,1.0,9.0,4.0,0.0,0.0,1.0,0.0,22.0,0.0,48.0,17.0,0.0,0.0,0.0,4.0,16.0
Costa Rica,2.0,1.0,5.0,5.0,0.0,11.0,9.0,0.0,1.0,3.0,7.0,4.0,1.0,6.0,0.0,8.0,0.0,893.0,7.0,0.0,0.0,2.0,26.0,6.0,0.0,3.0,0.0,6.0,3.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,10.0,1.0,0.0,18.0,18.0,12.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,1.0,7.0,1.0,0.0,13.0,11.0,5.0,8.0,3.0,0.0,2.0,0.0,0.0,4.0,0.0,7.0,0.0,18.0,5.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,20.0,17.0
Cameroon,1.0,1.0,1.0,40.0,0.0,1.0,0.0,3.0,3.0,0.0,2.0,7.0,0.0,247.0,11.0,1.0,1.0,251.0,0.0,0.0,7.0,1.0,11.0,7.0,1.0,31.0,0.0,8.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,17.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,6.0,4.0,1.0,3.0,1.0,3.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,80.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,27.0,0.0,1.0,2.0,7.0,0.0,3.0,0.0,5.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,13.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,2.0,0.0,1.0,3.0,62.0,2.0
Grenada,1.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,256.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0
