,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Netherlands,6.0,1.0,0.0,928.0,2.0,9.0,1.0,1.0,3.0,1.0,21.0,3.0,4.0,3.0,1.0,25.0,0.0,1124.0,1.0,0.0,18.0,18.0,8.0,7.0,0.0,31.0,0.0,30.0,6.0,0.0,4.0,0.0,41.0,0.0,0.0,0.0,1.0,27.0,6.0,0.0,2.0,4.0,0.0,1.0,11.0,34.0,18.0,1.0,19.0,14.0,0.0,0.0,137.0,0.0,0.0,0.0,3.0,0.0,3.0,7.0,0.0,0.0,27.0,0.0,19.0,14.0,0.0,34.0,17.0,3.0,0.0,0.0,7.0,4.0,0.0,4.0,18.0,13.0,17.0,22.0,5.0,36.0,1.0,0.0,25.0,12.0,14.0,29.0,73.0,0.0,2.0,4.0,1.0,1.0,7.0,20.0,0.0,26.0,8.0,1.0,9.0,4.0,0.0,0.0,1.0,0.0,21.0,0.0,47.0,17.0,0.0,0.0,0.0,4.0,13.0
Italy,27.0,9.0,2.0,821.0,29.0,87.0,206.0,1.0,47.0,23.0,13.0,86.0,20.0,18.0,2.0,309.0,0.0,29656.0,1.0,2.0,62.0,95.0,81.0,114.0,1.0,313.0,16.0,82.0,17.0,0.0,68.0,3.0,270.0,3.0,0.0,27.0,4.0,157.0,80.0,5.0,10.0,62.0,5.0,1.0,62.0,342.0,640.0,21.0,433.0,394.0,1.0,0.0,506.0,2.0,1.0,1.0,175.0,25.0,124.0,5.0,5.0,1.0,47.0,0.0,73.0,157.0,14.0,1017.0,287.0,13.0,0.0,0.0,15.0,91.0,5.0,64.0,147.0,210.0,154.0,4.0,50.0,128.0,121.0,2.0,91.0,305.0,802.0,346.0,221.0,2.0,25.0,12.0,0.0,15.0,9.0,246.0,3.0,294.0,105.0,17.0,64.0,30.0,2.0,48.0,1.0,10.0,124.0,0.0,68.0,117.0,0.0,39.0,0.0,26.0,165.0
Costa Rica,2.0,1.0,5.0,5.0,0.0,9.0,10.0,0.0,1.0,3.0,7.0,4.0,1.0,5.0,0.0,7.0,0.0,902.0,7.0,0.0,0.0,2.0,29.0,6.0,0.0,4.0,0.0,6.0,2.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,9.0,3.0,0.0,20.0,18.0,14.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,1.0,7.0,1.0,0.0,13.0,11.0,5.0,11.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,6.0,0.0,17.0,5.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,19.0,15.0
United States,14.0,286.0,43.0,4727.0,85.0,250.0,104.0,14.0,194.0,121.0,263.0,241.0,296.0,151.0,204.0,1551.0,16.0,46961.0,37.0,36.0,2433.0,965.0,315.0,134.0,49.0,2223.0,34.0,1301.0,110.0,2.0,840.0,99.0,840.0,8.0,1.0,68.0,46.0,1096.0,411.0,60.0,203.0,156.0,104.0,19.0,1047.0,1476.0,1576.0,46.0,1507.0,860.0,62.0,1.0,5087.0,44.0,26.0,10.0,187.0,56.0,248.0,141.0,10.0,4.0,643.0,8.0,886.0,707.0,200.0,2116.0,231.0,43.0,1.0,13.0,368.0,242.0,83.0,75.0,473.0,1166.0,446.0,27.0,487.0,1069.0,128.0,44.0,365.0,140.0,880.0,1232.0,1042.0,42.0,36.0,112.0,3.0,142.0,57.0,513.0,33.0,1278.0,521.0,207.0,118.0,259.0,16.0,21.0,77.0,18.0,656.0,33.0,449.0,691.0,6.0,150.0,1.0,409.0,1294.0
Japan,9.0,40.0,2.0,221.0,0.0,7.0,3.0,0.0,21.0,1.0,58.0,14.0,3.0,9.0,6.0,40.0,0.0,2110.0,4.0,2.0,50.0,76.0,35.0,14.0,0.0,100.0,3.0,57.0,116.0,0.0,16.0,2.0,72.0,1.0,0.0,6.0,16.0,181.0,12.0,1.0,12.0,14.0,5.0,0.0,22.0,89.0,84.0,14.0,73.0,46.0,0.0,0.0,270.0,38.0,1.0,59.0,4.0,1.0,24.0,1.0,0.0,1.0,4.0,0.0,47.0,32.0,15.0,108.0,7.0,1.0,0.0,0.0,9.0,33.0,6.0,3.0,19.0,168.0,19.0,3.0,2.0,31.0,1.0,2.0,29.0,14.0,64.0,18.0,12.0,2.0,1.0,4.0,0.0,8.0,0.0,36.0,3.0,101.0,33.0,4.0,4.0,28.0,0.0,0.0,2.0,0.0,41.0,0.0,2.0,38.0,0.0,4.0,0.0,20.0,49.0
Cameroon,1.0,1.0,2.0,43.0,0.0,1.0,0.0,3.0,3.0,0.0,2.0,7.0,0.0,266.0,7.0,1.0,1.0,246.0,0.0,0.0,6.0,3.0,10.0,6.0,1.0,31.0,0.0,8.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.0,0.0,18.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,6.0,5.0,1.0,3.0,1.0,4.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,85.0,0.0,32.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,2.0,0.0,28.0,0.0,1.0,2.0,7.0,0.0,2.0,0.0,5.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,13.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,4.0,0.0,1.0,3.0,65.0,3.0
Grenada,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,261.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0
Spain,68.0,2.0,3.0,1153.0,19.0,145.0,120.0,0.0,38.0,58.0,126.0,16.0,95.0,78.0,3.0,261.0,4.0,11317.0,2.0,3.0,125.0,100.0,130.0,144.0,3.0,610.0,38.0,75.0,18.0,0.0,75.0,15.0,181.0,4.0,0.0,4.0,65.0,249.0,74.0,1.0,43.0,85.0,18.0,0.0,344.0,286.0,488.0,65.0,498.0,76.0,2.0,0.0,854.0,0.0,1.0,2.0,48.0,17.0,84.0,17.0,14.0,9.0,88.0,4.0,130.0,166.0,53.0,485.0,149.0,0.0,1.0,0.0,5.0,28.0,53.0,5.0,26.0,77.0,86.0,21.0,142.0,36.0,7.0,2.0,85.0,18.0,71.0,359.0,276.0,2.0,149.0,8.0,0.0,49.0,6.0,334.0,5.0,262.0,120.0,39.0,14.0,42.0,1.0,17.0,7.0,0.0,296.0,10.0,42.0,148.0,1.0,75.0,0.0,45.0,160.0
Norway,1.0,0.0,5.0,51.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,11.0,4.0,0.0,3.0,0.0,547.0,2.0,0.0,4.0,4.0,6.0,4.0,0.0,24.0,11.0,18.0,2.0,0.0,12.0,2.0,15.0,0.0,0.0,0.0,0.0,6.0,10.0,1.0,3.0,1.0,1.0,0.0,32.0,30.0,39.0,0.0,18.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,2.0,0.0,3.0,1.0,5.0,15.0,0.0,31.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,2.0,10.0,3.0,4.0,0.0,7.0,35.0,2.0,0.0,2.0,0.0,6.0,9.0,65.0,1.0,0.0,1.0,0.0,8.0,2.0,6.0,0.0,19.0,14.0,0.0,10.0,16.0,0.0,1.0,1.0,0.0,9.0,0.0,6.0,11.0,0.0,0.0,0.0,1.0,31.0
Nigeria,1.0,2.0,1.0,44.0,1.0,1.0,5.0,25.0,3.0,0.0,22.0,15.0,5.0,157.0,2.0,26.0,0.0,1068.0,1.0,0.0,32.0,8.0,6.0,7.0,24.0,232.0,4.0,43.0,1.0,0.0,3.0,1.0,16.0,6.0,0.0,29.0,4.0,23.0,15.0,1.0,5.0,2.0,11.0,0.0,12.0,66.0,27.0,0.0,15.0,2.0,12.0,0.0,46.0,0.0,0.0,407.0,1.0,1.0,105.0,1.0,0.0,1.0,6.0,0.0,7.0,287.0,177.0,217.0,15.0,0.0,0.0,0.0,1.0,3.0,36.0,0.0,11.0,11.0,109.0,1.0,6.0,20.0,10.0,0.0,6.0,0.0,57.0,36.0,23.0,0.0,4.0,34.0,0.0,5.0,13.0,111.0,0.0,8.0,5.0,0.0,7.0,3.0,6.0,1.0,0.0,1.0,58.0,0.0,79.0,16.0,0.0,1.0,1.0,39.0,44.0
