,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
New Zealand,1.0,4.0,0.0,18.0,1.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,2.0,0.0,16.0,0.0,585.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,9.0,2.0,15.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,9.0,4.0,1.0,0.0,7.0,7.0,15.0,0.0,8.0,2.0,0.0,0.0,181.0,0.0,0.0,0.0,7.0,0.0,4.0,7.0,1.0,0.0,2.0,0.0,11.0,7.0,0.0,114.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,13.0,5.0,7.0,5.0,0.0,1.0,26.0,0.0,0.0,9.0,18.0,15.0,17.0,25.0,11.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,25.0,8.0,6.0,0.0,21.0,0.0,0.0,0.0,0.0,6.0,0.0,16.0,9.0,0.0,0.0,0.0,2.0,3.0
"Venezuela, Bolivarian Republic of",3.0,0.0,0.0,4.0,0.0,4.0,5.0,0.0,0.0,6.0,16.0,2.0,2.0,9.0,0.0,15.0,0.0,887.0,0.0,0.0,9.0,6.0,16.0,16.0,0.0,23.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,3.0,3.0,0.0,8.0,18.0,13.0,0.0,10.0,1.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,3.0,10.0,3.0,0.0,0.0,0.0,0.0,2.0,67.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,50.0,0.0,5.0,0.0,0.0,0.0,15.0,28.0,1.0,23.0,1.0,0.0,9.0,2.0,0.0,0.0,1.0,11.0,0.0,42.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,33.0,0.0,5.0,2.0,0.0,0.0,0.0,33.0,21.0
Spain,51.0,2.0,3.0,1076.0,17.0,150.0,120.0,0.0,38.0,62.0,124.0,14.0,90.0,81.0,4.0,250.0,4.0,11189.0,2.0,3.0,118.0,97.0,136.0,159.0,3.0,615.0,36.0,70.0,17.0,0.0,91.0,15.0,175.0,4.0,0.0,4.0,65.0,233.0,73.0,2.0,41.0,83.0,18.0,0.0,304.0,252.0,444.0,67.0,501.0,71.0,2.0,0.0,804.0,0.0,0.0,2.0,42.0,16.0,77.0,18.0,14.0,9.0,76.0,3.0,122.0,155.0,54.0,473.0,144.0,4.0,1.0,0.0,6.0,26.0,53.0,5.0,23.0,72.0,88.0,21.0,144.0,37.0,6.0,2.0,86.0,17.0,66.0,338.0,267.0,2.0,149.0,8.0,0.0,49.0,4.0,301.0,5.0,256.0,117.0,40.0,16.0,41.0,1.0,19.0,7.0,0.0,281.0,10.0,42.0,149.0,1.0,69.0,0.0,43.0,146.0
Italy,34.0,8.0,2.0,840.0,26.0,86.0,217.0,1.0,45.0,23.0,14.0,76.0,15.0,18.0,3.0,307.0,0.0,28717.0,1.0,2.0,65.0,78.0,48.0,114.0,1.0,318.0,18.0,82.0,19.0,0.0,67.0,3.0,256.0,4.0,0.0,24.0,4.0,144.0,83.0,6.0,13.0,62.0,5.0,1.0,60.0,351.0,622.0,17.0,417.0,357.0,2.0,0.0,466.0,2.0,0.0,1.0,172.0,29.0,119.0,6.0,5.0,1.0,34.0,0.0,77.0,149.0,14.0,1030.0,268.0,14.0,0.0,0.0,12.0,91.0,16.0,55.0,155.0,186.0,154.0,4.0,47.0,147.0,110.0,2.0,78.0,311.0,814.0,302.0,226.0,2.0,27.0,15.0,0.0,16.0,11.0,192.0,2.0,297.0,101.0,14.0,85.0,28.0,2.0,56.0,0.0,11.0,126.0,1.0,67.0,112.0,1.0,34.0,0.0,21.0,140.0
United States,15.0,298.0,44.0,4469.0,88.0,284.0,103.0,11.0,197.0,119.0,188.0,222.0,298.0,152.0,209.0,1481.0,15.0,44808.0,36.0,35.0,2330.0,868.0,311.0,131.0,45.0,2246.0,33.0,1271.0,100.0,1.0,827.0,98.0,826.0,7.0,1.0,66.0,47.0,1099.0,385.0,59.0,207.0,135.0,106.0,17.0,1022.0,1469.0,1533.0,44.0,1426.0,735.0,66.0,1.0,4956.0,40.0,26.0,9.0,174.0,52.0,245.0,156.0,21.0,4.0,593.0,5.0,910.0,680.0,206.0,2105.0,228.0,47.0,1.0,12.0,368.0,233.0,93.0,80.0,434.0,1120.0,458.0,26.0,473.0,1051.0,131.0,44.0,364.0,135.0,851.0,1149.0,961.0,23.0,35.0,113.0,3.0,145.0,52.0,518.0,38.0,1284.0,430.0,164.0,126.0,267.0,14.0,17.0,81.0,15.0,643.0,30.0,451.0,685.0,6.0,129.0,1.0,397.0,1270.0
Japan,10.0,40.0,2.0,225.0,0.0,7.0,3.0,0.0,18.0,1.0,58.0,14.0,3.0,9.0,6.0,39.0,0.0,2018.0,4.0,2.0,53.0,72.0,36.0,15.0,0.0,97.0,3.0,54.0,118.0,0.0,14.0,2.0,68.0,1.0,0.0,11.0,16.0,175.0,12.0,1.0,12.0,12.0,4.0,0.0,22.0,80.0,81.0,13.0,67.0,43.0,0.0,0.0,253.0,38.0,1.0,66.0,3.0,1.0,22.0,2.0,0.0,1.0,5.0,0.0,56.0,29.0,14.0,107.0,7.0,1.0,0.0,0.0,8.0,32.0,6.0,3.0,18.0,168.0,19.0,3.0,2.0,26.0,1.0,2.0,28.0,14.0,57.0,18.0,13.0,2.0,1.0,8.0,0.0,8.0,0.0,36.0,3.0,102.0,51.0,4.0,4.0,27.0,0.0,0.0,2.0,0.0,36.0,0.0,1.0,29.0,0.0,3.0,0.0,20.0,51.0
"Macedonia, Republic of",1.0,0.0,0.0,23.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,720.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,49.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,16.0,12.0,57.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0
Austria,1.0,1.0,4.0,92.0,3.0,2.0,1.0,0.0,1.0,0.0,7.0,8.0,4.0,5.0,0.0,24.0,0.0,1402.0,0.0,1.0,5.0,8.0,5.0,32.0,0.0,27.0,4.0,7.0,3.0,0.0,17.0,0.0,60.0,1.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,4.0,2.0,0.0,19.0,51.0,39.0,0.0,16.0,16.0,0.0,0.0,178.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,7.0,5.0,0.0,111.0,11.0,1.0,0.0,0.0,1.0,8.0,0.0,4.0,3.0,15.0,7.0,0.0,1.0,4.0,1.0,0.0,5.0,12.0,31.0,13.0,19.0,0.0,0.0,0.0,0.0,7.0,3.0,49.0,10.0,47.0,13.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,26.0,0.0,6.0,12.0,1.0,4.0,0.0,4.0,19.0
Belgium,3.0,2.0,0.0,203.0,0.0,2.0,21.0,0.0,3.0,1.0,10.0,0.0,2.0,3.0,1.0,42.0,0.0,1637.0,0.0,1.0,14.0,23.0,11.0,12.0,0.0,87.0,1.0,10.0,6.0,0.0,15.0,0.0,73.0,0.0,0.0,1.0,0.0,114.0,91.0,0.0,2.0,2.0,2.0,0.0,14.0,23.0,6.0,0.0,34.0,11.0,1.0,0.0,186.0,0.0,0.0,0.0,24.0,1.0,6.0,1.0,6.0,0.0,4.0,0.0,5.0,21.0,2.0,61.0,7.0,0.0,0.0,0.0,12.0,10.0,1.0,1.0,9.0,8.0,15.0,2.0,13.0,38.0,1.0,1.0,10.0,5.0,22.0,25.0,466.0,1.0,6.0,0.0,1.0,6.0,4.0,41.0,0.0,34.0,15.0,5.0,0.0,7.0,0.0,2.0,0.0,1.0,29.0,0.0,9.0,12.0,0.0,1.0,0.0,9.0,19.0
Ireland,1.0,4.0,0.0,185.0,1.0,10.0,0.0,0.0,7.0,0.0,4.0,3.0,35.0,3.0,0.0,71.0,0.0,2732.0,1.0,2.0,18.0,7.0,12.0,1.0,0.0,84.0,2.0,45.0,2.0,0.0,6.0,0.0,93.0,1.0,0.0,1.0,3.0,242.0,14.0,3.0,15.0,4.0,1.0,1.0,81.0,63.0,79.0,0.0,31.0,9.0,0.0,0.0,311.0,0.0,0.0,3.0,3.0,0.0,8.0,4.0,5.0,0.0,33.0,3.0,7.0,14.0,0.0,52.0,10.0,1.0,0.0,0.0,15.0,5.0,3.0,0.0,7.0,6.0,15.0,1.0,7.0,26.0,0.0,0.0,13.0,8.0,27.0,39.0,180.0,1.0,2.0,1.0,0.0,10.0,2.0,10.0,0.0,75.0,21.0,14.0,2.0,11.0,0.0,2.0,4.0,0.0,19.0,0.0,31.0,22.0,0.0,1.0,1.0,5.0,11.0
