,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Portugal,12.0,3.0,0.0,196.0,2.0,10.0,9.0,0.0,4.0,0.0,31.0,17.0,4.0,3.0,0.0,84.0,1.0,2916.0,0.0,0.0,13.0,12.0,93.0,2.0,0.0,103.0,0.0,17.0,0.0,0.0,3.0,0.0,50.0,1.0,0.0,3.0,0.0,41.0,9.0,2.0,13.0,3.0,0.0,0.0,23.0,50.0,48.0,2.0,35.0,9.0,1.0,0.0,152.0,1.0,0.0,2.0,59.0,3.0,15.0,2.0,0.0,0.0,2.0,1.0,13.0,56.0,0.0,258.0,8.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,19.0,17.0,27.0,1.0,39.0,8.0,6.0,0.0,16.0,11.0,26.0,81.0,23.0,0.0,6.0,3.0,0.0,5.0,6.0,90.0,0.0,218.0,18.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,48.0,0.0,17.0,25.0,0.0,7.0,0.0,24.0,58.0
"Venezuela, Bolivarian Republic of",2.0,0.0,0.0,5.0,0.0,3.0,5.0,0.0,0.0,5.0,22.0,2.0,2.0,2.0,0.0,11.0,0.0,1054.0,0.0,0.0,11.0,6.0,17.0,13.0,0.0,20.0,0.0,5.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,4.0,0.0,6.0,19.0,12.0,0.0,9.0,2.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,4.0,10.0,3.0,0.0,0.0,1.0,0.0,2.0,59.0,0.0,153.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,9.0,5.0,67.0,0.0,10.0,0.0,1.0,0.0,36.0,43.0,2.0,36.0,2.0,0.0,10.0,1.0,0.0,0.0,1.0,21.0,0.0,42.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,46.0,0.0,4.0,2.0,0.0,0.0,0.0,33.0,19.0
Spain,95.0,20.0,2.0,1058.0,49.0,153.0,123.0,0.0,45.0,62.0,126.0,31.0,106.0,129.0,1.0,260.0,5.0,11557.0,3.0,3.0,139.0,92.0,133.0,128.0,17.0,641.0,42.0,83.0,18.0,0.0,65.0,15.0,206.0,5.0,0.0,8.0,65.0,280.0,74.0,3.0,47.0,70.0,20.0,0.0,358.0,332.0,508.0,74.0,511.0,94.0,1.0,0.0,727.0,0.0,1.0,2.0,56.0,36.0,93.0,17.0,23.0,4.0,162.0,7.0,113.0,152.0,53.0,396.0,171.0,0.0,2.0,0.0,5.0,50.0,52.0,5.0,28.0,84.0,68.0,22.0,133.0,38.0,10.0,2.0,79.0,19.0,71.0,407.0,276.0,2.0,161.0,8.0,0.0,51.0,10.0,462.0,6.0,217.0,148.0,41.0,11.0,58.0,1.0,19.0,10.0,0.0,308.0,11.0,49.0,156.0,2.0,88.0,0.0,62.0,230.0
United States,16.0,278.0,45.0,4811.0,86.0,240.0,102.0,13.0,172.0,130.0,280.0,240.0,296.0,151.0,132.0,1459.0,14.0,46515.0,36.0,35.0,2345.0,954.0,315.0,128.0,49.0,2090.0,38.0,1295.0,113.0,1.0,707.0,106.0,752.0,8.0,1.0,62.0,42.0,1134.0,441.0,62.0,183.0,166.0,96.0,20.0,1051.0,1390.0,1484.0,58.0,1527.0,829.0,66.0,1.0,4895.0,43.0,26.0,10.0,179.0,58.0,238.0,118.0,22.0,4.0,679.0,8.0,797.0,680.0,178.0,1854.0,261.0,39.0,1.0,23.0,405.0,210.0,76.0,77.0,502.0,1075.0,403.0,31.0,489.0,937.0,126.0,46.0,416.0,155.0,925.0,1313.0,992.0,46.0,33.0,106.0,2.0,143.0,52.0,510.0,31.0,1147.0,545.0,190.0,180.0,230.0,22.0,30.0,64.0,18.0,617.0,28.0,483.0,692.0,6.0,249.0,1.0,432.0,1263.0
"Iran, Islamic Republic of",2.0,2.0,0.0,6.0,1.0,5.0,19.0,0.0,1.0,0.0,0.0,0.0,8.0,193.0,0.0,21.0,4.0,441.0,2.0,0.0,13.0,21.0,17.0,62.0,1.0,29.0,13.0,32.0,2.0,0.0,0.0,1.0,27.0,1.0,0.0,2.0,1.0,212.0,141.0,2.0,23.0,1.0,2.0,0.0,4.0,24.0,20.0,1.0,41.0,1.0,0.0,0.0,54.0,1.0,1.0,0.0,0.0,8.0,3.0,2.0,0.0,0.0,3.0,0.0,39.0,13.0,6.0,146.0,1.0,2.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,9.0,53.0,0.0,4.0,5.0,1.0,4.0,4.0,53.0,63.0,7.0,28.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,1.0,10.0,2.0,0.0,1.0,18.0,0.0,34.0,0.0,0.0,46.0,0.0,4.0,10.0,1.0,0.0,1.0,15.0,6.0
Japan,27.0,5.0,3.0,141.0,0.0,10.0,3.0,0.0,24.0,1.0,61.0,14.0,5.0,10.0,6.0,48.0,0.0,2412.0,4.0,2.0,55.0,74.0,32.0,12.0,0.0,96.0,4.0,64.0,176.0,0.0,17.0,2.0,86.0,1.0,0.0,23.0,11.0,216.0,12.0,1.0,13.0,18.0,5.0,0.0,22.0,90.0,85.0,13.0,78.0,54.0,0.0,0.0,300.0,41.0,1.0,56.0,5.0,1.0,37.0,1.0,0.0,0.0,5.0,0.0,34.0,28.0,12.0,105.0,8.0,1.0,0.0,1.0,10.0,36.0,9.0,4.0,22.0,166.0,20.0,3.0,3.0,29.0,1.0,3.0,29.0,15.0,66.0,21.0,20.0,2.0,3.0,7.0,0.0,9.0,0.0,17.0,3.0,107.0,35.0,4.0,2.0,27.0,0.0,0.0,3.0,0.0,43.0,0.0,4.0,41.0,0.0,3.0,0.0,21.0,53.0
France,2.0,8.0,4.0,2368.0,21.0,46.0,39.0,3.0,39.0,5.0,14.0,87.0,14.0,39.0,2.0,133.0,0.0,6354.0,2.0,25.0,92.0,55.0,104.0,143.0,3.0,184.0,18.0,126.0,7.0,1.0,43.0,0.0,849.0,2.0,0.0,7.0,2.0,210.0,162.0,3.0,14.0,34.0,4.0,1.0,44.0,73.0,114.0,13.0,50.0,10.0,0.0,0.0,1622.0,5.0,6.0,0.0,31.0,2.0,61.0,15.0,170.0,0.0,150.0,3.0,56.0,81.0,5.0,254.0,39.0,6.0,0.0,1.0,11.0,31.0,7.0,18.0,15.0,27.0,38.0,10.0,30.0,41.0,57.0,2.0,44.0,7.0,85.0,48.0,399.0,1.0,3.0,13.0,2.0,103.0,21.0,130.0,0.0,95.0,30.0,33.0,11.0,42.0,6.0,4.0,0.0,3.0,130.0,1.0,63.0,43.0,1.0,4.0,1.0,49.0,194.0
India,1.0,44.0,6.0,261.0,1.0,17.0,12.0,2.0,5.0,4.0,25.0,155.0,8.0,111.0,23.0,339.0,3.0,10110.0,4.0,5.0,341.0,42.0,345.0,26.0,6.0,147.0,10.0,135.0,5.0,0.0,17.0,3.0,74.0,0.0,2.0,89.0,7.0,401.0,31.0,13.0,29.0,22.0,11.0,1.0,66.0,185.0,148.0,12.0,90.0,39.0,11.0,0.0,650.0,67.0,0.0,7.0,6.0,58.0,287.0,30.0,0.0,0.0,17.0,0.0,110.0,337.0,7.0,891.0,21.0,3.0,11.0,16.0,52.0,25.0,6.0,5.0,26.0,62.0,260.0,2.0,94.0,53.0,8.0,1.0,108.0,38.0,143.0,104.0,50.0,0.0,5.0,24.0,0.0,69.0,5.0,53.0,0.0,147.0,15.0,0.0,22.0,13.0,7.0,7.0,9.0,2.0,291.0,0.0,267.0,88.0,62.0,32.0,3.0,49.0,193.0
Italy,26.0,8.0,2.0,673.0,29.0,88.0,205.0,1.0,49.0,22.0,13.0,100.0,29.0,18.0,2.0,336.0,0.0,30475.0,1.0,2.0,73.0,103.0,108.0,108.0,1.0,301.0,16.0,83.0,21.0,0.0,69.0,21.0,391.0,3.0,0.0,44.0,4.0,270.0,121.0,4.0,10.0,43.0,5.0,1.0,71.0,358.0,752.0,26.0,602.0,614.0,1.0,0.0,514.0,2.0,1.0,1.0,150.0,26.0,118.0,5.0,5.0,0.0,49.0,0.0,70.0,140.0,16.0,1091.0,310.0,13.0,0.0,0.0,29.0,117.0,5.0,62.0,159.0,202.0,167.0,4.0,52.0,140.0,123.0,2.0,93.0,308.0,730.0,367.0,226.0,1.0,27.0,12.0,0.0,87.0,9.0,293.0,2.0,305.0,105.0,18.0,80.0,32.0,3.0,15.0,1.0,10.0,131.0,0.0,88.0,125.0,0.0,206.0,0.0,30.0,193.0
Brazil,2.0,2.0,9.0,96.0,7.0,91.0,71.0,2.0,11.0,76.0,75.0,514.0,5.0,27.0,3.0,139.0,0.0,7475.0,2.0,0.0,38.0,79.0,1271.0,43.0,1.0,76.0,3.0,44.0,4.0,0.0,39.0,28.0,130.0,8.0,0.0,48.0,0.0,143.0,13.0,17.0,12.0,37.0,4.0,0.0,85.0,283.0,130.0,18.0,172.0,68.0,9.0,2.0,732.0,14.0,1.0,0.0,1.0,109.0,396.0,84.0,0.0,0.0,15.0,1.0,36.0,254.0,5.0,1669.0,76.0,0.0,0.0,0.0,7.0,23.0,58.0,1.0,35.0,39.0,299.0,3.0,270.0,29.0,38.0,1.0,166.0,157.0,65.0,163.0,76.0,1.0,17.0,101.0,1.0,9.0,12.0,177.0,6.0,849.0,117.0,10.0,58.0,86.0,3.0,4.0,5.0,3.0,132.0,0.0,50.0,108.0,5.0,14.0,0.0,278.0,1104.0
