,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Italy,27.0,8.0,2.0,764.0,29.0,89.0,206.0,1.0,49.0,22.0,13.0,93.0,28.0,18.0,2.0,332.0,0.0,29966.0,1.0,2.0,66.0,105.0,81.0,117.0,1.0,298.0,17.0,78.0,21.0,0.0,68.0,3.0,335.0,3.0,0.0,41.0,4.0,236.0,84.0,5.0,11.0,55.0,5.0,1.0,68.0,337.0,747.0,23.0,512.0,488.0,1.0,0.0,528.0,2.0,1.0,1.0,190.0,27.0,119.0,5.0,5.0,0.0,50.0,0.0,79.0,141.0,8.0,1115.0,321.0,13.0,0.0,0.0,20.0,109.0,5.0,63.0,154.0,220.0,155.0,4.0,51.0,120.0,121.0,2.0,96.0,307.0,777.0,364.0,213.0,1.0,28.0,12.0,0.0,34.0,9.0,287.0,2.0,309.0,106.0,17.0,64.0,32.0,3.0,29.0,1.0,10.0,123.0,0.0,89.0,123.0,0.0,55.0,0.0,24.0,175.0
Spain,91.0,19.0,3.0,1162.0,48.0,153.0,128.0,0.0,42.0,61.0,129.0,30.0,98.0,132.0,1.0,262.0,6.0,11538.0,3.0,3.0,137.0,98.0,136.0,133.0,17.0,648.0,43.0,78.0,18.0,0.0,77.0,15.0,202.0,4.0,0.0,8.0,65.0,277.0,75.0,2.0,43.0,70.0,22.0,0.0,361.0,328.0,528.0,70.0,507.0,94.0,1.0,0.0,849.0,0.0,1.0,2.0,55.0,21.0,91.0,18.0,23.0,7.0,161.0,6.0,122.0,173.0,53.0,410.0,157.0,0.0,1.0,0.0,5.0,39.0,51.0,5.0,26.0,89.0,84.0,22.0,134.0,33.0,9.0,2.0,83.0,18.0,72.0,390.0,277.0,2.0,163.0,8.0,0.0,49.0,8.0,386.0,6.0,252.0,135.0,31.0,11.0,45.0,1.0,19.0,8.0,0.0,310.0,10.0,44.0,157.0,2.0,83.0,0.0,60.0,225.0
Norway,2.0,0.0,0.0,71.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,4.0,21.0,1.0,0.0,4.0,0.0,562.0,2.0,0.0,4.0,4.0,8.0,4.0,0.0,24.0,11.0,18.0,2.0,0.0,12.0,2.0,17.0,0.0,0.0,0.0,0.0,10.0,9.0,1.0,4.0,2.0,1.0,0.0,32.0,29.0,39.0,0.0,18.0,1.0,0.0,0.0,89.0,0.0,0.0,0.0,6.0,0.0,8.0,1.0,2.0,0.0,5.0,1.0,5.0,12.0,0.0,24.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,2.0,10.0,3.0,4.0,0.0,7.0,33.0,3.0,0.0,2.0,0.0,7.0,10.0,66.0,1.0,0.0,1.0,0.0,8.0,2.0,12.0,0.0,18.0,17.0,0.0,10.0,15.0,0.0,1.0,1.0,0.0,10.0,1.0,8.0,12.0,0.0,0.0,0.0,1.0,31.0
Nigeria,1.0,2.0,1.0,46.0,1.0,1.0,5.0,25.0,4.0,0.0,23.0,16.0,5.0,152.0,2.0,31.0,0.0,1095.0,1.0,0.0,31.0,10.0,7.0,6.0,24.0,241.0,4.0,45.0,1.0,0.0,3.0,1.0,18.0,6.0,0.0,30.0,4.0,22.0,13.0,1.0,5.0,6.0,10.0,0.0,12.0,70.0,35.0,1.0,18.0,2.0,12.0,0.0,53.0,0.0,0.0,408.0,1.0,1.0,101.0,1.0,0.0,1.0,7.0,0.0,10.0,313.0,152.0,247.0,17.0,0.0,0.0,0.0,3.0,4.0,37.0,1.0,11.0,5.0,108.0,1.0,7.0,21.0,11.0,0.0,5.0,0.0,56.0,41.0,26.0,0.0,4.0,37.0,0.0,5.0,14.0,120.0,0.0,14.0,6.0,0.0,7.0,3.0,7.0,1.0,1.0,0.0,61.0,0.0,81.0,16.0,0.0,1.0,1.0,43.0,43.0
Portugal,11.0,2.0,0.0,236.0,2.0,12.0,8.0,0.0,4.0,0.0,31.0,18.0,4.0,2.0,0.0,92.0,1.0,3054.0,0.0,0.0,13.0,13.0,93.0,2.0,0.0,102.0,0.0,17.0,0.0,0.0,12.0,2.0,49.0,1.0,0.0,3.0,0.0,41.0,8.0,2.0,13.0,3.0,0.0,0.0,23.0,49.0,63.0,2.0,34.0,6.0,1.0,0.0,158.0,1.0,0.0,2.0,59.0,3.0,18.0,2.0,0.0,0.0,2.0,1.0,14.0,55.0,0.0,268.0,8.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,19.0,18.0,26.0,1.0,39.0,8.0,6.0,0.0,16.0,11.0,27.0,80.0,24.0,0.0,6.0,3.0,0.0,5.0,4.0,78.0,0.0,227.0,18.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,37.0,0.0,16.0,25.0,0.0,7.0,0.0,16.0,61.0
"Venezuela, Bolivarian Republic of",2.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,8.0,21.0,2.0,2.0,9.0,0.0,11.0,0.0,1018.0,0.0,0.0,11.0,6.0,17.0,14.0,0.0,18.0,0.0,5.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,8.0,19.0,14.0,0.0,10.0,1.0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,4.0,11.0,3.0,0.0,0.0,0.0,0.0,2.0,61.0,0.0,144.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,65.0,0.0,10.0,0.0,1.0,0.0,20.0,33.0,2.0,34.0,2.0,0.0,9.0,2.0,0.0,0.0,1.0,21.0,0.0,43.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,41.0,0.0,5.0,2.0,0.0,0.0,0.0,34.0,19.0
United States,14.0,268.0,44.0,4811.0,91.0,242.0,106.0,13.0,166.0,130.0,283.0,239.0,301.0,155.0,178.0,1495.0,16.0,46811.0,36.0,35.0,2354.0,957.0,322.0,135.0,49.0,2202.0,36.0,1299.0,113.0,1.0,836.0,103.0,779.0,8.0,1.0,65.0,45.0,1146.0,439.0,61.0,190.0,162.0,104.0,21.0,1053.0,1419.0,1542.0,60.0,1560.0,849.0,57.0,1.0,4993.0,43.0,26.0,10.0,189.0,59.0,243.0,124.0,23.0,4.0,677.0,8.0,868.0,683.0,185.0,1914.0,254.0,40.0,1.0,14.0,409.0,230.0,81.0,77.0,500.0,1115.0,419.0,30.0,486.0,987.0,131.0,44.0,419.0,155.0,920.0,1293.0,1002.0,44.0,32.0,107.0,2.0,139.0,53.0,498.0,33.0,1214.0,534.0,198.0,181.0,272.0,22.0,27.0,65.0,18.0,624.0,32.0,464.0,704.0,6.0,219.0,1.0,443.0,1296.0
"Iran, Islamic Republic of",1.0,2.0,0.0,6.0,1.0,5.0,13.0,0.0,1.0,0.0,0.0,0.0,9.0,171.0,0.0,21.0,4.0,429.0,2.0,0.0,9.0,21.0,14.0,67.0,1.0,25.0,13.0,29.0,2.0,0.0,0.0,4.0,27.0,1.0,0.0,2.0,1.0,204.0,142.0,2.0,23.0,2.0,2.0,0.0,4.0,24.0,20.0,1.0,39.0,1.0,0.0,0.0,56.0,1.0,1.0,0.0,0.0,8.0,4.0,2.0,0.0,0.0,2.0,0.0,39.0,13.0,5.0,149.0,1.0,2.0,1.0,1.0,0.0,5.0,1.0,2.0,1.0,10.0,64.0,0.0,4.0,5.0,1.0,4.0,4.0,53.0,64.0,6.0,27.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,1.0,10.0,1.0,0.0,1.0,19.0,0.0,37.0,0.0,0.0,44.0,0.0,4.0,10.0,3.0,0.0,1.0,15.0,6.0
Japan,17.0,37.0,2.0,146.0,0.0,9.0,3.0,0.0,26.0,1.0,61.0,14.0,4.0,10.0,6.0,44.0,0.0,2227.0,4.0,3.0,53.0,77.0,36.0,12.0,0.0,96.0,3.0,62.0,170.0,0.0,17.0,2.0,83.0,1.0,0.0,11.0,11.0,209.0,12.0,1.0,14.0,18.0,5.0,0.0,22.0,96.0,86.0,13.0,77.0,51.0,0.0,0.0,297.0,38.0,1.0,58.0,5.0,1.0,24.0,1.0,0.0,0.0,4.0,0.0,35.0,26.0,13.0,110.0,8.0,1.0,0.0,1.0,10.0,32.0,8.0,4.0,21.0,167.0,22.0,3.0,3.0,31.0,1.0,3.0,29.0,14.0,68.0,19.0,19.0,2.0,3.0,6.0,0.0,7.0,0.0,24.0,3.0,121.0,34.0,5.0,2.0,27.0,0.0,0.0,3.0,0.0,45.0,0.0,3.0,41.0,0.0,4.0,0.0,22.0,52.0
France,2.0,9.0,4.0,2486.0,23.0,35.0,43.0,5.0,35.0,5.0,15.0,82.0,17.0,43.0,2.0,132.0,0.0,6541.0,2.0,25.0,97.0,61.0,100.0,146.0,3.0,191.0,18.0,163.0,7.0,1.0,60.0,0.0,850.0,2.0,0.0,7.0,2.0,198.0,160.0,3.0,19.0,34.0,3.0,1.0,47.0,79.0,109.0,12.0,53.0,10.0,0.0,0.0,1742.0,5.0,6.0,0.0,39.0,2.0,60.0,13.0,175.0,0.0,147.0,3.0,56.0,82.0,6.0,263.0,38.0,6.0,0.0,1.0,10.0,33.0,9.0,19.0,20.0,35.0,39.0,10.0,36.0,65.0,30.0,3.0,23.0,7.0,86.0,49.0,402.0,1.0,3.0,13.0,2.0,104.0,21.0,112.0,0.0,108.0,30.0,38.0,11.0,46.0,6.0,5.0,0.0,3.0,128.0,3.0,60.0,43.0,0.0,4.0,1.0,47.0,180.0
