,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Japan,19.0,8.0,4.0,298.0,2.0,13.0,3.0,1.0,18.0,2.0,6.0,9.0,4.0,11.0,4.0,61.0,0.0,3202.0,2.0,1.0,57.0,52.0,40.0,7.0,0.0,63.0,4.0,81.0,232.0,1.0,10.0,1.0,112.0,2.0,0.0,23.0,4.0,225.0,19.0,0.0,7.0,12.0,2.0,1.0,10.0,33.0,53.0,30.0,89.0,55.0,3.0,1.0,164.0,14.0,5.0,85.0,7.0,0.0,23.0,2.0,2.0,0.0,7.0,0.0,15.0,33.0,7.0,74.0,9.0,2.0,1.0,0.0,7.0,39.0,5.0,2.0,19.0,155.0,11.0,0.0,20.0,31.0,5.0,1.0,28.0,14.0,12.0,30.0,39.0,1.0,2.0,8.0,0.0,13.0,3.0,17.0,0.0,101.0,110.0,4.0,2.0,10.0,0.0,5.0,1.0,0.0,47.0,0.0,10.0,20.0,0.0,8.0,0.0,29.0,38.0
Spain,58.0,18.0,2.0,664.0,22.0,214.0,83.0,8.0,37.0,69.0,33.0,26.0,106.0,25.0,9.0,163.0,35.0,7654.0,1.0,0.0,90.0,40.0,56.0,128.0,1.0,433.0,21.0,77.0,11.0,1.0,26.0,8.0,120.0,7.0,0.0,8.0,3.0,159.0,67.0,17.0,73.0,48.0,20.0,4.0,105.0,279.0,376.0,25.0,474.0,106.0,0.0,0.0,354.0,0.0,6.0,3.0,106.0,60.0,38.0,8.0,28.0,3.0,15.0,16.0,36.0,94.0,6.0,155.0,184.0,5.0,0.0,0.0,21.0,32.0,7.0,3.0,55.0,74.0,89.0,12.0,132.0,42.0,11.0,0.0,111.0,21.0,17.0,380.0,262.0,1.0,126.0,8.0,0.0,48.0,28.0,782.0,3.0,293.0,118.0,42.0,16.0,83.0,0.0,32.0,39.0,2.0,161.0,2.0,58.0,66.0,2.0,208.0,0.0,35.0,180.0
United States,6.0,228.0,14.0,1452.0,33.0,135.0,27.0,5.0,170.0,54.0,133.0,107.0,220.0,105.0,170.0,859.0,6.0,29026.0,16.0,14.0,1095.0,395.0,127.0,90.0,11.0,1489.0,20.0,794.0,40.0,0.0,206.0,78.0,446.0,7.0,0.0,30.0,31.0,711.0,249.0,31.0,121.0,90.0,82.0,14.0,222.0,628.0,656.0,14.0,730.0,408.0,58.0,0.0,2745.0,19.0,11.0,9.0,98.0,18.0,141.0,46.0,44.0,1.0,260.0,3.0,337.0,364.0,97.0,978.0,199.0,20.0,1.0,12.0,139.0,141.0,26.0,51.0,266.0,391.0,615.0,11.0,203.0,888.0,60.0,27.0,189.0,116.0,278.0,856.0,484.0,34.0,16.0,34.0,0.0,92.0,27.0,425.0,8.0,717.0,364.0,129.0,70.0,149.0,4.0,21.0,70.0,7.0,418.0,5.0,284.0,346.0,2.0,214.0,2.0,200.0,568.0
Viet Nam,1.0,3.0,9.0,91.0,0.0,3.0,0.0,0.0,1.0,0.0,111.0,9.0,1.0,3.0,0.0,8.0,0.0,1680.0,0.0,0.0,11.0,6.0,88.0,0.0,3.0,20.0,0.0,30.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,89.0,4.0,0.0,4.0,11.0,1.0,0.0,3.0,26.0,139.0,14.0,17.0,3.0,1.0,0.0,70.0,3.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,14.0,27.0,0.0,16.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,4.0,23.0,6.0,0.0,9.0,10.0,4.0,1.0,27.0,9.0,3.0,2.0,22.0,0.0,0.0,1.0,0.0,10.0,0.0,14.0,0.0,26.0,7.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,3.0,3.0,0.0,0.0,0.0,14.0,54.0
Honduras,2.0,0.0,0.0,62.0,0.0,3.0,12.0,0.0,0.0,3.0,7.0,3.0,1.0,0.0,0.0,8.0,0.0,417.0,0.0,1.0,0.0,2.0,31.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,12.0,2.0,0.0,0.0,7.0,0.0,0.0,12.0,1.0,13.0,1.0,37.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,5.0,21.0,0.0,22.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,1.0,1.0,0.0,9.0,8.0,0.0,8.0,9.0,0.0,1.0,0.0,0.0,8.0,0.0,13.0,0.0,4.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,6.0,2.0,1.0,0.0,0.0,1.0,12.0
Italy,87.0,17.0,6.0,362.0,13.0,101.0,214.0,2.0,21.0,13.0,21.0,60.0,34.0,15.0,12.0,236.0,2.0,19821.0,1.0,1.0,74.0,227.0,142.0,17.0,0.0,206.0,18.0,61.0,20.0,0.0,52.0,78.0,415.0,1.0,0.0,17.0,1.0,302.0,139.0,3.0,16.0,62.0,3.0,0.0,52.0,253.0,678.0,13.0,708.0,807.0,3.0,0.0,602.0,3.0,7.0,0.0,430.0,18.0,54.0,8.0,196.0,1.0,17.0,3.0,46.0,87.0,9.0,373.0,200.0,9.0,2.0,0.0,23.0,79.0,4.0,29.0,247.0,48.0,130.0,11.0,11.0,254.0,26.0,0.0,101.0,217.0,156.0,201.0,226.0,6.0,75.0,14.0,0.0,66.0,4.0,229.0,1.0,133.0,62.0,37.0,79.0,59.0,6.0,47.0,0.0,3.0,54.0,0.0,73.0,88.0,2.0,571.0,1.0,26.0,114.0
Colombia,2.0,4.0,2.0,68.0,2.0,9.0,44.0,0.0,1.0,23.0,9.0,11.0,0.0,2.0,1.0,14.0,0.0,828.0,0.0,0.0,6.0,3.0,49.0,3.0,0.0,32.0,1.0,19.0,9.0,0.0,2.0,9.0,11.0,0.0,0.0,2.0,0.0,41.0,3.0,1.0,0.0,7.0,3.0,0.0,22.0,20.0,11.0,0.0,20.0,10.0,2.0,0.0,29.0,0.0,0.0,0.0,0.0,4.0,9.0,11.0,0.0,0.0,4.0,0.0,2.0,26.0,2.0,31.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,20.0,4.0,1.0,30.0,4.0,7.0,0.0,22.0,18.0,7.0,28.0,5.0,1.0,1.0,1.0,0.0,3.0,0.0,119.0,0.0,16.0,2.0,0.0,2.0,12.0,4.0,0.0,0.0,1.0,28.0,5.0,9.0,4.0,0.0,1.0,0.0,44.0,50.0
France,3.0,47.0,3.0,1708.0,4.0,60.0,24.0,0.0,24.0,5.0,12.0,125.0,59.0,55.0,19.0,137.0,0.0,4668.0,1.0,4.0,99.0,47.0,200.0,91.0,6.0,147.0,6.0,124.0,5.0,1.0,43.0,3.0,283.0,3.0,0.0,3.0,5.0,181.0,53.0,1.0,86.0,12.0,5.0,0.0,16.0,93.0,90.0,15.0,74.0,16.0,0.0,0.0,1207.0,3.0,2.0,0.0,27.0,5.0,61.0,22.0,101.0,4.0,41.0,1.0,89.0,74.0,13.0,101.0,38.0,5.0,1.0,0.0,68.0,20.0,8.0,8.0,52.0,23.0,41.0,9.0,60.0,137.0,30.0,2.0,48.0,6.0,47.0,171.0,164.0,1.0,6.0,17.0,3.0,20.0,19.0,209.0,1.0,75.0,51.0,11.0,6.0,37.0,1.0,6.0,1.0,1.0,90.0,0.0,68.0,53.0,7.0,21.0,3.0,61.0,164.0
Chile,16.0,5.0,0.0,150.0,0.0,4.0,10.0,0.0,1.0,8.0,9.0,11.0,3.0,4.0,0.0,15.0,0.0,1377.0,0.0,0.0,7.0,12.0,44.0,9.0,0.0,12.0,15.0,6.0,0.0,0.0,1.0,2.0,16.0,2.0,0.0,6.0,0.0,14.0,5.0,0.0,3.0,2.0,37.0,0.0,38.0,17.0,13.0,5.0,16.0,1.0,0.0,0.0,43.0,0.0,0.0,0.0,5.0,5.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,9.0,9.0,4.0,0.0,0.0,6.0,1.0,0.0,1.0,4.0,22.0,9.0,0.0,9.0,12.0,1.0,0.0,6.0,4.0,4.0,29.0,3.0,2.0,8.0,3.0,0.0,5.0,1.0,66.0,0.0,49.0,17.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,25.0
Iceland,3.0,0.0,0.0,45.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,154.0,0.0,1.0,4.0,10.0,0.0,0.0,0.0,14.0,0.0,4.0,0.0,0.0,11.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,7.0,5.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,0.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0
China,3.0,29.0,12.0,567.0,7.0,38.0,15.0,0.0,35.0,3.0,22.0,21.0,26.0,149.0,7.0,705.0,3.0,21530.0,16.0,1.0,98.0,90.0,48.0,45.0,2.0,594.0,111.0,384.0,38.0,1.0,22.0,10.0,193.0,2.0,0.0,10.0,4.0,180.0,45.0,13.0,20.0,13.0,19.0,19.0,50.0,232.0,110.0,245.0,144.0,50.0,3.0,0.0,969.0,55.0,9.0,13.0,17.0,4.0,26.0,5.0,32.0,4.0,10.0,3.0,341.0,113.0,77.0,606.0,45.0,12.0,9.0,25.0,12.0,1995.0,1.0,17.0,101.0,4642.0,71.0,4.0,26.0,138.0,29.0,5.0,45.0,14.0,729.0,75.0,113.0,2.0,4.0,28.0,0.0,30.0,2.0,136.0,1.0,452.0,32.0,24.0,30.0,22.0,1.0,6.0,1.0,2.0,140.0,0.0,65.0,222.0,5.0,9.0,2.0,16.0,151.0
Guernsey,1.0,0.0,0.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,2.0,0.0,1.0,0.0,8.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Lebanon,1.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.0,6.0,4.0,0.0,367.0,0.0,0.0,2.0,3.0,1.0,120.0,0.0,11.0,0.0,80.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,98.0,42.0,2.0,7.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,10.0,3.0,5.0,0.0,7.0,2.0,0.0,1.0,5.0,0.0,3.0,14.0,8.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,16.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,5.0,39.0,4.0,0.0,0.0,5.0,3.0
Haiti,1.0,0.0,0.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,800.0,0.0,6.0,0.0,227.0,0.0,0.0,0.0,3.0,7.0,3.0,0.0,20.0,2.0,13.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,7.0,0.0,1.0,1.0,0.0,0.0,3.0,9.0,9.0,0.0,5.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,13.0,0.0,34.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,15.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,4.0,2.0,0.0,12.0,0.0,0.0,5.0,0.0,14.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,11.0,4.0
United Kingdom,2.0,20.0,13.0,1939.0,14.0,42.0,14.0,2.0,101.0,27.0,64.0,20.0,86.0,29.0,14.0,245.0,3.0,9883.0,14.0,11.0,215.0,79.0,49.0,459.0,2.0,285.0,6.0,246.0,16.0,0.0,129.0,1.0,131.0,1.0,0.0,9.0,10.0,402.0,76.0,11.0,159.0,55.0,10.0,3.0,196.0,166.0,292.0,8.0,269.0,91.0,5.0,4.0,1828.0,5.0,0.0,10.0,50.0,6.0,136.0,26.0,17.0,0.0,49.0,1.0,66.0,151.0,26.0,316.0,91.0,8.0,0.0,6.0,72.0,50.0,6.0,25.0,96.0,122.0,206.0,9.0,28.0,256.0,10.0,7.0,84.0,59.0,73.0,187.0,123.0,1.0,28.0,18.0,0.0,48.0,12.0,110.0,0.0,183.0,95.0,73.0,55.0,32.0,7.0,7.0,6.0,22.0,138.0,0.0,162.0,63.0,0.0,1.0,0.0,39.0,90.0
Ghana,3.0,2.0,3.0,17.0,0.0,2.0,1.0,2.0,4.0,0.0,10.0,4.0,2.0,19.0,1.0,15.0,1.0,559.0,1.0,1.0,4.0,6.0,14.0,0.0,0.0,801.0,1.0,25.0,3.0,0.0,0.0,0.0,19.0,0.0,0.0,13.0,83.0,17.0,9.0,1.0,5.0,5.0,3.0,2.0,3.0,43.0,12.0,0.0,16.0,12.0,6.0,1.0,34.0,1.0,0.0,12.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,15.0,146.0,351.0,20.0,3.0,0.0,0.0,2.0,4.0,0.0,10.0,0.0,9.0,5.0,36.0,0.0,26.0,4.0,9.0,0.0,3.0,3.0,10.0,25.0,11.0,0.0,8.0,15.0,0.0,4.0,2.0,7.0,0.0,8.0,5.0,1.0,5.0,6.0,5.0,1.0,0.0,1.0,15.0,1.0,96.0,10.0,0.0,0.0,1.0,18.0,18.0
South Africa,3.0,0.0,2.0,157.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,11.0,6.0,23.0,2.0,774.0,0.0,0.0,9.0,7.0,7.0,3.0,0.0,103.0,0.0,16.0,0.0,0.0,1.0,1.0,54.0,4.0,0.0,1.0,0.0,18.0,10.0,0.0,3.0,0.0,1.0,0.0,6.0,12.0,4.0,7.0,4.0,3.0,1.0,0.0,74.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,6.0,43.0,21.0,161.0,4.0,0.0,0.0,0.0,8.0,0.0,1.0,16.0,6.0,21.0,2.0,1.0,9.0,5.0,3.0,1.0,12.0,1.0,70.0,15.0,7.0,0.0,4.0,5.0,0.0,3.0,2.0,7.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,64.0,0.0,22.0,3.0,2.0,4.0,0.0,11.0,13.0
Norway,3.0,2.0,0.0,58.0,2.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,5.0,9.0,0.0,4.0,0.0,279.0,2.0,1.0,5.0,2.0,2.0,7.0,0.0,11.0,3.0,7.0,1.0,0.0,7.0,1.0,11.0,0.0,0.0,1.0,0.0,19.0,0.0,1.0,2.0,2.0,0.0,0.0,16.0,15.0,28.0,0.0,7.0,1.0,1.0,0.0,58.0,0.0,0.0,0.0,14.0,1.0,2.0,1.0,5.0,0.0,6.0,0.0,3.0,4.0,0.0,33.0,0.0,1.0,0.0,0.0,13.0,12.0,0.0,0.0,3.0,0.0,6.0,0.0,3.0,39.0,1.0,0.0,1.0,0.0,8.0,3.0,69.0,10.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,17.0,12.0,1.0,2.0,4.0,0.0,2.0,0.0,0.0,9.0,11.0,0.0,4.0,2.0,0.0,0.0,7.0,10.0
Namibia,1.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,17.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,6.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,3.0,0.0,0.0,0.0,1.0,0.0
Peru,2.0,0.0,2.0,193.0,1.0,7.0,6.0,0.0,6.0,6.0,4.0,4.0,1.0,3.0,0.0,28.0,0.0,1683.0,1.0,0.0,3.0,5.0,54.0,10.0,2.0,20.0,0.0,15.0,0.0,0.0,1.0,3.0,17.0,1.0,0.0,3.0,2.0,15.0,3.0,3.0,1.0,15.0,2.0,1.0,44.0,51.0,15.0,1.0,12.0,0.0,1.0,0.0,47.0,0.0,2.0,0.0,6.0,6.0,15.0,2.0,0.0,0.0,6.0,0.0,7.0,15.0,2.0,87.0,27.0,1.0,0.0,1.0,0.0,5.0,2.0,2.0,7.0,19.0,39.0,0.0,70.0,4.0,3.0,1.0,46.0,13.0,5.0,43.0,12.0,0.0,5.0,7.0,0.0,1.0,1.0,212.0,2.0,15.0,13.0,0.0,14.0,5.0,0.0,0.0,3.0,2.0,27.0,0.0,25.0,19.0,1.0,1.0,0.0,8.0,37.0
