,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Hong Kong,1.0,5.0,1.0,227.0,2.0,25.0,3.0,0.0,9.0,1.0,2.0,9.0,4.0,7.0,8.0,87.0,2.0,3726.0,2.0,0.0,110.0,11.0,20.0,8.0,2.0,125.0,1.0,94.0,11.0,0.0,23.0,7.0,35.0,0.0,0.0,3.0,0.0,126.0,32.0,1.0,8.0,4.0,11.0,0.0,12.0,85.0,38.0,15.0,57.0,14.0,4.0,0.0,228.0,1.0,0.0,4.0,3.0,5.0,3.0,3.0,0.0,0.0,18.0,0.0,29.0,14.0,5.0,54.0,9.0,0.0,0.0,3.0,12.0,65.0,0.0,4.0,29.0,73.0,11.0,0.0,9.0,32.0,9.0,1.0,14.0,3.0,141.0,21.0,42.0,2.0,2.0,1.0,2.0,9.0,1.0,6.0,0.0,154.0,9.0,7.0,3.0,7.0,0.0,0.0,3.0,2.0,26.0,1.0,24.0,439.0,1.0,7.0,0.0,8.0,29.0
Italy,91.0,17.0,5.0,587.0,11.0,153.0,151.0,3.0,54.0,27.0,29.0,57.0,51.0,16.0,11.0,295.0,1.0,23466.0,1.0,4.0,84.0,327.0,73.0,33.0,1.0,249.0,54.0,79.0,30.0,0.0,40.0,41.0,380.0,1.0,0.0,24.0,2.0,268.0,102.0,5.0,14.0,71.0,5.0,1.0,53.0,300.0,716.0,9.0,775.0,895.0,15.0,0.0,698.0,2.0,7.0,0.0,386.0,19.0,81.0,6.0,180.0,2.0,11.0,1.0,96.0,112.0,10.0,446.0,421.0,11.0,0.0,0.0,32.0,92.0,9.0,36.0,282.0,70.0,150.0,11.0,17.0,446.0,13.0,1.0,78.0,263.0,169.0,335.0,302.0,3.0,123.0,26.0,0.0,35.0,14.0,166.0,3.0,145.0,105.0,16.0,63.0,85.0,16.0,156.0,5.0,3.0,64.0,0.0,83.0,101.0,0.0,162.0,1.0,19.0,121.0
Spain,53.0,12.0,4.0,1044.0,3.0,164.0,123.0,9.0,36.0,84.0,50.0,47.0,92.0,40.0,21.0,209.0,1.0,9685.0,1.0,9.0,90.0,72.0,137.0,164.0,1.0,476.0,28.0,114.0,11.0,0.0,47.0,6.0,182.0,15.0,0.0,12.0,7.0,298.0,80.0,7.0,48.0,77.0,18.0,4.0,64.0,360.0,493.0,22.0,654.0,169.0,0.0,0.0,534.0,1.0,7.0,3.0,65.0,81.0,87.0,10.0,41.0,3.0,29.0,4.0,50.0,122.0,104.0,203.0,233.0,0.0,0.0,1.0,7.0,29.0,5.0,3.0,63.0,68.0,105.0,10.0,122.0,81.0,6.0,1.0,191.0,21.0,37.0,462.0,445.0,1.0,186.0,18.0,0.0,46.0,32.0,947.0,2.0,351.0,90.0,36.0,17.0,76.0,6.0,29.0,37.0,1.0,308.0,11.0,52.0,52.0,4.0,167.0,0.0,42.0,204.0
Japan,7.0,17.0,3.0,664.0,3.0,14.0,4.0,1.0,34.0,7.0,27.0,9.0,4.0,13.0,12.0,98.0,0.0,4465.0,1.0,1.0,72.0,51.0,57.0,10.0,0.0,71.0,5.0,126.0,297.0,1.0,8.0,2.0,119.0,3.0,0.0,16.0,1.0,268.0,23.0,0.0,8.0,9.0,2.0,1.0,11.0,44.0,61.0,10.0,106.0,63.0,0.0,1.0,301.0,5.0,4.0,177.0,85.0,2.0,12.0,2.0,1.0,0.0,10.0,0.0,34.0,57.0,3.0,125.0,12.0,2.0,1.0,0.0,16.0,44.0,7.0,2.0,29.0,133.0,16.0,1.0,12.0,78.0,8.0,1.0,29.0,19.0,42.0,25.0,50.0,1.0,1.0,11.0,0.0,16.0,8.0,22.0,0.0,186.0,118.0,9.0,1.0,9.0,0.0,5.0,1.0,0.0,68.0,0.0,7.0,19.0,0.0,9.0,0.0,35.0,64.0
France,2.0,65.0,1.0,1924.0,8.0,58.0,33.0,0.0,26.0,4.0,12.0,84.0,67.0,74.0,23.0,154.0,1.0,5755.0,1.0,11.0,111.0,53.0,148.0,148.0,8.0,165.0,4.0,197.0,5.0,0.0,54.0,4.0,288.0,5.0,0.0,2.0,2.0,243.0,64.0,2.0,58.0,17.0,4.0,1.0,37.0,144.0,106.0,7.0,89.0,15.0,1.0,0.0,1520.0,1.0,2.0,0.0,21.0,7.0,73.0,50.0,170.0,0.0,61.0,1.0,104.0,75.0,10.0,169.0,104.0,4.0,0.0,1.0,122.0,30.0,7.0,17.0,68.0,31.0,48.0,11.0,58.0,164.0,8.0,2.0,46.0,7.0,57.0,184.0,232.0,2.0,8.0,23.0,4.0,37.0,19.0,130.0,1.0,91.0,88.0,24.0,6.0,52.0,0.0,7.0,2.0,1.0,126.0,0.0,63.0,61.0,6.0,22.0,3.0,45.0,130.0
Morocco,2.0,17.0,0.0,62.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,5.0,100.0,0.0,2467.0,0.0,1.0,18.0,0.0,0.0,117.0,3.0,160.0,2.0,286.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,2.0,80.0,9.0,0.0,11.0,5.0,0.0,0.0,2.0,5.0,41.0,2.0,3.0,2.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,0.0,0.0,1.0,0.0,28.0,16.0,18.0,49.0,1.0,1.0,0.0,0.0,1.0,11.0,1.0,0.0,11.0,2.0,11.0,0.0,5.0,40.0,2.0,0.0,4.0,1.0,24.0,23.0,42.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,0.0,14.0,10.0,6.0,2.0,1.0,4.0,0.0,0.0,0.0,37.0,0.0,3.0,21.0,1.0,0.0,0.0,4.0,27.0
China,2.0,36.0,7.0,699.0,9.0,43.0,20.0,0.0,51.0,8.0,30.0,21.0,38.0,50.0,15.0,1052.0,3.0,29736.0,18.0,2.0,120.0,122.0,72.0,78.0,2.0,759.0,72.0,479.0,45.0,1.0,25.0,8.0,292.0,3.0,1.0,8.0,8.0,201.0,57.0,5.0,27.0,18.0,24.0,19.0,55.0,280.0,151.0,111.0,215.0,89.0,4.0,0.0,1396.0,29.0,4.0,13.0,10.0,5.0,29.0,7.0,35.0,7.0,16.0,1.0,422.0,123.0,79.0,688.0,58.0,10.0,12.0,9.0,35.0,2196.0,4.0,15.0,121.0,3506.0,96.0,5.0,27.0,197.0,36.0,1.0,59.0,38.0,969.0,118.0,121.0,4.0,3.0,32.0,0.0,32.0,4.0,133.0,1.0,647.0,59.0,93.0,18.0,24.0,3.0,6.0,1.0,2.0,178.0,2.0,69.0,228.0,5.0,9.0,3.0,14.0,200.0
Slovenia,1.0,0.0,0.0,104.0,4.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,420.0,1.0,1.0,0.0,5.0,6.0,0.0,0.0,11.0,1.0,7.0,0.0,0.0,4.0,1.0,18.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,6.0,6.0,1.0,11.0,4.0,0.0,0.0,56.0,0.0,0.0,0.0,47.0,0.0,6.0,3.0,1.0,0.0,15.0,0.0,4.0,2.0,1.0,21.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,5.0,0.0,1.0,2.0,2.0,7.0,1.0,39.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,0.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,0.0,4.0
Netherlands,8.0,6.0,1.0,729.0,1.0,5.0,2.0,0.0,8.0,2.0,9.0,5.0,13.0,2.0,2.0,39.0,1.0,951.0,1.0,13.0,20.0,19.0,9.0,7.0,0.0,55.0,0.0,28.0,1.0,0.0,16.0,7.0,38.0,4.0,0.0,0.0,1.0,21.0,1.0,1.0,13.0,20.0,3.0,1.0,4.0,27.0,31.0,0.0,23.0,6.0,1.0,0.0,115.0,0.0,0.0,0.0,40.0,0.0,15.0,9.0,0.0,1.0,8.0,1.0,8.0,15.0,1.0,38.0,41.0,0.0,0.0,0.0,18.0,3.0,2.0,2.0,23.0,13.0,54.0,3.0,3.0,65.0,3.0,5.0,27.0,8.0,16.0,54.0,48.0,3.0,13.0,1.0,0.0,5.0,3.0,7.0,0.0,32.0,11.0,79.0,5.0,17.0,1.0,0.0,1.0,1.0,38.0,0.0,9.0,11.0,1.0,2.0,0.0,3.0,16.0
Peru,1.0,0.0,1.0,480.0,1.0,8.0,6.0,0.0,5.0,6.0,1.0,14.0,3.0,5.0,0.0,22.0,0.0,1775.0,0.0,0.0,4.0,4.0,207.0,14.0,3.0,14.0,0.0,20.0,1.0,0.0,2.0,1.0,22.0,2.0,0.0,4.0,0.0,16.0,0.0,2.0,1.0,10.0,3.0,0.0,28.0,48.0,14.0,1.0,17.0,1.0,1.0,0.0,142.0,0.0,1.0,0.0,1.0,9.0,30.0,30.0,0.0,1.0,7.0,0.0,6.0,38.0,6.0,88.0,22.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,5.0,18.0,33.0,0.0,78.0,4.0,4.0,0.0,48.0,8.0,5.0,52.0,26.0,0.0,5.0,9.0,0.0,2.0,2.0,154.0,1.0,21.0,14.0,1.0,14.0,1.0,0.0,0.0,3.0,1.0,29.0,0.0,25.0,9.0,0.0,0.0,0.0,10.0,92.0
