,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Grenada,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0
Spain,77.0,19.0,3.0,1170.0,48.0,150.0,128.0,0.0,41.0,61.0,129.0,29.0,98.0,133.0,1.0,262.0,6.0,11460.0,2.0,3.0,135.0,98.0,139.0,133.0,18.0,650.0,43.0,78.0,19.0,0.0,77.0,15.0,202.0,4.0,0.0,7.0,65.0,276.0,75.0,1.0,43.0,71.0,20.0,0.0,361.0,305.0,510.0,70.0,508.0,92.0,1.0,0.0,848.0,0.0,1.0,2.0,54.0,21.0,90.0,18.0,23.0,7.0,161.0,6.0,125.0,173.0,53.0,414.0,154.0,0.0,1.0,0.0,5.0,36.0,51.0,5.0,26.0,88.0,84.0,22.0,134.0,32.0,9.0,2.0,83.0,18.0,72.0,383.0,276.0,2.0,163.0,8.0,0.0,50.0,8.0,370.0,6.0,251.0,124.0,32.0,11.0,45.0,1.0,18.0,8.0,0.0,311.0,10.0,43.0,154.0,2.0,83.0,0.0,58.0,224.0
Italy,26.0,8.0,2.0,770.0,29.0,86.0,203.0,1.0,49.0,22.0,13.0,94.0,28.0,19.0,2.0,332.0,0.0,30047.0,1.0,2.0,64.0,104.0,82.0,119.0,1.0,296.0,17.0,78.0,21.0,0.0,68.0,3.0,298.0,3.0,0.0,41.0,4.0,167.0,80.0,5.0,11.0,55.0,5.0,1.0,62.0,331.0,681.0,23.0,474.0,442.0,1.0,0.0,527.0,2.0,1.0,1.0,184.0,27.0,120.0,5.0,5.0,0.0,50.0,0.0,78.0,141.0,8.0,1074.0,321.0,13.0,0.0,0.0,17.0,98.0,5.0,63.0,152.0,218.0,155.0,4.0,50.0,120.0,120.0,2.0,96.0,306.0,779.0,360.0,214.0,1.0,28.0,12.0,0.0,30.0,9.0,269.0,3.0,300.0,109.0,17.0,65.0,31.0,3.0,47.0,1.0,10.0,129.0,0.0,87.0,116.0,0.0,54.0,0.0,24.0,175.0
Norway,2.0,0.0,0.0,72.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,4.0,21.0,1.0,0.0,3.0,0.0,565.0,2.0,0.0,4.0,4.0,8.0,4.0,0.0,24.0,11.0,18.0,2.0,0.0,12.0,2.0,15.0,0.0,0.0,0.0,0.0,10.0,9.0,1.0,4.0,2.0,1.0,0.0,33.0,30.0,40.0,0.0,18.0,1.0,0.0,0.0,89.0,0.0,0.0,0.0,6.0,0.0,8.0,1.0,2.0,0.0,4.0,1.0,5.0,12.0,0.0,25.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,2.0,10.0,3.0,4.0,0.0,7.0,33.0,3.0,0.0,2.0,0.0,7.0,10.0,67.0,1.0,0.0,1.0,0.0,8.0,2.0,12.0,0.0,18.0,17.0,0.0,10.0,15.0,0.0,1.0,1.0,0.0,10.0,1.0,8.0,12.0,0.0,0.0,0.0,1.0,31.0
Nigeria,1.0,2.0,1.0,47.0,1.0,1.0,5.0,25.0,4.0,0.0,23.0,16.0,5.0,150.0,2.0,31.0,0.0,1088.0,1.0,0.0,32.0,10.0,7.0,6.0,24.0,239.0,4.0,44.0,1.0,0.0,3.0,1.0,18.0,6.0,0.0,30.0,4.0,22.0,14.0,1.0,5.0,2.0,10.0,0.0,12.0,66.0,35.0,1.0,18.0,2.0,12.0,0.0,54.0,0.0,0.0,406.0,1.0,1.0,103.0,1.0,0.0,1.0,7.0,0.0,10.0,307.0,152.0,244.0,17.0,0.0,0.0,0.0,1.0,4.0,37.0,1.0,11.0,7.0,113.0,1.0,7.0,21.0,11.0,0.0,5.0,0.0,57.0,41.0,25.0,0.0,4.0,37.0,0.0,5.0,14.0,120.0,0.0,14.0,6.0,0.0,7.0,3.0,7.0,1.0,0.0,0.0,61.0,0.0,79.0,17.0,0.0,1.0,1.0,42.0,43.0
Portugal,11.0,2.0,0.0,242.0,2.0,11.0,8.0,0.0,4.0,0.0,31.0,19.0,3.0,2.0,0.0,94.0,1.0,3055.0,0.0,0.0,13.0,13.0,93.0,2.0,0.0,102.0,0.0,17.0,0.0,0.0,12.0,2.0,50.0,1.0,0.0,3.0,0.0,40.0,8.0,2.0,9.0,3.0,0.0,0.0,23.0,49.0,60.0,2.0,31.0,6.0,1.0,0.0,161.0,1.0,0.0,2.0,59.0,2.0,17.0,2.0,0.0,0.0,2.0,1.0,14.0,54.0,0.0,267.0,8.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,19.0,18.0,26.0,1.0,40.0,8.0,6.0,0.0,16.0,11.0,28.0,80.0,24.0,0.0,6.0,3.0,0.0,5.0,4.0,77.0,0.0,228.0,18.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,37.0,0.0,16.0,26.0,0.0,7.0,0.0,15.0,61.0
"Venezuela, Bolivarian Republic of",2.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,8.0,21.0,2.0,2.0,9.0,0.0,13.0,0.0,1011.0,0.0,0.0,11.0,6.0,17.0,14.0,0.0,19.0,0.0,5.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,8.0,20.0,14.0,0.0,10.0,1.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0,4.0,11.0,3.0,0.0,0.0,0.0,0.0,2.0,61.0,0.0,146.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,65.0,0.0,10.0,0.0,1.0,0.0,20.0,33.0,2.0,34.0,2.0,0.0,9.0,2.0,0.0,0.0,1.0,21.0,0.0,43.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,41.0,0.0,5.0,2.0,0.0,0.0,0.0,34.0,19.0
United States,14.0,272.0,43.0,4791.0,88.0,241.0,105.0,13.0,188.0,131.0,283.0,239.0,301.0,153.0,178.0,1498.0,16.0,46778.0,36.0,35.0,2348.0,962.0,320.0,134.0,49.0,2225.0,36.0,1295.0,114.0,1.0,834.0,103.0,821.0,8.0,1.0,66.0,45.0,1107.0,435.0,61.0,190.0,161.0,105.0,21.0,1057.0,1415.0,1535.0,58.0,1561.0,853.0,59.0,1.0,5011.0,43.0,26.0,10.0,188.0,58.0,246.0,123.0,18.0,4.0,665.0,8.0,880.0,683.0,188.0,1923.0,248.0,40.0,1.0,14.0,408.0,228.0,81.0,77.0,498.0,1114.0,421.0,29.0,495.0,1007.0,132.0,44.0,416.0,155.0,906.0,1282.0,1007.0,43.0,33.0,109.0,2.0,138.0,54.0,492.0,33.0,1229.0,526.0,206.0,179.0,271.0,22.0,26.0,67.0,18.0,648.0,32.0,460.0,694.0,6.0,209.0,1.0,438.0,1294.0
"Iran, Islamic Republic of",1.0,3.0,0.0,6.0,0.0,5.0,14.0,0.0,1.0,0.0,0.0,0.0,9.0,151.0,0.0,20.0,3.0,445.0,2.0,0.0,9.0,20.0,13.0,70.0,1.0,25.0,13.0,28.0,2.0,0.0,0.0,4.0,27.0,1.0,0.0,2.0,1.0,202.0,143.0,2.0,23.0,2.0,3.0,0.0,4.0,24.0,20.0,1.0,38.0,1.0,0.0,0.0,63.0,1.0,0.0,0.0,0.0,8.0,4.0,2.0,0.0,0.0,1.0,0.0,39.0,13.0,5.0,149.0,1.0,2.0,1.0,1.0,0.0,4.0,1.0,2.0,1.0,10.0,64.0,0.0,4.0,5.0,0.0,3.0,4.0,53.0,64.0,6.0,27.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,1.0,10.0,1.0,0.0,2.0,19.0,0.0,39.0,0.0,0.0,44.0,0.0,4.0,10.0,3.0,0.0,1.0,15.0,6.0
Japan,14.0,37.0,2.0,147.0,0.0,8.0,3.0,0.0,26.0,1.0,61.0,14.0,3.0,10.0,6.0,44.0,0.0,2173.0,4.0,3.0,53.0,77.0,34.0,13.0,0.0,96.0,3.0,64.0,132.0,0.0,17.0,2.0,81.0,1.0,0.0,8.0,11.0,207.0,12.0,1.0,13.0,17.0,5.0,0.0,22.0,95.0,87.0,12.0,77.0,51.0,0.0,0.0,290.0,38.0,1.0,58.0,5.0,1.0,24.0,1.0,0.0,0.0,4.0,0.0,35.0,26.0,12.0,108.0,8.0,1.0,0.0,1.0,10.0,32.0,7.0,3.0,21.0,168.0,22.0,3.0,3.0,29.0,1.0,3.0,29.0,13.0,68.0,17.0,19.0,2.0,1.0,5.0,0.0,7.0,0.0,24.0,3.0,121.0,35.0,4.0,4.0,27.0,0.0,0.0,2.0,0.0,45.0,0.0,3.0,41.0,0.0,4.0,0.0,21.0,48.0
