,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,53.0,12.0,4.0,1033.0,3.0,167.0,123.0,9.0,37.0,83.0,51.0,49.0,102.0,40.0,23.0,195.0,1.0,9658.0,1.0,9.0,87.0,72.0,139.0,164.0,1.0,486.0,28.0,112.0,12.0,0.0,48.0,6.0,182.0,17.0,0.0,12.0,7.0,297.0,83.0,7.0,48.0,77.0,18.0,4.0,69.0,364.0,500.0,22.0,681.0,172.0,0.0,0.0,515.0,1.0,7.0,3.0,69.0,81.0,89.0,11.0,40.0,3.0,29.0,4.0,49.0,119.0,106.0,203.0,233.0,0.0,0.0,1.0,7.0,29.0,5.0,3.0,61.0,66.0,103.0,10.0,100.0,94.0,5.0,1.0,192.0,21.0,40.0,478.0,455.0,1.0,195.0,18.0,0.0,46.0,32.0,955.0,2.0,319.0,96.0,37.0,18.0,76.0,6.0,30.0,36.0,1.0,314.0,11.0,54.0,52.0,4.0,173.0,0.0,37.0,204.0
France,2.0,65.0,1.0,1912.0,8.0,58.0,31.0,0.0,26.0,4.0,13.0,79.0,66.0,71.0,16.0,158.0,2.0,5751.0,1.0,11.0,115.0,54.0,146.0,147.0,8.0,173.0,5.0,192.0,5.0,0.0,55.0,4.0,293.0,5.0,0.0,2.0,7.0,257.0,66.0,2.0,56.0,18.0,5.0,1.0,38.0,143.0,107.0,7.0,74.0,15.0,1.0,0.0,1530.0,1.0,2.0,0.0,21.0,7.0,70.0,56.0,165.0,0.0,63.0,1.0,105.0,77.0,12.0,170.0,113.0,5.0,0.0,1.0,125.0,31.0,5.0,17.0,67.0,30.0,49.0,11.0,58.0,173.0,8.0,2.0,51.0,8.0,56.0,178.0,252.0,9.0,6.0,23.0,4.0,74.0,17.0,118.0,1.0,96.0,87.0,24.0,6.0,55.0,0.0,7.0,2.0,1.0,121.0,0.0,66.0,61.0,6.0,20.0,3.0,41.0,127.0
Morocco,2.0,17.0,0.0,61.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,5.0,100.0,0.0,2484.0,0.0,1.0,19.0,0.0,0.0,113.0,3.0,161.0,2.0,277.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,2.0,80.0,9.0,0.0,11.0,5.0,0.0,0.0,2.0,4.0,41.0,2.0,3.0,2.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,0.0,0.0,1.0,0.0,28.0,17.0,18.0,49.0,1.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,11.0,2.0,11.0,0.0,5.0,40.0,2.0,0.0,4.0,1.0,24.0,23.0,42.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,0.0,14.0,10.0,6.0,2.0,1.0,4.0,0.0,0.0,0.0,38.0,0.0,3.0,21.0,1.0,0.0,0.0,4.0,29.0
China,2.0,34.0,7.0,724.0,10.0,44.0,20.0,0.0,52.0,8.0,31.0,21.0,39.0,49.0,14.0,1060.0,3.0,29804.0,18.0,2.0,119.0,125.0,71.0,79.0,2.0,755.0,71.0,479.0,47.0,1.0,25.0,8.0,292.0,3.0,1.0,9.0,8.0,207.0,53.0,5.0,27.0,18.0,24.0,19.0,55.0,277.0,151.0,117.0,215.0,90.0,4.0,0.0,1417.0,29.0,4.0,13.0,10.0,5.0,29.0,8.0,35.0,7.0,16.0,1.0,417.0,119.0,79.0,692.0,59.0,10.0,12.0,9.0,35.0,2176.0,4.0,14.0,123.0,3447.0,96.0,5.0,21.0,197.0,36.0,1.0,58.0,38.0,987.0,118.0,124.0,3.0,3.0,34.0,0.0,32.0,5.0,133.0,1.0,650.0,61.0,134.0,16.0,23.0,3.0,5.0,1.0,2.0,178.0,2.0,65.0,236.0,5.0,9.0,2.0,14.0,199.0
Italy,84.0,17.0,5.0,614.0,14.0,150.0,154.0,3.0,57.0,26.0,28.0,56.0,51.0,16.0,14.0,294.0,1.0,23167.0,1.0,4.0,84.0,327.0,75.0,32.0,1.0,249.0,55.0,79.0,33.0,0.0,40.0,46.0,373.0,1.0,0.0,24.0,2.0,271.0,102.0,5.0,14.0,72.0,6.0,1.0,49.0,282.0,710.0,9.0,785.0,925.0,15.0,0.0,704.0,2.0,7.0,0.0,402.0,20.0,85.0,7.0,157.0,2.0,15.0,1.0,95.0,120.0,10.0,448.0,425.0,11.0,1.0,0.0,32.0,92.0,9.0,36.0,304.0,72.0,144.0,11.0,21.0,445.0,14.0,1.0,69.0,258.0,169.0,349.0,299.0,3.0,127.0,28.0,0.0,36.0,14.0,161.0,2.0,149.0,106.0,16.0,59.0,89.0,16.0,156.0,5.0,2.0,68.0,0.0,84.0,102.0,1.0,160.0,1.0,19.0,126.0
Slovenia,1.0,0.0,0.0,105.0,4.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,412.0,1.0,1.0,1.0,5.0,6.0,0.0,0.0,11.0,1.0,7.0,0.0,0.0,4.0,1.0,16.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,6.0,6.0,1.0,11.0,4.0,0.0,0.0,56.0,0.0,0.0,0.0,42.0,0.0,6.0,3.0,1.0,0.0,15.0,0.0,4.0,2.0,1.0,21.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,7.0,0.0,1.0,2.0,2.0,7.0,1.0,39.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,3.0,0.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,0.0,4.0
Netherlands,8.0,6.0,1.0,712.0,1.0,6.0,2.0,0.0,9.0,2.0,9.0,5.0,13.0,1.0,2.0,41.0,1.0,952.0,1.0,13.0,19.0,19.0,9.0,5.0,0.0,52.0,0.0,26.0,1.0,0.0,16.0,7.0,37.0,4.0,0.0,0.0,1.0,25.0,1.0,1.0,13.0,20.0,3.0,1.0,4.0,27.0,31.0,0.0,24.0,5.0,1.0,0.0,119.0,0.0,0.0,0.0,37.0,0.0,16.0,9.0,0.0,1.0,8.0,1.0,8.0,16.0,1.0,38.0,41.0,0.0,0.0,0.0,18.0,3.0,2.0,2.0,23.0,13.0,54.0,3.0,3.0,63.0,3.0,5.0,27.0,7.0,17.0,52.0,48.0,4.0,18.0,1.0,0.0,5.0,3.0,8.0,0.0,30.0,11.0,79.0,5.0,17.0,1.0,0.0,1.0,1.0,38.0,0.0,16.0,11.0,1.0,2.0,0.0,3.0,16.0
Peru,1.0,0.0,1.0,491.0,1.0,8.0,6.0,0.0,5.0,6.0,3.0,18.0,3.0,5.0,0.0,20.0,0.0,1742.0,0.0,0.0,3.0,4.0,221.0,15.0,3.0,17.0,0.0,22.0,1.0,0.0,2.0,1.0,20.0,2.0,0.0,4.0,0.0,16.0,0.0,1.0,1.0,10.0,4.0,0.0,30.0,46.0,15.0,1.0,17.0,1.0,1.0,0.0,143.0,0.0,1.0,0.0,1.0,10.0,30.0,46.0,0.0,1.0,8.0,0.0,6.0,42.0,6.0,87.0,22.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,5.0,19.0,57.0,0.0,78.0,4.0,4.0,0.0,41.0,8.0,4.0,52.0,26.0,0.0,5.0,9.0,0.0,2.0,2.0,140.0,1.0,20.0,14.0,1.0,15.0,1.0,0.0,0.0,3.0,0.0,28.0,0.0,29.0,9.0,0.0,0.0,0.0,15.0,102.0
Iceland,3.0,0.0,1.0,49.0,10.0,0.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,5.0,0.0,6.0,0.0,194.0,2.0,0.0,3.0,7.0,4.0,1.0,0.0,15.0,0.0,6.0,1.0,0.0,13.0,0.0,6.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,15.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,10.0
Thailand,2.0,13.0,2.0,47.0,5.0,24.0,22.0,1.0,3.0,0.0,16.0,30.0,3.0,11.0,5.0,33.0,2.0,1380.0,3.0,0.0,13.0,14.0,53.0,6.0,0.0,110.0,5.0,52.0,16.0,3.0,6.0,0.0,48.0,3.0,0.0,9.0,1.0,106.0,5.0,3.0,12.0,4.0,10.0,1.0,15.0,27.0,38.0,85.0,35.0,6.0,3.0,0.0,252.0,2.0,1.0,0.0,4.0,7.0,11.0,10.0,1.0,0.0,12.0,0.0,15.0,71.0,9.0,91.0,18.0,11.0,0.0,6.0,11.0,7.0,0.0,18.0,14.0,37.0,23.0,0.0,36.0,29.0,2.0,0.0,37.0,8.0,10.0,59.0,15.0,0.0,4.0,2.0,0.0,26.0,4.0,14.0,2.0,63.0,44.0,16.0,11.0,13.0,1.0,7.0,4.0,1.0,103.0,2.0,28.0,15.0,0.0,6.0,3.0,9.0,43.0
