,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Japan,15.0,37.0,2.0,180.0,0.0,7.0,3.0,0.0,25.0,1.0,60.0,14.0,3.0,10.0,6.0,43.0,0.0,2123.0,4.0,3.0,52.0,78.0,34.0,14.0,0.0,96.0,3.0,64.0,119.0,0.0,17.0,2.0,79.0,1.0,0.0,7.0,12.0,200.0,11.0,1.0,12.0,18.0,5.0,0.0,22.0,95.0,90.0,14.0,76.0,50.0,0.0,0.0,291.0,38.0,1.0,58.0,5.0,1.0,24.0,1.0,0.0,1.0,4.0,0.0,40.0,24.0,11.0,108.0,8.0,1.0,0.0,1.0,9.0,33.0,7.0,3.0,21.0,166.0,21.0,3.0,2.0,28.0,1.0,3.0,30.0,13.0,64.0,17.0,18.0,2.0,1.0,4.0,0.0,7.0,0.0,32.0,3.0,119.0,34.0,4.0,4.0,27.0,0.0,0.0,2.0,0.0,46.0,0.0,3.0,41.0,0.0,4.0,0.0,21.0,48.0
Cameroon,1.0,1.0,2.0,49.0,0.0,1.0,0.0,3.0,3.0,1.0,2.0,3.0,1.0,267.0,7.0,4.0,1.0,268.0,0.0,0.0,7.0,3.0,6.0,6.0,1.0,32.0,0.0,9.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,9.0,0.0,19.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,12.0,7.0,1.0,3.0,2.0,4.0,0.0,23.0,0.0,0.0,3.0,0.0,1.0,17.0,0.0,0.0,0.0,1.0,0.0,15.0,91.0,1.0,33.0,2.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,2.0,0.0,25.0,0.0,1.0,6.0,8.0,0.0,2.0,0.0,12.0,2.0,8.0,0.0,0.0,7.0,0.0,0.0,6.0,12.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,32.0,4.0,0.0,1.0,3.0,60.0,6.0
Grenada,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,233.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0
Spain,73.0,7.0,3.0,1172.0,45.0,146.0,129.0,0.0,41.0,58.0,129.0,19.0,95.0,132.0,1.0,261.0,6.0,11379.0,2.0,3.0,133.0,99.0,119.0,141.0,3.0,643.0,44.0,77.0,18.0,0.0,76.0,15.0,198.0,4.0,0.0,5.0,65.0,272.0,74.0,1.0,43.0,74.0,20.0,0.0,359.0,304.0,506.0,70.0,520.0,91.0,2.0,0.0,856.0,0.0,1.0,2.0,53.0,18.0,89.0,18.0,23.0,7.0,150.0,5.0,128.0,167.0,53.0,443.0,151.0,0.0,1.0,0.0,5.0,34.0,53.0,5.0,26.0,88.0,87.0,21.0,140.0,33.0,9.0,2.0,85.0,18.0,72.0,369.0,273.0,2.0,161.0,8.0,0.0,50.0,8.0,347.0,7.0,260.0,121.0,30.0,11.0,42.0,1.0,17.0,8.0,0.0,308.0,10.0,43.0,152.0,2.0,78.0,0.0,45.0,177.0
Italy,26.0,9.0,2.0,796.0,29.0,86.0,208.0,1.0,49.0,22.0,13.0,92.0,28.0,18.0,2.0,321.0,0.0,29731.0,1.0,2.0,65.0,100.0,80.0,121.0,1.0,302.0,16.0,73.0,20.0,0.0,68.0,3.0,269.0,3.0,0.0,41.0,4.0,166.0,80.0,5.0,11.0,55.0,5.0,1.0,62.0,335.0,665.0,21.0,450.0,418.0,1.0,0.0,516.0,2.0,1.0,1.0,180.0,27.0,122.0,5.0,5.0,1.0,50.0,0.0,78.0,141.0,8.0,1072.0,320.0,13.0,0.0,0.0,15.0,96.0,5.0,63.0,149.0,209.0,153.0,4.0,50.0,122.0,120.0,2.0,96.0,306.0,796.0,362.0,217.0,1.0,28.0,12.0,0.0,31.0,9.0,254.0,3.0,292.0,115.0,17.0,64.0,31.0,3.0,47.0,1.0,10.0,130.0,0.0,86.0,117.0,0.0,43.0,0.0,24.0,171.0
Norway,1.0,0.0,5.0,74.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,21.0,1.0,0.0,3.0,0.0,577.0,2.0,0.0,4.0,4.0,7.0,3.0,0.0,24.0,11.0,18.0,2.0,0.0,12.0,2.0,16.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,4.0,2.0,1.0,0.0,34.0,31.0,41.0,0.0,17.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,2.0,0.0,4.0,1.0,5.0,12.0,0.0,31.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,2.0,11.0,4.0,4.0,0.0,7.0,35.0,2.0,0.0,2.0,0.0,7.0,10.0,67.0,1.0,0.0,1.0,0.0,8.0,2.0,12.0,0.0,18.0,16.0,0.0,10.0,16.0,0.0,1.0,1.0,0.0,10.0,1.0,8.0,12.0,0.0,0.0,0.0,1.0,31.0
Nigeria,1.0,2.0,1.0,46.0,1.0,1.0,5.0,25.0,3.0,0.0,23.0,15.0,5.0,143.0,2.0,31.0,0.0,1081.0,1.0,0.0,32.0,9.0,6.0,7.0,24.0,240.0,4.0,44.0,1.0,0.0,3.0,1.0,18.0,6.0,0.0,30.0,4.0,25.0,14.0,1.0,5.0,2.0,10.0,0.0,12.0,67.0,34.0,1.0,18.0,2.0,12.0,0.0,53.0,0.0,0.0,407.0,1.0,1.0,102.0,1.0,0.0,1.0,7.0,0.0,9.0,291.0,158.0,228.0,17.0,0.0,0.0,0.0,1.0,3.0,37.0,1.0,11.0,11.0,113.0,1.0,7.0,22.0,9.0,0.0,5.0,0.0,57.0,41.0,25.0,0.0,4.0,36.0,0.0,5.0,14.0,120.0,0.0,14.0,6.0,0.0,7.0,3.0,7.0,1.0,0.0,0.0,60.0,0.0,80.0,19.0,0.0,1.0,1.0,42.0,43.0
Portugal,11.0,2.0,0.0,266.0,2.0,11.0,7.0,0.0,4.0,0.0,30.0,19.0,3.0,2.0,0.0,96.0,1.0,3085.0,0.0,0.0,13.0,13.0,94.0,2.0,0.0,102.0,0.0,17.0,0.0,0.0,12.0,2.0,49.0,1.0,0.0,3.0,0.0,39.0,8.0,2.0,9.0,3.0,0.0,0.0,22.0,49.0,59.0,2.0,31.0,6.0,1.0,0.0,163.0,1.0,0.0,2.0,59.0,4.0,20.0,2.0,0.0,0.0,2.0,1.0,20.0,53.0,0.0,268.0,8.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,20.0,17.0,27.0,1.0,37.0,8.0,6.0,0.0,16.0,11.0,28.0,79.0,24.0,0.0,6.0,3.0,0.0,5.0,5.0,74.0,0.0,237.0,18.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,38.0,0.0,15.0,27.0,0.0,7.0,0.0,15.0,61.0
"Venezuela, Bolivarian Republic of",2.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,8.0,16.0,2.0,2.0,9.0,0.0,14.0,0.0,986.0,0.0,0.0,11.0,6.0,18.0,17.0,0.0,17.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,8.0,20.0,14.0,0.0,10.0,1.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,4.0,11.0,2.0,0.0,0.0,0.0,0.0,2.0,56.0,0.0,144.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,61.0,0.0,10.0,0.0,0.0,0.0,17.0,32.0,2.0,33.0,1.0,0.0,9.0,2.0,0.0,0.0,1.0,19.0,0.0,43.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,38.0,0.0,5.0,2.0,0.0,0.0,0.0,34.0,19.0
United States,14.0,277.0,43.0,4777.0,87.0,240.0,106.0,13.0,191.0,129.0,277.0,243.0,310.0,152.0,166.0,1507.0,16.0,46979.0,35.0,35.0,2378.0,971.0,317.0,135.0,49.0,2242.0,36.0,1315.0,113.0,1.0,837.0,102.0,831.0,8.0,1.0,66.0,49.0,1091.0,429.0,61.0,207.0,159.0,105.0,21.0,1050.0,1434.0,1579.0,57.0,1577.0,877.0,60.0,1.0,5006.0,42.0,26.0,10.0,188.0,58.0,249.0,132.0,11.0,4.0,658.0,8.0,887.0,698.0,197.0,2041.0,233.0,40.0,1.0,14.0,404.0,240.0,82.0,78.0,494.0,1123.0,425.0,28.0,499.0,1032.0,133.0,44.0,419.0,143.0,896.0,1271.0,1022.0,43.0,35.0,116.0,2.0,141.0,54.0,495.0,33.0,1250.0,537.0,218.0,173.0,269.0,22.0,25.0,80.0,18.0,648.0,32.0,460.0,700.0,6.0,181.0,1.0,413.0,1301.0
