,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,105.0,21.0,2.0,983.0,53.0,156.0,125.0,0.0,44.0,62.0,121.0,33.0,108.0,128.0,1.0,255.0,37.0,11486.0,3.0,3.0,146.0,92.0,132.0,113.0,16.0,821.0,42.0,81.0,19.0,0.0,66.0,15.0,209.0,5.0,0.0,7.0,67.0,301.0,74.0,5.0,49.0,72.0,26.0,0.0,374.0,355.0,516.0,76.0,461.0,83.0,1.0,0.0,677.0,0.0,1.0,3.0,55.0,39.0,90.0,17.0,23.0,5.0,165.0,8.0,114.0,133.0,56.0,346.0,184.0,0.0,2.0,0.0,14.0,59.0,54.0,5.0,27.0,87.0,67.0,23.0,127.0,40.0,12.0,2.0,57.0,18.0,67.0,413.0,270.0,2.0,162.0,7.0,0.0,52.0,10.0,484.0,6.0,213.0,149.0,42.0,12.0,59.0,1.0,20.0,12.0,0.0,318.0,12.0,52.0,141.0,2.0,91.0,0.0,64.0,239.0
Portugal,11.0,3.0,0.0,191.0,2.0,11.0,8.0,0.0,4.0,0.0,31.0,16.0,5.0,3.0,0.0,70.0,1.0,2824.0,0.0,0.0,15.0,15.0,90.0,2.0,0.0,117.0,0.0,18.0,0.0,0.0,2.0,0.0,51.0,1.0,0.0,3.0,0.0,45.0,8.0,2.0,13.0,2.0,0.0,0.0,22.0,52.0,69.0,2.0,29.0,9.0,2.0,0.0,137.0,1.0,0.0,2.0,40.0,3.0,13.0,2.0,0.0,0.0,2.0,1.0,12.0,58.0,0.0,207.0,7.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,16.0,17.0,27.0,1.0,38.0,8.0,6.0,0.0,14.0,11.0,23.0,81.0,24.0,0.0,6.0,3.0,0.0,6.0,5.0,90.0,0.0,209.0,18.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,48.0,0.0,16.0,25.0,0.0,1.0,0.0,20.0,50.0
United States,17.0,286.0,44.0,4854.0,89.0,230.0,101.0,13.0,183.0,120.0,294.0,246.0,347.0,150.0,131.0,1475.0,13.0,46577.0,37.0,34.0,2311.0,945.0,303.0,121.0,22.0,2132.0,38.0,1271.0,114.0,2.0,594.0,109.0,715.0,8.0,1.0,64.0,45.0,1141.0,447.0,62.0,190.0,168.0,95.0,20.0,1051.0,1281.0,1467.0,55.0,1456.0,819.0,67.0,1.0,4818.0,47.0,22.0,10.0,179.0,52.0,232.0,105.0,27.0,4.0,692.0,8.0,787.0,620.0,178.0,1812.0,257.0,40.0,1.0,24.0,406.0,207.0,69.0,79.0,489.0,1037.0,443.0,32.0,477.0,913.0,134.0,46.0,406.0,153.0,933.0,1303.0,1027.0,46.0,30.0,99.0,2.0,143.0,50.0,513.0,29.0,1140.0,575.0,190.0,180.0,231.0,17.0,29.0,61.0,16.0,621.0,26.0,489.0,680.0,6.0,279.0,1.0,428.0,1256.0
"Iran, Islamic Republic of",2.0,2.0,0.0,7.0,1.0,5.0,18.0,0.0,1.0,0.0,0.0,0.0,9.0,207.0,0.0,20.0,4.0,453.0,2.0,0.0,13.0,20.0,17.0,63.0,1.0,32.0,13.0,33.0,1.0,0.0,0.0,1.0,27.0,1.0,0.0,3.0,1.0,213.0,140.0,2.0,26.0,1.0,2.0,0.0,4.0,22.0,19.0,1.0,41.0,1.0,0.0,0.0,55.0,1.0,1.0,0.0,0.0,8.0,3.0,2.0,0.0,0.0,3.0,0.0,35.0,10.0,4.0,147.0,2.0,2.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,9.0,49.0,0.0,4.0,5.0,1.0,4.0,4.0,53.0,66.0,6.0,29.0,0.0,1.0,4.0,0.0,6.0,0.0,0.0,1.0,10.0,2.0,0.0,1.0,18.0,0.0,21.0,0.0,0.0,48.0,0.0,4.0,10.0,1.0,1.0,1.0,21.0,6.0
Japan,29.0,5.0,3.0,133.0,0.0,10.0,3.0,0.0,25.0,1.0,63.0,14.0,5.0,17.0,7.0,50.0,0.0,2587.0,4.0,2.0,56.0,78.0,32.0,12.0,0.0,53.0,4.0,62.0,185.0,0.0,17.0,2.0,88.0,1.0,0.0,23.0,13.0,235.0,12.0,1.0,14.0,19.0,5.0,0.0,20.0,88.0,83.0,16.0,80.0,54.0,0.0,0.0,303.0,32.0,1.0,54.0,5.0,1.0,32.0,1.0,0.0,0.0,6.0,0.0,34.0,28.0,15.0,95.0,9.0,1.0,0.0,1.0,9.0,35.0,8.0,4.0,22.0,160.0,15.0,3.0,4.0,28.0,2.0,3.0,26.0,15.0,65.0,21.0,21.0,2.0,3.0,8.0,0.0,8.0,0.0,22.0,2.0,105.0,36.0,5.0,2.0,28.0,0.0,0.0,3.0,0.0,44.0,0.0,4.0,41.0,0.0,3.0,0.0,22.0,51.0
France,3.0,7.0,6.0,2180.0,21.0,39.0,38.0,3.0,39.0,6.0,14.0,91.0,16.0,41.0,2.0,145.0,0.0,6316.0,2.0,24.0,101.0,55.0,107.0,146.0,2.0,170.0,19.0,126.0,7.0,2.0,41.0,0.0,852.0,2.0,0.0,7.0,3.0,209.0,166.0,2.0,14.0,35.0,3.0,1.0,45.0,74.0,116.0,15.0,51.0,12.0,0.0,0.0,1573.0,5.0,6.0,0.0,32.0,2.0,63.0,20.0,176.0,0.0,150.0,3.0,61.0,78.0,7.0,232.0,43.0,6.0,0.0,1.0,14.0,31.0,7.0,19.0,18.0,23.0,39.0,10.0,25.0,35.0,54.0,2.0,41.0,8.0,87.0,48.0,399.0,1.0,3.0,15.0,1.0,104.0,23.0,168.0,1.0,94.0,31.0,32.0,11.0,31.0,7.0,5.0,0.0,4.0,135.0,0.0,67.0,42.0,1.0,4.0,1.0,50.0,195.0
India,1.0,45.0,6.0,252.0,1.0,17.0,12.0,1.0,5.0,4.0,30.0,171.0,8.0,124.0,23.0,334.0,3.0,10024.0,4.0,4.0,345.0,42.0,366.0,27.0,6.0,163.0,10.0,140.0,5.0,0.0,16.0,3.0,73.0,1.0,2.0,87.0,7.0,425.0,38.0,13.0,31.0,25.0,11.0,1.0,75.0,183.0,152.0,13.0,93.0,43.0,12.0,0.0,693.0,99.0,0.0,8.0,6.0,55.0,257.0,39.0,0.0,0.0,17.0,0.0,101.0,351.0,7.0,912.0,21.0,3.0,8.0,19.0,52.0,29.0,6.0,7.0,28.0,52.0,259.0,2.0,98.0,53.0,9.0,1.0,110.0,38.0,144.0,106.0,53.0,0.0,5.0,25.0,0.0,70.0,6.0,55.0,1.0,194.0,18.0,1.0,24.0,13.0,5.0,7.0,8.0,2.0,290.0,0.0,295.0,94.0,61.0,36.0,1.0,58.0,201.0
Italy,27.0,8.0,3.0,583.0,29.0,94.0,216.0,0.0,49.0,21.0,13.0,118.0,32.0,17.0,2.0,331.0,1.0,30079.0,1.0,3.0,69.0,122.0,118.0,102.0,0.0,276.0,8.0,84.0,24.0,0.0,63.0,31.0,428.0,3.0,0.0,45.0,4.0,317.0,136.0,4.0,14.0,40.0,5.0,1.0,71.0,344.0,817.0,30.0,636.0,655.0,1.0,0.0,526.0,2.0,1.0,1.0,171.0,23.0,108.0,5.0,5.0,0.0,49.0,0.0,70.0,132.0,17.0,1114.0,312.0,12.0,0.0,0.0,30.0,124.0,1.0,60.0,194.0,164.0,172.0,4.0,43.0,141.0,124.0,2.0,105.0,316.0,679.0,372.0,244.0,2.0,25.0,6.0,0.0,88.0,3.0,304.0,2.0,310.0,106.0,17.0,81.0,37.0,3.0,15.0,1.0,11.0,131.0,0.0,87.0,136.0,2.0,337.0,0.0,33.0,197.0
"Venezuela, Bolivarian Republic of",1.0,0.0,1.0,4.0,0.0,4.0,5.0,0.0,0.0,7.0,23.0,2.0,2.0,2.0,0.0,10.0,0.0,1068.0,0.0,0.0,12.0,6.0,17.0,12.0,0.0,24.0,0.0,5.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,19.0,13.0,0.0,9.0,2.0,1.0,1.0,23.0,0.0,0.0,0.0,0.0,4.0,10.0,3.0,0.0,0.0,1.0,0.0,2.0,56.0,1.0,160.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,9.0,5.0,76.0,0.0,10.0,0.0,1.0,0.0,36.0,61.0,2.0,37.0,2.0,0.0,10.0,2.0,0.0,0.0,1.0,21.0,0.0,40.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,53.0,0.0,4.0,2.0,0.0,0.0,0.0,35.0,18.0
Brazil,2.0,2.0,12.0,93.0,7.0,109.0,68.0,2.0,11.0,71.0,85.0,496.0,9.0,26.0,3.0,128.0,0.0,7174.0,2.0,1.0,33.0,73.0,1233.0,41.0,1.0,75.0,3.0,44.0,4.0,0.0,39.0,28.0,121.0,9.0,0.0,41.0,0.0,137.0,18.0,20.0,13.0,38.0,4.0,0.0,75.0,300.0,134.0,21.0,176.0,78.0,13.0,2.0,677.0,14.0,1.0,0.0,1.0,110.0,339.0,81.0,0.0,0.0,11.0,2.0,37.0,247.0,5.0,1623.0,86.0,0.0,1.0,0.0,7.0,21.0,52.0,1.0,35.0,41.0,294.0,3.0,270.0,28.0,42.0,1.0,172.0,192.0,64.0,157.0,73.0,1.0,16.0,98.0,1.0,10.0,14.0,188.0,6.0,752.0,119.0,12.0,55.0,86.0,4.0,4.0,7.0,4.0,138.0,0.0,51.0,111.0,5.0,11.0,0.0,274.0,1029.0
Cuba,1.0,1.0,0.0,5.0,1.0,0.0,10.0,0.0,0.0,3.0,15.0,10.0,0.0,13.0,0.0,41.0,0.0,1769.0,1.0,0.0,1.0,2.0,156.0,3.0,1.0,45.0,1.0,5.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,9.0,5.0,3.0,1.0,33.0,17.0,0.0,8.0,64.0,4.0,0.0,6.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,1.0,2.0,0.0,0.0,6.0,5.0,0.0,8.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,18.0,0.0,2.0,1.0,4.0,0.0,7.0,6.0,7.0,14.0,2.0,0.0,15.0,2.0,0.0,0.0,0.0,11.0,1.0,9.0,8.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,8.0,21.0,0.0,6.0,0.0,6.0,58.0
United Kingdom,2.0,31.0,8.0,1502.0,26.0,37.0,25.0,1.0,154.0,35.0,282.0,63.0,104.0,74.0,13.0,428.0,70.0,14549.0,10.0,11.0,376.0,178.0,100.0,169.0,15.0,1026.0,10.0,476.0,50.0,0.0,90.0,16.0,266.0,4.0,0.0,32.0,21.0,844.0,110.0,13.0,261.0,65.0,12.0,1.0,880.0,457.0,536.0,81.0,389.0,181.0,9.0,0.0,2569.0,42.0,5.0,255.0,77.0,28.0,119.0,41.0,17.0,0.0,131.0,3.0,277.0,193.0,89.0,760.0,210.0,26.0,1.0,2.0,294.0,93.0,20.0,29.0,101.0,144.0,344.0,6.0,71.0,409.0,19.0,4.0,200.0,102.0,250.0,444.0,474.0,3.0,44.0,23.0,3.0,122.0,48.0,513.0,1.0,264.0,104.0,74.0,36.0,48.0,12.0,5.0,27.0,6.0,206.0,1.0,304.0,446.0,14.0,3.0,0.0,114.0,299.0
Belgium,3.0,1.0,0.0,213.0,0.0,1.0,24.0,0.0,3.0,1.0,12.0,2.0,4.0,4.0,2.0,36.0,0.0,1432.0,1.0,1.0,16.0,23.0,5.0,10.0,0.0,74.0,1.0,13.0,11.0,0.0,10.0,0.0,70.0,0.0,0.0,1.0,0.0,133.0,100.0,1.0,2.0,3.0,1.0,0.0,12.0,12.0,12.0,1.0,34.0,12.0,1.0,0.0,185.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,6.0,0.0,22.0,0.0,5.0,24.0,2.0,49.0,11.0,0.0,0.0,0.0,15.0,7.0,0.0,1.0,13.0,11.0,17.0,2.0,4.0,37.0,1.0,1.0,11.0,7.0,25.0,33.0,655.0,1.0,6.0,1.0,1.0,9.0,2.0,58.0,0.0,29.0,15.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,33.0,0.0,16.0,18.0,0.0,2.0,0.0,10.0,22.0
