,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Albania,1.0,21.0,0.0,260.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,279.0,0.0,2036.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,35.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,41.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,48.0
Japan,8.0,40.0,1.0,237.0,0.0,7.0,3.0,0.0,13.0,1.0,57.0,14.0,3.0,9.0,6.0,39.0,0.0,1980.0,4.0,3.0,54.0,72.0,34.0,15.0,0.0,99.0,3.0,50.0,118.0,0.0,14.0,1.0,68.0,1.0,0.0,11.0,16.0,162.0,14.0,1.0,12.0,12.0,3.0,0.0,22.0,81.0,80.0,13.0,64.0,40.0,0.0,0.0,240.0,39.0,1.0,65.0,3.0,1.0,22.0,2.0,0.0,1.0,4.0,0.0,60.0,30.0,14.0,104.0,7.0,0.0,0.0,0.0,9.0,29.0,6.0,3.0,17.0,166.0,19.0,3.0,2.0,25.0,1.0,2.0,27.0,14.0,56.0,18.0,14.0,2.0,1.0,7.0,0.0,7.0,0.0,35.0,3.0,93.0,50.0,4.0,4.0,27.0,0.0,0.0,2.0,0.0,36.0,0.0,1.0,26.0,0.0,2.0,0.0,19.0,49.0
Spain,49.0,3.0,3.0,1005.0,16.0,149.0,116.0,0.0,37.0,64.0,124.0,15.0,80.0,80.0,4.0,226.0,4.0,10985.0,2.0,3.0,114.0,91.0,134.0,158.0,3.0,596.0,36.0,72.0,15.0,0.0,90.0,14.0,171.0,3.0,0.0,4.0,65.0,218.0,61.0,2.0,38.0,82.0,19.0,0.0,305.0,238.0,406.0,67.0,486.0,69.0,2.0,0.0,771.0,0.0,0.0,2.0,39.0,17.0,75.0,16.0,15.0,10.0,58.0,1.0,119.0,147.0,53.0,462.0,132.0,4.0,1.0,0.0,7.0,25.0,52.0,5.0,23.0,68.0,86.0,22.0,141.0,36.0,7.0,2.0,87.0,14.0,63.0,327.0,225.0,2.0,129.0,7.0,0.0,49.0,4.0,255.0,6.0,261.0,90.0,38.0,16.0,41.0,1.0,20.0,6.0,0.0,233.0,10.0,45.0,144.0,1.0,47.0,0.0,43.0,140.0
Portugal,7.0,1.0,0.0,284.0,2.0,11.0,5.0,0.0,3.0,0.0,28.0,20.0,3.0,1.0,1.0,116.0,1.0,3154.0,0.0,0.0,12.0,12.0,93.0,2.0,0.0,106.0,0.0,15.0,1.0,0.0,12.0,2.0,74.0,1.0,0.0,2.0,0.0,32.0,8.0,2.0,9.0,16.0,0.0,0.0,22.0,47.0,59.0,2.0,33.0,6.0,1.0,0.0,144.0,0.0,0.0,2.0,62.0,4.0,22.0,2.0,0.0,0.0,2.0,1.0,15.0,53.0,0.0,225.0,6.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,22.0,17.0,27.0,1.0,33.0,4.0,11.0,0.0,16.0,11.0,27.0,72.0,17.0,0.0,2.0,3.0,0.0,5.0,4.0,30.0,0.0,246.0,16.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,43.0,0.0,12.0,25.0,0.0,7.0,0.0,14.0,60.0
New Zealand,1.0,4.0,0.0,18.0,1.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,2.0,0.0,15.0,0.0,585.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,13.0,0.0,15.0,0.0,0.0,9.0,2.0,17.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,9.0,4.0,0.0,0.0,5.0,6.0,11.0,0.0,8.0,2.0,0.0,0.0,161.0,0.0,0.0,0.0,6.0,0.0,4.0,5.0,1.0,0.0,2.0,0.0,11.0,6.0,0.0,106.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,12.0,5.0,7.0,5.0,0.0,1.0,26.0,0.0,0.0,9.0,18.0,15.0,17.0,25.0,11.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,30.0,8.0,6.0,0.0,20.0,0.0,0.0,0.0,0.0,6.0,0.0,15.0,2.0,0.0,0.0,0.0,1.0,3.0
"Venezuela, Bolivarian Republic of",3.0,0.0,0.0,4.0,0.0,3.0,5.0,0.0,0.0,6.0,16.0,2.0,3.0,9.0,0.0,15.0,0.0,861.0,0.0,0.0,10.0,6.0,17.0,16.0,0.0,26.0,0.0,6.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,3.0,2.0,0.0,8.0,18.0,13.0,0.0,10.0,1.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,2.0,67.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,36.0,0.0,5.0,0.0,0.0,0.0,15.0,14.0,1.0,23.0,1.0,0.0,9.0,2.0,0.0,0.0,1.0,10.0,0.0,42.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,31.0,0.0,6.0,2.0,0.0,0.0,0.0,29.0,21.0
United States,15.0,301.0,41.0,4336.0,86.0,274.0,118.0,12.0,188.0,115.0,180.0,223.0,295.0,147.0,206.0,1485.0,15.0,43787.0,36.0,35.0,2217.0,813.0,304.0,127.0,46.0,2249.0,33.0,1225.0,90.0,1.0,808.0,100.0,789.0,7.0,1.0,64.0,47.0,1072.0,377.0,57.0,204.0,135.0,105.0,16.0,940.0,1408.0,1484.0,46.0,1363.0,688.0,64.0,1.0,4846.0,39.0,26.0,7.0,160.0,52.0,225.0,156.0,23.0,4.0,538.0,4.0,899.0,667.0,205.0,2077.0,222.0,46.0,1.0,12.0,352.0,233.0,94.0,77.0,420.0,1106.0,465.0,26.0,464.0,1003.0,123.0,39.0,353.0,131.0,827.0,1080.0,930.0,23.0,37.0,112.0,2.0,139.0,52.0,511.0,43.0,1272.0,429.0,146.0,126.0,284.0,14.0,14.0,81.0,15.0,626.0,22.0,446.0,644.0,6.0,119.0,1.0,387.0,1243.0
Italy,29.0,8.0,1.0,841.0,12.0,85.0,221.0,1.0,41.0,26.0,15.0,64.0,16.0,16.0,3.0,305.0,0.0,28280.0,0.0,2.0,65.0,75.0,43.0,113.0,1.0,307.0,19.0,81.0,16.0,0.0,67.0,3.0,257.0,4.0,0.0,24.0,4.0,104.0,81.0,6.0,13.0,61.0,3.0,1.0,55.0,362.0,617.0,15.0,403.0,335.0,2.0,0.0,476.0,2.0,0.0,1.0,171.0,27.0,109.0,6.0,4.0,1.0,26.0,0.0,77.0,139.0,14.0,1034.0,265.0,14.0,0.0,0.0,12.0,92.0,16.0,55.0,153.0,177.0,146.0,2.0,47.0,156.0,19.0,2.0,78.0,306.0,839.0,330.0,222.0,2.0,29.0,16.0,0.0,13.0,11.0,182.0,1.0,295.0,98.0,14.0,73.0,24.0,2.0,59.0,0.0,11.0,122.0,1.0,67.0,105.0,1.0,32.0,0.0,23.0,135.0
"Macedonia, Republic of",1.0,0.0,0.0,23.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,745.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,47.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,16.0,12.0,57.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0
Austria,1.0,1.0,0.0,91.0,3.0,2.0,1.0,0.0,1.0,0.0,7.0,7.0,4.0,5.0,0.0,25.0,0.0,1496.0,0.0,1.0,5.0,6.0,5.0,14.0,0.0,28.0,4.0,5.0,3.0,0.0,17.0,0.0,49.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,3.0,2.0,0.0,20.0,51.0,39.0,0.0,16.0,17.0,0.0,0.0,179.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,5.0,0.0,122.0,11.0,1.0,0.0,0.0,1.0,7.0,0.0,4.0,3.0,14.0,6.0,0.0,1.0,19.0,1.0,0.0,6.0,12.0,31.0,13.0,17.0,0.0,0.0,0.0,0.0,7.0,2.0,50.0,10.0,47.0,12.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,28.0,0.0,20.0,12.0,1.0,4.0,0.0,4.0,19.0
