,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Guatemala,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,168.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,2.0,5.0,1.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,7.0
Spain,45.0,3.0,3.0,1009.0,18.0,147.0,98.0,0.0,40.0,64.0,105.0,14.0,81.0,75.0,4.0,223.0,4.0,10907.0,2.0,3.0,112.0,89.0,131.0,161.0,3.0,554.0,35.0,75.0,23.0,0.0,75.0,14.0,169.0,3.0,0.0,4.0,65.0,213.0,58.0,2.0,43.0,82.0,16.0,0.0,309.0,238.0,411.0,66.0,498.0,87.0,2.0,0.0,759.0,0.0,0.0,2.0,39.0,15.0,65.0,15.0,15.0,10.0,34.0,1.0,123.0,147.0,51.0,451.0,124.0,4.0,1.0,0.0,7.0,26.0,50.0,5.0,21.0,62.0,110.0,23.0,137.0,36.0,6.0,2.0,91.0,14.0,58.0,360.0,204.0,2.0,121.0,8.0,0.0,49.0,4.0,258.0,7.0,255.0,92.0,33.0,16.0,39.0,1.0,22.0,6.0,0.0,232.0,10.0,43.0,141.0,1.0,48.0,0.0,35.0,135.0
Russian Federation,5.0,134.0,0.0,368.0,7.0,38.0,99.0,0.0,6.0,4.0,63.0,13.0,9.0,117.0,3.0,112.0,14.0,6642.0,3.0,3.0,325.0,29.0,31.0,386.0,4.0,359.0,43.0,93.0,31.0,24.0,9.0,12.0,85.0,0.0,0.0,2.0,8.0,265.0,9.0,0.0,9.0,9.0,87.0,1.0,90.0,80.0,56.0,10.0,25.0,12.0,1.0,0.0,1370.0,2.0,1.0,2.0,9.0,2.0,45.0,64.0,1.0,1.0,142.0,0.0,40.0,54.0,5.0,447.0,32.0,19.0,0.0,0.0,27.0,10.0,3.0,20.0,21.0,156.0,189.0,10.0,241.0,43.0,28.0,0.0,129.0,104.0,315.0,64.0,36.0,1.0,17.0,5.0,0.0,7.0,4.0,52.0,2.0,53.0,184.0,5.0,39.0,31.0,0.0,37.0,4.0,0.0,228.0,29.0,152.0,54.0,1.0,26.0,0.0,110.0,55.0
Italy,29.0,8.0,1.0,920.0,8.0,85.0,200.0,1.0,41.0,27.0,13.0,56.0,18.0,15.0,4.0,308.0,0.0,28042.0,0.0,2.0,62.0,73.0,42.0,124.0,1.0,316.0,19.0,81.0,17.0,0.0,68.0,3.0,250.0,4.0,0.0,22.0,4.0,99.0,78.0,6.0,17.0,64.0,3.0,1.0,54.0,372.0,692.0,15.0,401.0,332.0,3.0,0.0,495.0,2.0,0.0,1.0,164.0,24.0,101.0,7.0,4.0,1.0,24.0,0.0,73.0,144.0,15.0,1029.0,258.0,13.0,1.0,0.0,11.0,95.0,16.0,55.0,154.0,186.0,159.0,2.0,47.0,186.0,17.0,2.0,78.0,298.0,866.0,360.0,218.0,2.0,29.0,16.0,0.0,14.0,11.0,157.0,1.0,309.0,107.0,15.0,71.0,23.0,2.0,90.0,0.0,11.0,93.0,1.0,66.0,104.0,1.0,23.0,0.0,23.0,124.0
Albania,1.0,21.0,0.0,260.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,277.0,0.0,1966.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,36.0,2.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,41.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,51.0
Japan,8.0,40.0,1.0,253.0,0.0,7.0,3.0,0.0,11.0,1.0,56.0,14.0,3.0,9.0,6.0,39.0,0.0,1995.0,4.0,3.0,57.0,66.0,36.0,14.0,0.0,109.0,3.0,51.0,122.0,0.0,9.0,1.0,69.0,1.0,0.0,11.0,16.0,159.0,13.0,1.0,10.0,12.0,2.0,0.0,20.0,78.0,79.0,13.0,63.0,34.0,0.0,0.0,245.0,40.0,1.0,65.0,3.0,1.0,22.0,2.0,0.0,1.0,3.0,0.0,61.0,29.0,14.0,106.0,8.0,0.0,0.0,0.0,11.0,30.0,6.0,3.0,17.0,167.0,19.0,3.0,3.0,23.0,1.0,2.0,27.0,15.0,54.0,18.0,11.0,2.0,1.0,7.0,0.0,7.0,0.0,36.0,3.0,94.0,47.0,4.0,4.0,27.0,0.0,0.0,2.0,0.0,37.0,0.0,2.0,26.0,0.0,3.0,0.0,20.0,41.0
Portugal,5.0,1.0,0.0,307.0,2.0,11.0,5.0,0.0,2.0,0.0,27.0,20.0,3.0,1.0,1.0,114.0,1.0,3221.0,0.0,0.0,13.0,13.0,92.0,2.0,0.0,104.0,0.0,8.0,1.0,0.0,12.0,2.0,59.0,1.0,0.0,2.0,0.0,30.0,6.0,2.0,5.0,16.0,0.0,0.0,22.0,48.0,64.0,2.0,30.0,3.0,1.0,0.0,143.0,0.0,0.0,2.0,61.0,4.0,23.0,2.0,0.0,0.0,2.0,1.0,17.0,51.0,0.0,208.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,23.0,18.0,26.0,1.0,33.0,4.0,11.0,0.0,16.0,9.0,29.0,54.0,13.0,0.0,2.0,3.0,0.0,1.0,5.0,26.0,0.0,244.0,17.0,0.0,3.0,7.0,0.0,2.0,0.0,0.0,45.0,0.0,10.0,26.0,0.0,7.0,0.0,14.0,56.0
New Zealand,1.0,4.0,0.0,18.0,1.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,2.0,0.0,15.0,0.0,592.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,9.0,2.0,19.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,6.0,4.0,0.0,0.0,5.0,6.0,10.0,0.0,8.0,2.0,0.0,0.0,145.0,0.0,0.0,0.0,6.0,0.0,4.0,5.0,1.0,0.0,2.0,0.0,11.0,6.0,0.0,92.0,14.0,0.0,0.0,0.0,13.0,0.0,0.0,12.0,5.0,5.0,5.0,0.0,1.0,22.0,0.0,0.0,9.0,17.0,14.0,14.0,26.0,11.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,29.0,5.0,6.0,0.0,18.0,0.0,0.0,0.0,0.0,6.0,0.0,14.0,2.0,0.0,0.0,0.0,2.0,3.0
"Venezuela, Bolivarian Republic of",3.0,0.0,0.0,4.0,0.0,3.0,4.0,0.0,0.0,6.0,13.0,2.0,3.0,8.0,0.0,15.0,0.0,830.0,0.0,0.0,11.0,9.0,15.0,16.0,0.0,27.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,2.0,0.0,8.0,18.0,15.0,0.0,9.0,1.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,2.0,65.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,29.0,0.0,5.0,0.0,0.0,0.0,15.0,10.0,1.0,24.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,9.0,0.0,42.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,31.0,0.0,6.0,2.0,0.0,0.0,0.0,31.0,21.0
United States,14.0,308.0,39.0,4197.0,80.0,269.0,147.0,7.0,188.0,114.0,169.0,220.0,298.0,151.0,203.0,1484.0,15.0,43144.0,35.0,34.0,2209.0,804.0,306.0,128.0,43.0,2308.0,29.0,1208.0,86.0,1.0,802.0,99.0,779.0,7.0,1.0,61.0,50.0,1114.0,365.0,59.0,201.0,132.0,106.0,16.0,766.0,1398.0,1479.0,44.0,1371.0,677.0,62.0,1.0,4822.0,39.0,24.0,7.0,140.0,50.0,219.0,154.0,21.0,4.0,511.0,3.0,910.0,684.0,210.0,2024.0,219.0,49.0,1.0,12.0,336.0,217.0,89.0,81.0,393.0,1067.0,481.0,26.0,442.0,997.0,118.0,40.0,358.0,134.0,797.0,1053.0,874.0,24.0,39.0,108.0,2.0,139.0,56.0,536.0,44.0,1279.0,432.0,149.0,131.0,287.0,13.0,12.0,81.0,15.0,606.0,21.0,431.0,599.0,4.0,110.0,1.0,386.0,1238.0
