,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,104.0,21.0,2.0,998.0,51.0,156.0,122.0,0.0,44.0,62.0,121.0,31.0,107.0,129.0,2.0,257.0,13.0,11482.0,3.0,3.0,141.0,91.0,130.0,114.0,17.0,772.0,42.0,80.0,18.0,0.0,64.0,15.0,205.0,5.0,0.0,8.0,66.0,289.0,74.0,4.0,48.0,70.0,22.0,0.0,366.0,336.0,500.0,74.0,478.0,83.0,1.0,0.0,685.0,0.0,1.0,2.0,55.0,40.0,92.0,17.0,23.0,4.0,165.0,8.0,113.0,129.0,55.0,347.0,181.0,0.0,2.0,0.0,5.0,48.0,54.0,5.0,27.0,74.0,66.0,22.0,134.0,39.0,11.0,2.0,65.0,19.0,69.0,404.0,272.0,2.0,162.0,8.0,0.0,52.0,11.0,479.0,6.0,210.0,149.0,42.0,11.0,60.0,1.0,20.0,10.0,0.0,310.0,11.0,52.0,147.0,2.0,90.0,0.0,62.0,231.0
Portugal,11.0,3.0,0.0,192.0,2.0,10.0,9.0,0.0,4.0,0.0,31.0,16.0,4.0,3.0,0.0,73.0,1.0,2814.0,0.0,0.0,14.0,13.0,90.0,2.0,0.0,116.0,0.0,18.0,0.0,0.0,2.0,0.0,51.0,1.0,0.0,3.0,0.0,43.0,8.0,2.0,13.0,2.0,0.0,0.0,22.0,51.0,50.0,2.0,35.0,9.0,2.0,0.0,137.0,1.0,0.0,2.0,40.0,3.0,14.0,2.0,0.0,0.0,2.0,1.0,12.0,58.0,0.0,214.0,7.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,16.0,17.0,27.0,1.0,37.0,8.0,6.0,0.0,14.0,11.0,27.0,81.0,24.0,0.0,6.0,3.0,0.0,6.0,7.0,91.0,0.0,210.0,18.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,49.0,0.0,16.0,26.0,0.0,1.0,0.0,20.0,50.0
United States,17.0,282.0,44.0,4831.0,86.0,231.0,102.0,13.0,172.0,124.0,287.0,244.0,337.0,155.0,129.0,1462.0,13.0,46476.0,36.0,33.0,2326.0,941.0,306.0,125.0,25.0,2113.0,38.0,1273.0,114.0,2.0,647.0,109.0,720.0,8.0,1.0,70.0,45.0,1144.0,442.0,62.0,187.0,167.0,96.0,20.0,1046.0,1326.0,1468.0,55.0,1487.0,820.0,67.0,1.0,4838.0,47.0,26.0,10.0,178.0,58.0,232.0,107.0,22.0,4.0,680.0,7.0,774.0,637.0,173.0,1812.0,263.0,39.0,1.0,24.0,406.0,206.0,74.0,77.0,489.0,1039.0,441.0,31.0,476.0,916.0,132.0,46.0,406.0,156.0,918.0,1292.0,1002.0,46.0,32.0,103.0,2.0,145.0,52.0,512.0,28.0,1130.0,547.0,190.0,175.0,229.0,23.0,30.0,62.0,17.0,619.0,27.0,495.0,681.0,6.0,275.0,1.0,427.0,1259.0
"Iran, Islamic Republic of",2.0,2.0,0.0,7.0,1.0,5.0,17.0,0.0,1.0,0.0,0.0,0.0,8.0,204.0,0.0,20.0,4.0,454.0,2.0,0.0,13.0,21.0,17.0,62.0,1.0,32.0,13.0,33.0,1.0,0.0,0.0,1.0,28.0,1.0,0.0,2.0,1.0,211.0,142.0,2.0,24.0,1.0,2.0,0.0,4.0,22.0,19.0,1.0,41.0,1.0,0.0,0.0,55.0,1.0,1.0,0.0,0.0,8.0,3.0,2.0,0.0,0.0,3.0,0.0,36.0,10.0,9.0,146.0,2.0,2.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,9.0,50.0,0.0,4.0,5.0,1.0,4.0,4.0,53.0,63.0,6.0,28.0,0.0,1.0,4.0,0.0,6.0,0.0,0.0,1.0,10.0,2.0,0.0,1.0,18.0,0.0,22.0,0.0,0.0,48.0,0.0,4.0,10.0,1.0,1.0,1.0,15.0,6.0
Japan,27.0,4.0,3.0,134.0,0.0,10.0,3.0,0.0,24.0,1.0,61.0,14.0,5.0,10.0,7.0,50.0,0.0,2559.0,4.0,2.0,55.0,77.0,32.0,12.0,0.0,88.0,4.0,62.0,177.0,0.0,17.0,2.0,86.0,1.0,0.0,23.0,12.0,230.0,12.0,1.0,14.0,19.0,5.0,0.0,22.0,89.0,84.0,15.0,76.0,54.0,0.0,0.0,304.0,39.0,1.0,50.0,5.0,1.0,36.0,1.0,0.0,0.0,5.0,0.0,33.0,28.0,13.0,97.0,8.0,1.0,0.0,1.0,9.0,35.0,8.0,4.0,22.0,160.0,15.0,3.0,3.0,28.0,1.0,3.0,27.0,15.0,65.0,21.0,19.0,2.0,3.0,8.0,0.0,9.0,0.0,20.0,2.0,104.0,34.0,4.0,2.0,28.0,0.0,0.0,3.0,0.0,44.0,0.0,4.0,41.0,0.0,3.0,0.0,22.0,52.0
France,3.0,7.0,4.0,2191.0,21.0,40.0,39.0,3.0,39.0,5.0,14.0,90.0,16.0,40.0,2.0,143.0,0.0,6279.0,2.0,25.0,98.0,55.0,106.0,145.0,2.0,170.0,18.0,125.0,7.0,1.0,41.0,0.0,849.0,2.0,0.0,7.0,3.0,208.0,166.0,2.0,14.0,35.0,3.0,1.0,44.0,73.0,114.0,14.0,47.0,11.0,0.0,0.0,1581.0,5.0,6.0,0.0,31.0,2.0,61.0,20.0,174.0,0.0,150.0,3.0,58.0,78.0,7.0,229.0,43.0,6.0,0.0,1.0,11.0,31.0,7.0,18.0,18.0,25.0,39.0,10.0,27.0,38.0,55.0,2.0,44.0,8.0,87.0,47.0,401.0,1.0,3.0,13.0,1.0,103.0,21.0,154.0,0.0,95.0,32.0,32.0,11.0,30.0,7.0,4.0,0.0,3.0,133.0,0.0,65.0,42.0,1.0,4.0,1.0,49.0,193.0
India,1.0,44.0,6.0,252.0,1.0,17.0,12.0,2.0,5.0,4.0,25.0,165.0,8.0,122.0,23.0,333.0,3.0,10016.0,4.0,4.0,347.0,42.0,356.0,26.0,6.0,153.0,10.0,134.0,5.0,0.0,16.0,3.0,74.0,1.0,2.0,92.0,7.0,412.0,35.0,13.0,31.0,25.0,11.0,1.0,69.0,183.0,146.0,12.0,91.0,40.0,12.0,0.0,668.0,87.0,0.0,8.0,6.0,58.0,278.0,34.0,0.0,0.0,17.0,0.0,108.0,339.0,7.0,909.0,20.0,3.0,9.0,20.0,52.0,26.0,6.0,5.0,28.0,56.0,263.0,2.0,95.0,52.0,9.0,1.0,109.0,38.0,143.0,104.0,52.0,0.0,5.0,25.0,0.0,70.0,6.0,53.0,1.0,164.0,18.0,1.0,24.0,13.0,7.0,7.0,10.0,2.0,289.0,0.0,286.0,88.0,64.0,36.0,3.0,58.0,197.0
Italy,27.0,8.0,2.0,598.0,29.0,88.0,219.0,1.0,49.0,22.0,13.0,112.0,31.0,16.0,2.0,330.0,0.0,30124.0,1.0,3.0,72.0,116.0,118.0,102.0,0.0,270.0,13.0,84.0,22.0,0.0,66.0,30.0,402.0,3.0,0.0,44.0,4.0,314.0,136.0,4.0,14.0,43.0,5.0,1.0,67.0,341.0,786.0,28.0,639.0,656.0,1.0,0.0,518.0,2.0,1.0,1.0,169.0,24.0,111.0,5.0,5.0,0.0,50.0,0.0,69.0,137.0,16.0,1094.0,310.0,11.0,0.0,0.0,30.0,118.0,5.0,61.0,191.0,165.0,169.0,4.0,46.0,138.0,123.0,2.0,105.0,318.0,697.0,371.0,240.0,2.0,25.0,13.0,0.0,88.0,7.0,298.0,2.0,308.0,105.0,16.0,79.0,37.0,3.0,15.0,1.0,10.0,132.0,0.0,88.0,131.0,0.0,318.0,0.0,32.0,201.0
"Venezuela, Bolivarian Republic of",1.0,0.0,1.0,5.0,0.0,4.0,5.0,0.0,0.0,6.0,23.0,2.0,2.0,2.0,0.0,10.0,0.0,1054.0,0.0,0.0,12.0,6.0,16.0,13.0,0.0,22.0,0.0,5.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,20.0,12.0,0.0,9.0,2.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0,4.0,10.0,3.0,0.0,0.0,1.0,0.0,2.0,58.0,1.0,158.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,9.0,5.0,67.0,0.0,10.0,0.0,1.0,0.0,36.0,46.0,2.0,36.0,2.0,0.0,10.0,2.0,0.0,0.0,1.0,21.0,0.0,40.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,54.0,0.0,4.0,2.0,0.0,0.0,0.0,34.0,18.0
Brazil,2.0,2.0,9.0,94.0,7.0,109.0,68.0,2.0,11.0,74.0,78.0,499.0,8.0,26.0,3.0,132.0,0.0,7263.0,2.0,1.0,36.0,74.0,1238.0,42.0,1.0,74.0,3.0,45.0,4.0,0.0,39.0,28.0,123.0,8.0,0.0,46.0,0.0,140.0,14.0,18.0,13.0,38.0,4.0,0.0,78.0,293.0,129.0,19.0,174.0,73.0,10.0,2.0,689.0,14.0,1.0,0.0,1.0,111.0,357.0,80.0,0.0,0.0,12.0,2.0,38.0,249.0,5.0,1634.0,79.0,0.0,1.0,0.0,7.0,21.0,58.0,1.0,35.0,41.0,290.0,3.0,273.0,28.0,39.0,1.0,171.0,167.0,65.0,159.0,74.0,1.0,17.0,95.0,1.0,10.0,12.0,181.0,6.0,768.0,119.0,12.0,56.0,83.0,3.0,4.0,7.0,3.0,135.0,0.0,49.0,105.0,5.0,10.0,0.0,274.0,1059.0
