,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,57.0,16.0,2.0,662.0,20.0,211.0,91.0,8.0,36.0,67.0,32.0,41.0,102.0,25.0,8.0,160.0,35.0,7548.0,1.0,1.0,84.0,42.0,68.0,143.0,1.0,346.0,22.0,75.0,11.0,1.0,17.0,8.0,124.0,7.0,0.0,8.0,2.0,160.0,66.0,16.0,72.0,63.0,22.0,4.0,106.0,301.0,381.0,18.0,470.0,111.0,0.0,0.0,350.0,0.0,6.0,3.0,106.0,46.0,39.0,8.0,28.0,3.0,14.0,14.0,36.0,88.0,5.0,158.0,172.0,5.0,0.0,0.0,21.0,30.0,3.0,3.0,66.0,78.0,85.0,12.0,127.0,39.0,9.0,0.0,129.0,20.0,23.0,363.0,270.0,1.0,138.0,8.0,0.0,44.0,27.0,716.0,3.0,304.0,113.0,31.0,16.0,72.0,0.0,33.0,40.0,2.0,215.0,1.0,50.0,63.0,2.0,203.0,0.0,34.0,181.0
Italy,87.0,17.0,6.0,360.0,14.0,116.0,212.0,2.0,22.0,15.0,24.0,50.0,33.0,15.0,12.0,223.0,2.0,19136.0,1.0,1.0,66.0,239.0,111.0,17.0,0.0,199.0,19.0,60.0,22.0,0.0,50.0,56.0,396.0,1.0,0.0,16.0,1.0,274.0,103.0,3.0,11.0,65.0,3.0,0.0,51.0,234.0,647.0,9.0,617.0,709.0,3.0,0.0,590.0,3.0,7.0,0.0,422.0,20.0,54.0,8.0,196.0,1.0,16.0,3.0,45.0,85.0,8.0,341.0,244.0,9.0,2.0,0.0,16.0,71.0,4.0,30.0,237.0,51.0,121.0,11.0,10.0,300.0,25.0,1.0,103.0,214.0,148.0,204.0,214.0,6.0,75.0,14.0,0.0,11.0,4.0,217.0,1.0,111.0,64.0,37.0,73.0,62.0,6.0,49.0,0.0,3.0,53.0,0.0,74.0,87.0,2.0,393.0,1.0,21.0,95.0
France,3.0,48.0,4.0,1737.0,6.0,48.0,25.0,0.0,22.0,5.0,12.0,116.0,59.0,58.0,19.0,129.0,0.0,4639.0,1.0,4.0,97.0,50.0,194.0,93.0,6.0,158.0,6.0,132.0,5.0,1.0,44.0,3.0,272.0,3.0,0.0,3.0,5.0,166.0,49.0,1.0,90.0,12.0,4.0,0.0,19.0,90.0,88.0,13.0,75.0,16.0,0.0,0.0,1217.0,3.0,2.0,0.0,26.0,5.0,60.0,19.0,103.0,4.0,40.0,1.0,87.0,75.0,13.0,105.0,63.0,5.0,1.0,0.0,90.0,22.0,8.0,8.0,52.0,22.0,41.0,10.0,59.0,144.0,4.0,2.0,27.0,6.0,48.0,172.0,171.0,1.0,6.0,18.0,3.0,21.0,19.0,185.0,1.0,77.0,63.0,13.0,6.0,39.0,0.0,6.0,1.0,2.0,97.0,0.0,65.0,53.0,7.0,21.0,3.0,55.0,146.0
Colombia,2.0,3.0,3.0,79.0,1.0,9.0,37.0,0.0,0.0,21.0,9.0,12.0,0.0,2.0,1.0,14.0,0.0,792.0,0.0,0.0,6.0,3.0,49.0,4.0,0.0,29.0,1.0,18.0,9.0,0.0,2.0,9.0,10.0,0.0,0.0,1.0,0.0,42.0,3.0,2.0,0.0,8.0,3.0,0.0,24.0,25.0,13.0,0.0,21.0,10.0,2.0,0.0,23.0,0.0,0.0,0.0,0.0,4.0,11.0,11.0,0.0,0.0,2.0,0.0,3.0,32.0,1.0,35.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,22.0,5.0,1.0,28.0,1.0,5.0,0.0,22.0,19.0,5.0,29.0,5.0,1.0,1.0,1.0,0.0,3.0,0.0,122.0,0.0,15.0,2.0,0.0,2.0,13.0,4.0,0.0,0.0,2.0,26.0,5.0,10.0,4.0,0.0,0.0,0.0,44.0,49.0
Japan,10.0,6.0,4.0,440.0,2.0,13.0,4.0,1.0,20.0,6.0,5.0,12.0,3.0,14.0,3.0,61.0,0.0,3237.0,2.0,1.0,57.0,51.0,48.0,7.0,0.0,64.0,4.0,90.0,238.0,1.0,10.0,1.0,115.0,2.0,0.0,12.0,3.0,213.0,19.0,0.0,7.0,13.0,2.0,1.0,11.0,36.0,53.0,31.0,92.0,53.0,3.0,1.0,161.0,11.0,5.0,117.0,8.0,0.0,11.0,2.0,2.0,0.0,6.0,0.0,14.0,33.0,7.0,74.0,10.0,2.0,1.0,0.0,7.0,41.0,4.0,2.0,21.0,145.0,11.0,0.0,20.0,39.0,5.0,1.0,28.0,14.0,12.0,29.0,41.0,1.0,2.0,7.0,0.0,11.0,3.0,19.0,0.0,108.0,107.0,5.0,2.0,10.0,0.0,5.0,1.0,0.0,49.0,0.0,10.0,22.0,0.0,9.0,0.0,37.0,52.0
Honduras,1.0,0.0,0.0,118.0,0.0,3.0,4.0,0.0,0.0,3.0,7.0,2.0,1.0,0.0,0.0,8.0,0.0,418.0,0.0,1.0,0.0,2.0,27.0,2.0,0.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,12.0,2.0,0.0,0.0,7.0,0.0,0.0,12.0,2.0,14.0,1.0,35.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,5.0,22.0,0.0,20.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,1.0,1.0,0.0,9.0,5.0,0.0,8.0,10.0,0.0,1.0,0.0,0.0,8.0,0.0,12.0,0.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,5.0,2.0,1.0,0.0,0.0,1.0,9.0
Chile,16.0,5.0,0.0,156.0,1.0,4.0,10.0,0.0,1.0,7.0,7.0,10.0,3.0,4.0,0.0,15.0,0.0,1348.0,0.0,0.0,7.0,12.0,39.0,9.0,0.0,13.0,14.0,3.0,0.0,0.0,1.0,2.0,16.0,2.0,0.0,6.0,0.0,14.0,5.0,0.0,3.0,2.0,37.0,0.0,34.0,19.0,13.0,5.0,18.0,3.0,0.0,0.0,43.0,0.0,0.0,0.0,5.0,5.0,27.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,11.0,4.0,0.0,0.0,6.0,1.0,0.0,1.0,4.0,22.0,5.0,0.0,10.0,7.0,1.0,0.0,7.0,5.0,5.0,24.0,3.0,2.0,7.0,3.0,0.0,5.0,1.0,64.0,0.0,48.0,21.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0,25.0
Iceland,5.0,0.0,0.0,45.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,163.0,0.0,0.0,4.0,10.0,1.0,0.0,0.0,14.0,0.0,3.0,1.0,0.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,7.0,5.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,2.0
United States,4.0,213.0,13.0,1584.0,33.0,139.0,26.0,5.0,165.0,52.0,149.0,102.0,225.0,102.0,165.0,866.0,6.0,29520.0,16.0,14.0,1069.0,342.0,127.0,86.0,11.0,1422.0,20.0,805.0,37.0,0.0,215.0,73.0,458.0,8.0,0.0,22.0,29.0,689.0,233.0,31.0,124.0,83.0,81.0,14.0,207.0,575.0,641.0,13.0,710.0,420.0,44.0,0.0,2709.0,17.0,11.0,9.0,97.0,20.0,144.0,47.0,44.0,2.0,249.0,4.0,340.0,353.0,93.0,979.0,209.0,22.0,1.0,3.0,146.0,154.0,24.0,52.0,257.0,383.0,635.0,11.0,186.0,915.0,51.0,26.0,183.0,165.0,270.0,794.0,472.0,31.0,14.0,34.0,0.0,86.0,28.0,393.0,8.0,711.0,350.0,126.0,102.0,142.0,4.0,19.0,73.0,7.0,427.0,6.0,244.0,342.0,2.0,163.0,2.0,203.0,549.0
China,3.0,24.0,12.0,539.0,6.0,38.0,15.0,0.0,36.0,3.0,24.0,18.0,25.0,43.0,7.0,793.0,3.0,23358.0,17.0,2.0,103.0,83.0,46.0,46.0,2.0,587.0,107.0,400.0,37.0,1.0,22.0,9.0,205.0,2.0,0.0,9.0,4.0,158.0,46.0,13.0,21.0,12.0,16.0,20.0,48.0,229.0,129.0,233.0,146.0,55.0,3.0,0.0,955.0,50.0,9.0,14.0,18.0,4.0,28.0,5.0,32.0,5.0,10.0,2.0,341.0,111.0,76.0,610.0,48.0,11.0,9.0,25.0,10.0,2031.0,2.0,14.0,118.0,4329.0,73.0,4.0,25.0,153.0,30.0,6.0,45.0,15.0,761.0,69.0,98.0,3.0,4.0,28.0,0.0,31.0,2.0,144.0,1.0,446.0,31.0,25.0,28.0,21.0,1.0,6.0,1.0,2.0,136.0,0.0,68.0,220.0,5.0,10.0,2.0,15.0,147.0
