,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,93.0,19.0,3.0,1160.0,48.0,152.0,128.0,0.0,42.0,61.0,129.0,31.0,99.0,132.0,1.0,258.0,6.0,11523.0,3.0,3.0,139.0,98.0,134.0,130.0,17.0,644.0,43.0,80.0,18.0,0.0,77.0,15.0,201.0,4.0,0.0,8.0,65.0,278.0,75.0,2.0,43.0,70.0,21.0,0.0,358.0,327.0,528.0,70.0,511.0,97.0,1.0,0.0,817.0,0.0,1.0,2.0,55.0,22.0,90.0,18.0,23.0,6.0,162.0,7.0,120.0,167.0,53.0,405.0,157.0,0.0,2.0,0.0,5.0,51.0,51.0,5.0,26.0,89.0,82.0,22.0,135.0,33.0,9.0,2.0,83.0,18.0,72.0,389.0,278.0,2.0,161.0,8.0,0.0,49.0,8.0,390.0,6.0,250.0,136.0,31.0,11.0,46.0,1.0,19.0,8.0,0.0,310.0,10.0,44.0,154.0,2.0,83.0,0.0,61.0,225.0
Norway,2.0,0.0,0.0,71.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,21.0,1.0,0.0,4.0,0.0,559.0,2.0,0.0,4.0,4.0,8.0,4.0,0.0,24.0,11.0,17.0,2.0,0.0,12.0,2.0,16.0,0.0,0.0,0.0,0.0,10.0,9.0,1.0,4.0,2.0,1.0,0.0,32.0,29.0,39.0,0.0,18.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,6.0,0.0,8.0,3.0,2.0,0.0,5.0,1.0,5.0,12.0,0.0,24.0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,10.0,3.0,4.0,0.0,7.0,30.0,3.0,0.0,2.0,0.0,7.0,10.0,65.0,1.0,0.0,1.0,0.0,8.0,2.0,11.0,0.0,18.0,17.0,0.0,10.0,15.0,0.0,1.0,1.0,0.0,10.0,1.0,8.0,12.0,0.0,0.0,0.0,1.0,31.0
Nigeria,1.0,2.0,1.0,45.0,1.0,1.0,5.0,25.0,4.0,0.0,23.0,16.0,5.0,151.0,2.0,31.0,0.0,1091.0,1.0,0.0,31.0,10.0,7.0,6.0,24.0,243.0,4.0,44.0,1.0,0.0,3.0,1.0,19.0,6.0,0.0,30.0,5.0,22.0,13.0,1.0,5.0,6.0,10.0,0.0,12.0,70.0,34.0,1.0,18.0,2.0,12.0,0.0,53.0,0.0,0.0,393.0,1.0,1.0,101.0,1.0,0.0,1.0,8.0,0.0,10.0,312.0,148.0,248.0,17.0,0.0,0.0,0.0,3.0,4.0,37.0,1.0,11.0,6.0,100.0,1.0,7.0,21.0,11.0,0.0,5.0,0.0,57.0,41.0,26.0,0.0,4.0,37.0,0.0,5.0,14.0,121.0,0.0,14.0,6.0,0.0,7.0,3.0,7.0,1.0,1.0,0.0,61.0,0.0,82.0,16.0,0.0,1.0,1.0,42.0,43.0
Portugal,12.0,2.0,0.0,225.0,2.0,12.0,8.0,0.0,4.0,0.0,31.0,18.0,4.0,2.0,0.0,88.0,1.0,3038.0,0.0,0.0,13.0,13.0,93.0,2.0,0.0,102.0,0.0,17.0,0.0,0.0,12.0,0.0,49.0,1.0,0.0,3.0,0.0,41.0,8.0,2.0,13.0,3.0,0.0,0.0,23.0,49.0,63.0,2.0,34.0,6.0,1.0,0.0,156.0,1.0,0.0,2.0,59.0,3.0,18.0,2.0,0.0,0.0,2.0,1.0,14.0,55.0,0.0,269.0,8.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,19.0,18.0,26.0,1.0,39.0,8.0,6.0,0.0,16.0,11.0,27.0,80.0,24.0,0.0,6.0,3.0,0.0,5.0,5.0,86.0,0.0,225.0,18.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,38.0,0.0,17.0,25.0,0.0,7.0,0.0,16.0,59.0
"Venezuela, Bolivarian Republic of",2.0,0.0,0.0,4.0,0.0,3.0,4.0,0.0,0.0,7.0,21.0,2.0,2.0,9.0,0.0,11.0,0.0,1031.0,0.0,0.0,11.0,6.0,17.0,14.0,0.0,18.0,0.0,5.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0,19.0,14.0,0.0,9.0,1.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,2.0,60.0,0.0,144.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,65.0,0.0,10.0,0.0,1.0,0.0,20.0,33.0,2.0,34.0,2.0,0.0,9.0,2.0,0.0,0.0,1.0,21.0,0.0,43.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,41.0,0.0,5.0,2.0,0.0,0.0,0.0,34.0,19.0
United States,14.0,271.0,44.0,4811.0,90.0,240.0,105.0,13.0,165.0,129.0,283.0,238.0,300.0,154.0,176.0,1483.0,16.0,46636.0,36.0,35.0,2369.0,955.0,320.0,133.0,49.0,2181.0,36.0,1298.0,113.0,1.0,830.0,103.0,770.0,8.0,1.0,65.0,44.0,1135.0,436.0,61.0,185.0,162.0,102.0,21.0,1049.0,1414.0,1537.0,60.0,1545.0,840.0,58.0,1.0,4969.0,43.0,26.0,10.0,184.0,60.0,243.0,118.0,22.0,4.0,679.0,8.0,856.0,684.0,180.0,1882.0,253.0,40.0,1.0,13.0,409.0,217.0,81.0,78.0,499.0,1105.0,415.0,30.0,483.0,960.0,131.0,44.0,415.0,155.0,919.0,1306.0,996.0,44.0,32.0,107.0,2.0,139.0,53.0,504.0,33.0,1188.0,546.0,197.0,180.0,272.0,22.0,27.0,63.0,18.0,622.0,32.0,464.0,695.0,6.0,220.0,1.0,439.0,1293.0
"Iran, Islamic Republic of",1.0,2.0,0.0,6.0,1.0,5.0,15.0,0.0,1.0,0.0,0.0,0.0,9.0,177.0,0.0,21.0,4.0,436.0,2.0,0.0,9.0,21.0,17.0,66.0,1.0,27.0,13.0,30.0,2.0,0.0,0.0,4.0,27.0,1.0,0.0,2.0,1.0,208.0,142.0,2.0,23.0,2.0,2.0,0.0,4.0,24.0,20.0,1.0,40.0,1.0,0.0,0.0,56.0,1.0,1.0,0.0,0.0,9.0,3.0,2.0,0.0,0.0,2.0,0.0,39.0,13.0,5.0,149.0,1.0,2.0,1.0,1.0,0.0,5.0,1.0,2.0,1.0,10.0,64.0,0.0,4.0,5.0,1.0,4.0,4.0,53.0,64.0,6.0,27.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,1.0,10.0,1.0,0.0,1.0,18.0,0.0,36.0,0.0,0.0,47.0,0.0,4.0,10.0,3.0,0.0,1.0,15.0,6.0
Japan,17.0,37.0,2.0,146.0,0.0,10.0,3.0,0.0,25.0,1.0,61.0,14.0,4.0,10.0,6.0,44.0,0.0,2321.0,4.0,3.0,54.0,76.0,34.0,12.0,0.0,96.0,4.0,63.0,175.0,0.0,17.0,2.0,86.0,1.0,0.0,11.0,11.0,208.0,12.0,1.0,14.0,18.0,5.0,0.0,22.0,96.0,86.0,13.0,77.0,51.0,0.0,0.0,297.0,38.0,1.0,58.0,5.0,1.0,24.0,1.0,0.0,0.0,3.0,0.0,35.0,25.0,13.0,110.0,8.0,1.0,0.0,1.0,10.0,34.0,8.0,4.0,22.0,165.0,22.0,3.0,3.0,31.0,1.0,3.0,29.0,14.0,69.0,19.0,19.0,2.0,3.0,6.0,0.0,7.0,0.0,20.0,3.0,119.0,34.0,5.0,2.0,27.0,0.0,0.0,3.0,0.0,45.0,0.0,3.0,41.0,0.0,3.0,0.0,22.0,53.0
France,2.0,9.0,4.0,2468.0,24.0,35.0,41.0,5.0,36.0,5.0,14.0,82.0,15.0,44.0,2.0,131.0,0.0,6530.0,2.0,25.0,96.0,61.0,102.0,146.0,3.0,192.0,18.0,161.0,7.0,1.0,61.0,0.0,848.0,2.0,0.0,7.0,2.0,198.0,160.0,3.0,17.0,34.0,3.0,1.0,47.0,79.0,111.0,12.0,53.0,10.0,0.0,0.0,1739.0,5.0,6.0,0.0,31.0,2.0,60.0,13.0,175.0,0.0,147.0,3.0,57.0,82.0,6.0,263.0,38.0,6.0,0.0,1.0,10.0,33.0,7.0,19.0,20.0,32.0,39.0,10.0,36.0,64.0,30.0,3.0,23.0,7.0,87.0,49.0,402.0,1.0,3.0,13.0,2.0,104.0,21.0,115.0,0.0,107.0,31.0,38.0,11.0,43.0,6.0,4.0,0.0,3.0,127.0,3.0,60.0,43.0,1.0,4.0,1.0,47.0,181.0
India,1.0,44.0,6.0,260.0,2.0,17.0,13.0,2.0,5.0,4.0,25.0,133.0,8.0,89.0,22.0,332.0,3.0,9842.0,4.0,5.0,340.0,42.0,321.0,23.0,6.0,139.0,10.0,133.0,5.0,0.0,15.0,2.0,76.0,0.0,1.0,89.0,6.0,402.0,34.0,7.0,29.0,22.0,11.0,1.0,64.0,184.0,150.0,12.0,88.0,39.0,11.0,0.0,631.0,42.0,0.0,7.0,6.0,43.0,290.0,24.0,0.0,0.0,18.0,0.0,114.0,311.0,6.0,792.0,21.0,3.0,10.0,16.0,52.0,26.0,6.0,3.0,31.0,71.0,255.0,2.0,89.0,53.0,8.0,1.0,110.0,33.0,143.0,102.0,46.0,0.0,2.0,24.0,0.0,67.0,5.0,35.0,0.0,137.0,15.0,0.0,17.0,12.0,7.0,7.0,9.0,2.0,289.0,0.0,248.0,84.0,46.0,31.0,3.0,50.0,164.0
