,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,94.0,19.0,3.0,1134.0,48.0,153.0,129.0,0.0,44.0,61.0,128.0,31.0,102.0,131.0,1.0,261.0,5.0,11576.0,3.0,3.0,141.0,100.0,133.0,130.0,17.0,640.0,42.0,81.0,18.0,0.0,76.0,15.0,205.0,4.0,0.0,8.0,65.0,279.0,74.0,2.0,46.0,69.0,21.0,0.0,358.0,336.0,531.0,79.0,515.0,95.0,1.0,0.0,788.0,0.0,1.0,2.0,55.0,22.0,93.0,18.0,23.0,6.0,162.0,6.0,115.0,163.0,53.0,402.0,166.0,0.0,2.0,0.0,5.0,51.0,52.0,5.0,27.0,87.0,80.0,22.0,135.0,33.0,9.0,2.0,82.0,18.0,71.0,389.0,279.0,2.0,162.0,8.0,0.0,52.0,10.0,428.0,6.0,229.0,140.0,28.0,12.0,47.0,1.0,19.0,11.0,0.0,307.0,10.0,47.0,156.0,2.0,87.0,0.0,62.0,225.0
Norway,2.0,0.0,0.0,74.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,21.0,1.0,0.0,4.0,0.0,548.0,2.0,0.0,4.0,3.0,8.0,4.0,0.0,24.0,11.0,17.0,2.0,0.0,12.0,2.0,16.0,0.0,0.0,0.0,0.0,10.0,9.0,1.0,4.0,2.0,1.0,0.0,32.0,29.0,39.0,0.0,18.0,1.0,0.0,0.0,87.0,0.0,0.0,0.0,6.0,0.0,8.0,3.0,2.0,0.0,5.0,1.0,5.0,12.0,0.0,23.0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,10.0,3.0,4.0,0.0,7.0,29.0,3.0,0.0,2.0,0.0,7.0,10.0,52.0,1.0,0.0,1.0,0.0,8.0,2.0,11.0,0.0,18.0,17.0,0.0,10.0,15.0,0.0,1.0,1.0,0.0,11.0,1.0,8.0,12.0,0.0,0.0,0.0,1.0,31.0
Nigeria,1.0,2.0,1.0,46.0,1.0,1.0,5.0,25.0,4.0,0.0,23.0,16.0,5.0,142.0,2.0,32.0,0.0,1095.0,1.0,0.0,32.0,10.0,7.0,7.0,24.0,242.0,4.0,45.0,1.0,0.0,3.0,1.0,19.0,6.0,0.0,30.0,5.0,22.0,13.0,1.0,5.0,6.0,10.0,0.0,12.0,70.0,33.0,1.0,18.0,2.0,12.0,0.0,53.0,0.0,0.0,390.0,1.0,1.0,102.0,1.0,0.0,1.0,8.0,0.0,11.0,312.0,141.0,254.0,17.0,0.0,0.0,0.0,3.0,4.0,38.0,1.0,11.0,6.0,89.0,1.0,7.0,21.0,11.0,0.0,5.0,0.0,61.0,41.0,26.0,0.0,4.0,37.0,0.0,5.0,14.0,122.0,0.0,14.0,6.0,0.0,8.0,3.0,7.0,1.0,1.0,0.0,60.0,0.0,82.0,16.0,0.0,1.0,1.0,46.0,43.0
Portugal,12.0,2.0,0.0,207.0,2.0,12.0,8.0,0.0,4.0,0.0,31.0,18.0,4.0,2.0,0.0,90.0,1.0,3024.0,0.0,0.0,13.0,13.0,93.0,2.0,0.0,102.0,0.0,17.0,0.0,0.0,12.0,0.0,50.0,1.0,0.0,3.0,0.0,41.0,9.0,2.0,13.0,3.0,0.0,0.0,23.0,50.0,58.0,2.0,34.0,7.0,1.0,0.0,153.0,1.0,0.0,2.0,59.0,3.0,17.0,2.0,0.0,0.0,2.0,1.0,14.0,56.0,0.0,266.0,8.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,19.0,18.0,26.0,1.0,39.0,8.0,6.0,0.0,16.0,11.0,27.0,80.0,24.0,0.0,6.0,3.0,0.0,5.0,6.0,89.0,0.0,222.0,18.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,38.0,0.0,17.0,25.0,0.0,7.0,0.0,24.0,60.0
"Venezuela, Bolivarian Republic of",2.0,0.0,0.0,4.0,0.0,3.0,5.0,0.0,0.0,6.0,22.0,2.0,2.0,3.0,0.0,11.0,0.0,1033.0,0.0,0.0,11.0,6.0,17.0,13.0,0.0,19.0,0.0,5.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,6.0,19.0,12.0,0.0,9.0,2.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,2.0,60.0,0.0,146.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,65.0,0.0,10.0,0.0,1.0,0.0,20.0,33.0,2.0,35.0,2.0,0.0,10.0,1.0,0.0,0.0,1.0,21.0,0.0,43.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,40.0,0.0,4.0,2.0,0.0,0.0,0.0,33.0,19.0
United States,16.0,269.0,45.0,4818.0,88.0,240.0,104.0,13.0,167.0,130.0,285.0,239.0,297.0,153.0,130.0,1467.0,14.0,46520.0,36.0,35.0,2347.0,959.0,318.0,132.0,49.0,2139.0,36.0,1306.0,112.0,1.0,793.0,104.0,758.0,8.0,1.0,63.0,42.0,1120.0,434.0,63.0,184.0,162.0,103.0,20.0,1041.0,1400.0,1525.0,60.0,1549.0,831.0,58.0,1.0,4946.0,43.0,26.0,10.0,178.0,59.0,242.0,119.0,22.0,4.0,681.0,8.0,826.0,684.0,177.0,1855.0,261.0,39.0,1.0,22.0,406.0,215.0,77.0,77.0,497.0,1090.0,407.0,30.0,476.0,951.0,126.0,45.0,413.0,154.0,927.0,1296.0,979.0,45.0,33.0,107.0,2.0,147.0,52.0,496.0,32.0,1168.0,543.0,190.0,179.0,268.0,22.0,30.0,63.0,18.0,623.0,32.0,462.0,697.0,6.0,229.0,1.0,437.0,1276.0
"Iran, Islamic Republic of",2.0,2.0,0.0,6.0,1.0,5.0,18.0,0.0,1.0,0.0,0.0,0.0,8.0,183.0,0.0,21.0,4.0,439.0,2.0,0.0,13.0,21.0,17.0,65.0,1.0,28.0,13.0,31.0,2.0,0.0,0.0,4.0,27.0,1.0,0.0,2.0,1.0,207.0,142.0,2.0,24.0,2.0,2.0,0.0,4.0,24.0,20.0,1.0,41.0,1.0,0.0,0.0,56.0,1.0,1.0,0.0,0.0,9.0,3.0,2.0,0.0,0.0,2.0,0.0,39.0,13.0,6.0,148.0,1.0,2.0,1.0,1.0,0.0,7.0,1.0,2.0,1.0,9.0,62.0,0.0,4.0,5.0,1.0,4.0,4.0,53.0,63.0,6.0,27.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,1.0,10.0,2.0,0.0,1.0,18.0,0.0,36.0,0.0,0.0,46.0,0.0,4.0,10.0,3.0,0.0,1.0,15.0,6.0
Japan,24.0,37.0,3.0,140.0,0.0,10.0,3.0,0.0,25.0,1.0,62.0,14.0,5.0,10.0,6.0,44.0,0.0,2351.0,4.0,2.0,54.0,76.0,33.0,12.0,0.0,96.0,4.0,64.0,173.0,0.0,17.0,2.0,87.0,1.0,0.0,22.0,11.0,213.0,12.0,1.0,14.0,18.0,5.0,0.0,22.0,96.0,87.0,13.0,78.0,53.0,0.0,0.0,293.0,40.0,1.0,58.0,5.0,1.0,35.0,1.0,0.0,0.0,4.0,0.0,35.0,27.0,13.0,110.0,8.0,1.0,0.0,1.0,10.0,34.0,8.0,4.0,22.0,164.0,22.0,3.0,3.0,31.0,1.0,3.0,29.0,15.0,69.0,22.0,20.0,2.0,3.0,6.0,0.0,9.0,0.0,19.0,3.0,119.0,37.0,4.0,2.0,27.0,0.0,0.0,3.0,0.0,45.0,0.0,3.0,41.0,0.0,3.0,0.0,22.0,53.0
India,1.0,44.0,6.0,262.0,2.0,17.0,12.0,2.0,5.0,4.0,25.0,143.0,8.0,95.0,23.0,334.0,3.0,9903.0,4.0,5.0,339.0,42.0,339.0,23.0,6.0,143.0,10.0,132.0,5.0,0.0,18.0,2.0,72.0,0.0,2.0,88.0,6.0,391.0,35.0,7.0,28.0,22.0,11.0,1.0,63.0,180.0,147.0,12.0,89.0,39.0,11.0,0.0,643.0,49.0,0.0,7.0,6.0,42.0,291.0,25.0,0.0,0.0,18.0,0.0,115.0,318.0,7.0,794.0,21.0,3.0,11.0,16.0,52.0,26.0,6.0,3.0,26.0,64.0,255.0,2.0,95.0,53.0,8.0,1.0,109.0,33.0,144.0,103.0,46.0,0.0,2.0,24.0,0.0,67.0,5.0,35.0,0.0,141.0,15.0,0.0,17.0,12.0,7.0,7.0,9.0,2.0,290.0,0.0,257.0,86.0,45.0,31.0,3.0,50.0,185.0
France,2.0,8.0,4.0,2395.0,22.0,45.0,41.0,3.0,37.0,5.0,14.0,83.0,14.0,43.0,2.0,138.0,0.0,6455.0,2.0,25.0,97.0,61.0,101.0,145.0,3.0,187.0,18.0,160.0,7.0,1.0,61.0,0.0,848.0,2.0,0.0,7.0,2.0,206.0,161.0,3.0,15.0,34.0,3.0,1.0,45.0,76.0,111.0,13.0,52.0,10.0,0.0,0.0,1697.0,5.0,6.0,0.0,31.0,2.0,60.0,14.0,174.0,0.0,148.0,3.0,57.0,82.0,5.0,257.0,39.0,6.0,0.0,1.0,10.0,32.0,7.0,18.0,19.0,28.0,37.0,10.0,30.0,60.0,56.0,3.0,44.0,7.0,88.0,47.0,402.0,1.0,3.0,13.0,2.0,103.0,21.0,121.0,0.0,102.0,31.0,35.0,11.0,42.0,6.0,4.0,0.0,3.0,129.0,1.0,58.0,43.0,1.0,4.0,1.0,52.0,190.0
