,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Ghana,3.0,0.0,5.0,17.0,0.0,3.0,1.0,11.0,3.0,2.0,7.0,36.0,2.0,16.0,1.0,18.0,0.0,685.0,0.0,1.0,5.0,6.0,65.0,0.0,4.0,193.0,2.0,29.0,3.0,0.0,0.0,0.0,20.0,0.0,0.0,18.0,20.0,31.0,12.0,0.0,4.0,11.0,2.0,1.0,5.0,47.0,15.0,2.0,16.0,13.0,9.0,1.0,31.0,1.0,0.0,29.0,0.0,2.0,19.0,0.0,0.0,0.0,2.0,0.0,16.0,116.0,128.0,47.0,10.0,0.0,0.0,1.0,1.0,0.0,15.0,0.0,10.0,3.0,50.0,0.0,25.0,13.0,0.0,0.0,5.0,6.0,13.0,27.0,8.0,0.0,9.0,22.0,0.0,4.0,8.0,8.0,1.0,8.0,6.0,2.0,9.0,5.0,6.0,0.0,0.0,1.0,23.0,1.0,71.0,10.0,0.0,0.0,1.0,72.0,87.0
South Africa,3.0,0.0,1.0,169.0,3.0,0.0,7.0,0.0,2.0,2.0,1.0,0.0,3.0,62.0,7.0,33.0,2.0,1003.0,0.0,0.0,9.0,7.0,6.0,3.0,0.0,90.0,0.0,31.0,1.0,0.0,0.0,1.0,76.0,4.0,0.0,2.0,0.0,24.0,11.0,0.0,6.0,0.0,1.0,0.0,4.0,13.0,3.0,7.0,3.0,0.0,1.0,0.0,59.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,57.0,19.0,203.0,6.0,0.0,0.0,0.0,8.0,0.0,2.0,17.0,6.0,22.0,5.0,1.0,11.0,5.0,3.0,0.0,10.0,1.0,69.0,22.0,5.0,1.0,4.0,3.0,0.0,4.0,2.0,8.0,0.0,5.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,85.0,0.0,24.0,5.0,1.0,2.0,0.0,10.0,14.0
Spain,61.0,18.0,4.0,1033.0,6.0,240.0,122.0,9.0,36.0,69.0,37.0,51.0,112.0,37.0,13.0,218.0,2.0,9771.0,0.0,3.0,92.0,65.0,118.0,179.0,1.0,481.0,34.0,109.0,10.0,0.0,43.0,8.0,172.0,18.0,0.0,12.0,5.0,278.0,77.0,12.0,73.0,77.0,17.0,4.0,71.0,382.0,481.0,19.0,639.0,155.0,0.0,0.0,545.0,1.0,7.0,3.0,85.0,88.0,90.0,12.0,39.0,2.0,28.0,5.0,48.0,129.0,92.0,205.0,231.0,0.0,0.0,1.0,10.0,29.0,5.0,3.0,75.0,81.0,106.0,11.0,125.0,62.0,9.0,0.0,152.0,23.0,38.0,460.0,433.0,1.0,169.0,18.0,0.0,47.0,31.0,957.0,3.0,371.0,116.0,39.0,17.0,77.0,5.0,37.0,53.0,2.0,300.0,0.0,46.0,47.0,4.0,216.0,0.0,41.0,214.0
Norway,3.0,2.0,0.0,67.0,0.0,2.0,1.0,0.0,9.0,0.0,0.0,1.0,4.0,9.0,0.0,4.0,0.0,356.0,0.0,1.0,7.0,3.0,4.0,7.0,0.0,17.0,8.0,10.0,1.0,0.0,17.0,0.0,13.0,0.0,0.0,1.0,0.0,16.0,0.0,1.0,3.0,0.0,0.0,0.0,23.0,22.0,36.0,0.0,8.0,1.0,1.0,0.0,63.0,0.0,0.0,0.0,14.0,1.0,10.0,2.0,7.0,0.0,9.0,0.0,6.0,6.0,0.0,42.0,0.0,1.0,0.0,0.0,14.0,12.0,0.0,0.0,4.0,0.0,8.0,0.0,3.0,55.0,1.0,0.0,1.0,0.0,6.0,3.0,72.0,4.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,19.0,8.0,3.0,2.0,4.0,0.0,3.0,0.0,0.0,16.0,9.0,2.0,5.0,2.0,0.0,0.0,7.0,14.0
Japan,7.0,8.0,5.0,588.0,2.0,15.0,4.0,1.0,31.0,7.0,28.0,11.0,6.0,14.0,12.0,97.0,0.0,4308.0,1.0,1.0,70.0,60.0,54.0,10.0,0.0,78.0,5.0,128.0,282.0,1.0,10.0,2.0,129.0,3.0,0.0,15.0,2.0,266.0,23.0,0.0,10.0,11.0,2.0,1.0,10.0,47.0,70.0,26.0,108.0,69.0,0.0,1.0,289.0,7.0,4.0,196.0,59.0,2.0,14.0,2.0,1.0,0.0,11.0,0.0,34.0,53.0,4.0,126.0,15.0,2.0,1.0,0.0,14.0,38.0,7.0,2.0,30.0,156.0,14.0,1.0,19.0,76.0,7.0,1.0,32.0,19.0,37.0,34.0,47.0,1.0,1.0,9.0,0.0,17.0,7.0,16.0,0.0,176.0,120.0,9.0,2.0,9.0,0.0,5.0,1.0,0.0,68.0,0.0,8.0,28.0,0.0,9.0,0.0,38.0,67.0
Namibia,1.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,15.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0
Peru,2.0,0.0,2.0,400.0,1.0,8.0,6.0,0.0,5.0,5.0,2.0,8.0,1.0,5.0,0.0,31.0,0.0,1863.0,1.0,0.0,3.0,4.0,141.0,11.0,2.0,13.0,0.0,17.0,1.0,0.0,3.0,2.0,23.0,2.0,0.0,4.0,0.0,13.0,0.0,2.0,1.0,10.0,5.0,0.0,28.0,49.0,15.0,1.0,18.0,1.0,1.0,0.0,108.0,0.0,2.0,0.0,6.0,8.0,18.0,5.0,0.0,1.0,8.0,0.0,7.0,24.0,4.0,94.0,22.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,5.0,16.0,40.0,0.0,82.0,5.0,5.0,1.0,49.0,8.0,7.0,50.0,26.0,0.0,6.0,9.0,0.0,2.0,2.0,182.0,1.0,22.0,15.0,0.0,14.0,2.0,0.0,0.0,3.0,2.0,32.0,0.0,24.0,8.0,0.0,0.0,0.0,11.0,63.0
Iceland,4.0,0.0,0.0,50.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,191.0,2.0,0.0,4.0,10.0,1.0,1.0,0.0,14.0,0.0,3.0,1.0,0.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,7.0,6.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,11.0
Italy,91.0,17.0,5.0,532.0,9.0,136.0,191.0,2.0,43.0,26.0,27.0,59.0,49.0,17.0,12.0,250.0,1.0,23323.0,0.0,0.0,87.0,299.0,105.0,32.0,1.0,216.0,43.0,75.0,27.0,0.0,48.0,34.0,398.0,1.0,0.0,25.0,2.0,278.0,102.0,5.0,12.0,86.0,3.0,1.0,53.0,307.0,709.0,8.0,748.0,849.0,14.0,0.0,689.0,2.0,7.0,0.0,456.0,18.0,80.0,10.0,186.0,0.0,14.0,1.0,63.0,121.0,10.0,421.0,399.0,8.0,0.0,0.0,31.0,92.0,9.0,40.0,279.0,66.0,145.0,11.0,14.0,418.0,14.0,1.0,102.0,265.0,156.0,300.0,278.0,3.0,119.0,14.0,0.0,30.0,8.0,203.0,3.0,126.0,84.0,37.0,78.0,68.0,14.0,79.0,4.0,2.0,66.0,0.0,76.0,89.0,0.0,221.0,1.0,22.0,119.0
Hong Kong,1.0,4.0,2.0,225.0,2.0,29.0,3.0,0.0,9.0,3.0,1.0,9.0,4.0,7.0,8.0,86.0,2.0,3738.0,1.0,0.0,112.0,10.0,19.0,6.0,2.0,127.0,2.0,98.0,7.0,0.0,19.0,8.0,34.0,0.0,0.0,3.0,0.0,111.0,35.0,1.0,10.0,4.0,10.0,0.0,13.0,91.0,41.0,15.0,51.0,19.0,5.0,0.0,233.0,3.0,0.0,4.0,4.0,8.0,3.0,3.0,1.0,0.0,17.0,0.0,28.0,16.0,7.0,47.0,9.0,0.0,0.0,2.0,6.0,69.0,1.0,4.0,27.0,76.0,11.0,0.0,8.0,17.0,9.0,1.0,11.0,2.0,95.0,31.0,38.0,3.0,1.0,2.0,2.0,8.0,1.0,13.0,1.0,140.0,9.0,5.0,3.0,7.0,0.0,0.0,4.0,2.0,25.0,1.0,25.0,440.0,2.0,7.0,0.0,6.0,27.0
