,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Kenya,7.0,7.0,0.0,31.0,1.0,5.0,4.0,0.0,2.0,0.0,0.0,20.0,8.0,34.0,18.0,4.0,0.0,472.0,5.0,0.0,10.0,1.0,4.0,3.0,1.0,232.0,9.0,42.0,2.0,2.0,3.0,0.0,9.0,0.0,0.0,7.0,1.0,51.0,10.0,0.0,5.0,4.0,0.0,0.0,4.0,15.0,7.0,1.0,13.0,4.0,1.0,0.0,41.0,0.0,0.0,1.0,0.0,5.0,6.0,4.0,0.0,0.0,2.0,0.0,5.0,80.0,15.0,100.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,13.0,5.0,18.0,1.0,2.0,0.0,9.0,8.0,2.0,38.0,9.0,0.0,0.0,15.0,0.0,11.0,12.0,6.0,0.0,4.0,5.0,0.0,6.0,26.0,7.0,7.0,2.0,1.0,22.0,0.0,40.0,2.0,16.0,0.0,0.0,36.0,6.0
Italy,67.0,14.0,3.0,360.0,13.0,96.0,206.0,1.0,17.0,9.0,19.0,61.0,34.0,12.0,11.0,266.0,2.0,21261.0,1.0,1.0,71.0,206.0,139.0,22.0,0.0,218.0,9.0,56.0,19.0,0.0,48.0,76.0,500.0,1.0,0.0,31.0,1.0,378.0,136.0,2.0,17.0,58.0,2.0,0.0,51.0,267.0,774.0,14.0,767.0,893.0,3.0,0.0,574.0,3.0,7.0,0.0,440.0,16.0,54.0,8.0,195.0,1.0,19.0,3.0,44.0,96.0,17.0,508.0,197.0,9.0,2.0,0.0,27.0,91.0,4.0,27.0,265.0,54.0,132.0,11.0,12.0,244.0,29.0,0.0,100.0,211.0,198.0,209.0,193.0,5.0,48.0,13.0,0.0,81.0,4.0,283.0,1.0,140.0,68.0,33.0,97.0,50.0,5.0,47.0,0.0,3.0,75.0,0.0,71.0,92.0,2.0,583.0,1.0,27.0,127.0
Spain,73.0,35.0,2.0,650.0,52.0,212.0,75.0,7.0,27.0,68.0,26.0,40.0,112.0,32.0,9.0,166.0,37.0,8204.0,2.0,0.0,93.0,43.0,75.0,119.0,15.0,463.0,28.0,73.0,10.0,1.0,25.0,6.0,127.0,6.0,0.0,10.0,3.0,170.0,63.0,18.0,73.0,32.0,20.0,3.0,107.0,296.0,383.0,30.0,418.0,102.0,0.0,0.0,359.0,0.0,6.0,3.0,103.0,60.0,51.0,8.0,33.0,2.0,64.0,17.0,32.0,103.0,7.0,155.0,133.0,5.0,1.0,0.0,21.0,53.0,6.0,2.0,54.0,71.0,78.0,13.0,140.0,38.0,13.0,0.0,85.0,20.0,15.0,394.0,251.0,1.0,96.0,5.0,0.0,48.0,26.0,832.0,3.0,292.0,132.0,42.0,14.0,82.0,0.0,33.0,41.0,2.0,144.0,2.0,47.0,73.0,3.0,217.0,0.0,49.0,231.0
Luxembourg,1.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,0.0,284.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,4.0,6.0,0.0,2.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,11.0
Jordan,1.0,0.0,0.0,17.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,43.0,0.0,3.0,1.0,288.0,0.0,0.0,16.0,4.0,1.0,20.0,0.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,71.0,6.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,4.0,3.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,14.0,3.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,4.0,4.0,2.0,0.0,3.0,9.0,0.0,0.0,0.0,3.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,11.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0
Portugal,3.0,1.0,1.0,142.0,0.0,23.0,9.0,0.0,21.0,1.0,3.0,5.0,6.0,9.0,0.0,42.0,0.0,1868.0,0.0,0.0,20.0,31.0,4.0,1.0,0.0,27.0,0.0,5.0,1.0,0.0,3.0,1.0,26.0,0.0,0.0,0.0,0.0,31.0,4.0,1.0,5.0,4.0,0.0,0.0,2.0,26.0,67.0,1.0,19.0,5.0,1.0,0.0,55.0,0.0,0.0,0.0,26.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,35.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,5.0,11.0,1.0,16.0,3.0,2.0,0.0,5.0,2.0,13.0,34.0,6.0,2.0,2.0,0.0,0.0,2.0,10.0,41.0,0.0,43.0,4.0,2.0,2.0,3.0,0.0,0.0,13.0,0.0,37.0,0.0,18.0,5.0,0.0,1.0,0.0,16.0,21.0
Norway,3.0,2.0,0.0,76.0,2.0,2.0,1.0,0.0,8.0,0.0,0.0,1.0,5.0,9.0,0.0,5.0,0.0,278.0,2.0,1.0,4.0,2.0,4.0,7.0,0.0,10.0,3.0,8.0,1.0,0.0,5.0,1.0,16.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,2.0,3.0,0.0,0.0,16.0,14.0,28.0,0.0,8.0,2.0,1.0,0.0,50.0,0.0,0.0,0.0,11.0,1.0,2.0,4.0,5.0,0.0,5.0,0.0,4.0,3.0,0.0,14.0,0.0,1.0,0.0,0.0,12.0,12.0,0.0,0.0,4.0,1.0,4.0,0.0,3.0,23.0,2.0,0.0,2.0,0.0,8.0,2.0,55.0,10.0,1.0,0.0,0.0,1.0,0.0,12.0,0.0,12.0,13.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,10.0,11.0,0.0,5.0,2.0,0.0,0.0,7.0,14.0
Japan,23.0,7.0,5.0,202.0,2.0,16.0,3.0,0.0,19.0,2.0,9.0,6.0,5.0,12.0,3.0,58.0,0.0,3151.0,2.0,2.0,50.0,57.0,29.0,6.0,0.0,63.0,6.0,75.0,282.0,1.0,10.0,1.0,107.0,1.0,0.0,25.0,3.0,244.0,18.0,0.0,8.0,12.0,2.0,1.0,6.0,38.0,51.0,29.0,77.0,53.0,3.0,1.0,166.0,13.0,5.0,90.0,2.0,0.0,22.0,1.0,2.0,0.0,6.0,0.0,14.0,25.0,9.0,74.0,11.0,2.0,1.0,1.0,8.0,40.0,7.0,3.0,21.0,161.0,14.0,0.0,21.0,31.0,5.0,1.0,28.0,12.0,23.0,31.0,23.0,1.0,4.0,8.0,0.0,13.0,1.0,10.0,0.0,114.0,110.0,5.0,2.0,10.0,0.0,5.0,2.0,0.0,34.0,0.0,10.0,16.0,0.0,4.0,0.0,18.0,29.0
Russian Federation,1.0,61.0,1.0,211.0,5.0,15.0,31.0,0.0,1.0,0.0,25.0,1.0,3.0,49.0,5.0,57.0,15.0,3948.0,1.0,1.0,66.0,6.0,9.0,180.0,1.0,192.0,11.0,55.0,7.0,18.0,1.0,1.0,37.0,1.0,0.0,0.0,30.0,121.0,6.0,0.0,7.0,2.0,10.0,20.0,62.0,38.0,94.0,1.0,18.0,33.0,0.0,0.0,341.0,0.0,0.0,1.0,1.0,0.0,5.0,14.0,3.0,0.0,78.0,0.0,41.0,18.0,26.0,118.0,25.0,6.0,0.0,0.0,10.0,8.0,0.0,8.0,17.0,24.0,13.0,5.0,43.0,13.0,12.0,0.0,65.0,22.0,63.0,48.0,6.0,0.0,3.0,1.0,0.0,3.0,1.0,32.0,0.0,101.0,35.0,1.0,4.0,10.0,0.0,15.0,0.0,0.0,82.0,16.0,44.0,34.0,0.0,14.0,1.0,9.0,20.0
Puerto Rico,1.0,1.0,0.0,27.0,1.0,4.0,1.0,0.0,3.0,0.0,5.0,7.0,3.0,5.0,0.0,14.0,0.0,665.0,0.0,0.0,21.0,4.0,34.0,0.0,1.0,18.0,0.0,14.0,2.0,0.0,3.0,1.0,11.0,0.0,0.0,4.0,0.0,23.0,11.0,0.0,1.0,1.0,1.0,0.0,25.0,22.0,20.0,0.0,9.0,12.0,4.0,0.0,57.0,1.0,1.0,0.0,2.0,0.0,10.0,79.0,0.0,1.0,10.0,0.0,4.0,4.0,0.0,12.0,10.0,1.0,0.0,0.0,49.0,0.0,0.0,0.0,8.0,4.0,7.0,0.0,40.0,13.0,11.0,0.0,6.0,4.0,5.0,24.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,27.0,0.0,17.0,7.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,17.0,0.0,21.0,0.0,7.0,33.0
