,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Honduras,2.0,0.0,0.0,68.0,0.0,3.0,11.0,0.0,0.0,3.0,7.0,3.0,1.0,0.0,0.0,8.0,0.0,414.0,0.0,1.0,0.0,2.0,30.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,12.0,2.0,0.0,0.0,7.0,0.0,0.0,12.0,2.0,14.0,1.0,37.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,5.0,22.0,0.0,20.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,1.0,1.0,0.0,9.0,7.0,0.0,8.0,10.0,0.0,1.0,0.0,0.0,8.0,0.0,13.0,0.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,5.0,2.0,1.0,0.0,0.0,1.0,12.0
Spain,58.0,17.0,2.0,659.0,21.0,214.0,92.0,8.0,35.0,68.0,32.0,27.0,102.0,26.0,9.0,157.0,35.0,7537.0,1.0,0.0,86.0,42.0,57.0,141.0,1.0,430.0,22.0,73.0,11.0,1.0,18.0,8.0,117.0,7.0,0.0,8.0,3.0,158.0,66.0,16.0,72.0,60.0,22.0,4.0,106.0,288.0,369.0,19.0,477.0,111.0,0.0,0.0,349.0,0.0,6.0,3.0,106.0,46.0,37.0,8.0,28.0,3.0,14.0,15.0,38.0,87.0,6.0,152.0,179.0,5.0,0.0,0.0,21.0,30.0,5.0,3.0,60.0,76.0,86.0,12.0,129.0,39.0,10.0,0.0,129.0,20.0,22.0,372.0,262.0,1.0,137.0,8.0,0.0,44.0,28.0,746.0,3.0,299.0,116.0,30.0,16.0,82.0,0.0,32.0,37.0,2.0,205.0,1.0,50.0,64.0,2.0,207.0,0.0,34.0,176.0
Japan,11.0,7.0,4.0,424.0,2.0,13.0,4.0,1.0,19.0,4.0,5.0,11.0,3.0,11.0,4.0,61.0,0.0,3228.0,2.0,1.0,59.0,53.0,46.0,7.0,0.0,64.0,4.0,89.0,227.0,1.0,10.0,1.0,113.0,2.0,0.0,11.0,4.0,225.0,20.0,0.0,7.0,13.0,2.0,1.0,11.0,33.0,53.0,31.0,89.0,52.0,3.0,1.0,166.0,11.0,5.0,113.0,7.0,0.0,11.0,2.0,2.0,0.0,6.0,0.0,16.0,29.0,7.0,73.0,10.0,2.0,1.0,0.0,7.0,38.0,5.0,2.0,21.0,147.0,11.0,0.0,20.0,33.0,5.0,1.0,28.0,14.0,12.0,29.0,40.0,1.0,2.0,8.0,0.0,11.0,3.0,19.0,0.0,100.0,109.0,5.0,2.0,10.0,0.0,5.0,1.0,0.0,48.0,0.0,10.0,20.0,0.0,9.0,0.0,36.0,48.0
United States,5.0,220.0,13.0,1538.0,34.0,142.0,27.0,5.0,164.0,52.0,132.0,104.0,223.0,104.0,166.0,872.0,6.0,29494.0,16.0,14.0,1086.0,343.0,128.0,88.0,11.0,1488.0,20.0,788.0,38.0,0.0,212.0,73.0,451.0,8.0,0.0,31.0,31.0,696.0,240.0,32.0,121.0,83.0,83.0,14.0,214.0,583.0,645.0,13.0,721.0,421.0,46.0,0.0,2736.0,19.0,11.0,10.0,100.0,19.0,143.0,44.0,44.0,2.0,255.0,3.0,343.0,363.0,94.0,977.0,205.0,22.0,1.0,4.0,146.0,149.0,25.0,52.0,258.0,379.0,622.0,10.0,192.0,892.0,58.0,25.0,181.0,115.0,278.0,840.0,471.0,33.0,15.0,32.0,0.0,86.0,27.0,418.0,8.0,710.0,358.0,128.0,73.0,145.0,4.0,20.0,72.0,7.0,416.0,6.0,263.0,347.0,2.0,185.0,2.0,207.0,567.0
Italy,87.0,17.0,6.0,360.0,13.0,115.0,214.0,2.0,21.0,14.0,22.0,56.0,34.0,16.0,12.0,230.0,2.0,19392.0,1.0,1.0,73.0,238.0,128.0,17.0,0.0,200.0,19.0,60.0,22.0,0.0,51.0,68.0,401.0,1.0,0.0,17.0,1.0,310.0,106.0,3.0,14.0,65.0,3.0,0.0,51.0,236.0,654.0,10.0,646.0,737.0,3.0,0.0,588.0,3.0,7.0,0.0,423.0,19.0,53.0,8.0,196.0,1.0,17.0,3.0,46.0,86.0,8.0,343.0,237.0,9.0,2.0,0.0,16.0,79.0,4.0,29.0,256.0,49.0,120.0,11.0,10.0,277.0,26.0,1.0,104.0,215.0,153.0,203.0,222.0,6.0,75.0,14.0,0.0,13.0,4.0,222.0,1.0,123.0,62.0,37.0,74.0,62.0,6.0,48.0,0.0,3.0,53.0,0.0,73.0,87.0,2.0,460.0,1.0,25.0,105.0
Colombia,2.0,4.0,2.0,77.0,1.0,9.0,37.0,0.0,0.0,21.0,9.0,12.0,0.0,2.0,1.0,14.0,0.0,804.0,0.0,0.0,6.0,3.0,48.0,3.0,0.0,30.0,1.0,19.0,9.0,0.0,2.0,9.0,11.0,0.0,0.0,2.0,0.0,43.0,3.0,1.0,0.0,7.0,3.0,0.0,23.0,22.0,12.0,0.0,21.0,10.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,4.0,10.0,11.0,0.0,0.0,2.0,0.0,3.0,33.0,2.0,32.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,21.0,4.0,1.0,28.0,1.0,5.0,0.0,21.0,18.0,5.0,28.0,5.0,1.0,1.0,1.0,0.0,3.0,0.0,121.0,0.0,16.0,2.0,0.0,2.0,12.0,4.0,0.0,0.0,1.0,26.0,5.0,9.0,4.0,0.0,1.0,0.0,44.0,49.0
France,3.0,48.0,4.0,1721.0,4.0,48.0,24.0,0.0,22.0,5.0,12.0,121.0,61.0,58.0,19.0,130.0,0.0,4692.0,1.0,4.0,100.0,49.0,195.0,90.0,6.0,153.0,6.0,132.0,5.0,1.0,44.0,3.0,275.0,3.0,0.0,3.0,5.0,168.0,52.0,1.0,90.0,12.0,5.0,0.0,16.0,91.0,88.0,14.0,76.0,16.0,0.0,0.0,1212.0,3.0,2.0,0.0,26.0,5.0,62.0,22.0,101.0,4.0,40.0,1.0,88.0,75.0,13.0,106.0,60.0,5.0,1.0,0.0,78.0,21.0,8.0,8.0,52.0,22.0,41.0,10.0,59.0,142.0,3.0,2.0,27.0,6.0,49.0,173.0,176.0,1.0,6.0,18.0,3.0,21.0,19.0,197.0,1.0,77.0,63.0,11.0,7.0,39.0,1.0,6.0,1.0,2.0,91.0,0.0,65.0,54.0,7.0,21.0,3.0,56.0,148.0
Chile,16.0,5.0,0.0,155.0,0.0,4.0,10.0,0.0,1.0,7.0,9.0,10.0,3.0,4.0,0.0,15.0,0.0,1377.0,0.0,0.0,7.0,12.0,42.0,9.0,0.0,13.0,15.0,5.0,0.0,0.0,1.0,2.0,16.0,2.0,0.0,6.0,0.0,14.0,5.0,0.0,3.0,2.0,36.0,0.0,38.0,19.0,13.0,5.0,18.0,2.0,0.0,0.0,47.0,0.0,0.0,0.0,5.0,5.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,11.0,4.0,0.0,0.0,6.0,1.0,0.0,1.0,4.0,22.0,9.0,0.0,10.0,7.0,1.0,0.0,7.0,4.0,5.0,27.0,3.0,2.0,8.0,3.0,0.0,5.0,1.0,67.0,0.0,49.0,21.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,24.0
Iceland,3.0,0.0,0.0,45.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,160.0,0.0,1.0,4.0,10.0,1.0,0.0,0.0,14.0,0.0,3.0,0.0,0.0,11.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,7.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,0.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0
China,3.0,25.0,12.0,548.0,7.0,38.0,15.0,0.0,36.0,3.0,23.0,20.0,26.0,51.0,7.0,754.0,3.0,22489.0,17.0,2.0,101.0,88.0,49.0,44.0,2.0,599.0,107.0,396.0,38.0,1.0,22.0,9.0,194.0,2.0,0.0,10.0,4.0,161.0,47.0,13.0,20.0,13.0,19.0,19.0,51.0,234.0,125.0,232.0,148.0,58.0,3.0,0.0,969.0,53.0,9.0,14.0,17.0,4.0,28.0,5.0,32.0,5.0,11.0,2.0,339.0,112.0,76.0,608.0,47.0,12.0,8.0,25.0,11.0,2037.0,1.0,16.0,119.0,4490.0,70.0,4.0,25.0,142.0,29.0,5.0,46.0,14.0,765.0,72.0,98.0,2.0,4.0,27.0,0.0,30.0,2.0,140.0,1.0,451.0,31.0,24.0,29.0,22.0,1.0,6.0,1.0,2.0,139.0,0.0,66.0,219.0,5.0,10.0,2.0,14.0,150.0
