,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Japan,7.0,17.0,3.0,666.0,4.0,14.0,4.0,1.0,34.0,7.0,27.0,9.0,4.0,12.0,12.0,98.0,0.0,4438.0,0.0,1.0,70.0,50.0,54.0,10.0,0.0,73.0,5.0,129.0,307.0,1.0,8.0,2.0,120.0,3.0,0.0,16.0,1.0,265.0,23.0,0.0,8.0,9.0,2.0,0.0,7.0,44.0,63.0,10.0,106.0,63.0,0.0,1.0,314.0,5.0,4.0,176.0,85.0,2.0,13.0,2.0,1.0,0.0,10.0,0.0,36.0,56.0,3.0,126.0,11.0,2.0,1.0,0.0,15.0,44.0,7.0,2.0,29.0,134.0,16.0,1.0,12.0,79.0,8.0,1.0,29.0,20.0,44.0,25.0,50.0,1.0,1.0,12.0,0.0,16.0,8.0,23.0,0.0,187.0,117.0,10.0,2.0,9.0,0.0,5.0,1.0,0.0,66.0,0.0,7.0,19.0,0.0,9.0,0.0,35.0,60.0
Italy,87.0,17.0,5.0,608.0,11.0,150.0,154.0,3.0,55.0,26.0,28.0,55.0,51.0,16.0,14.0,299.0,1.0,23215.0,1.0,4.0,85.0,328.0,73.0,34.0,1.0,249.0,54.0,79.0,31.0,0.0,40.0,45.0,377.0,1.0,0.0,24.0,2.0,271.0,101.0,5.0,14.0,72.0,6.0,1.0,49.0,283.0,713.0,9.0,775.0,914.0,15.0,0.0,705.0,2.0,7.0,0.0,401.0,20.0,82.0,7.0,162.0,2.0,11.0,1.0,96.0,118.0,10.0,440.0,423.0,11.0,0.0,0.0,32.0,92.0,9.0,36.0,293.0,70.0,142.0,11.0,18.0,444.0,14.0,1.0,68.0,251.0,168.0,347.0,302.0,3.0,123.0,28.0,0.0,36.0,14.0,164.0,3.0,148.0,105.0,16.0,55.0,85.0,16.0,156.0,5.0,3.0,69.0,0.0,84.0,102.0,1.0,159.0,1.0,19.0,122.0
Spain,53.0,12.0,4.0,1035.0,3.0,167.0,123.0,9.0,36.0,83.0,50.0,47.0,92.0,40.0,23.0,197.0,1.0,9687.0,1.0,9.0,90.0,72.0,136.0,164.0,1.0,486.0,28.0,113.0,11.0,0.0,48.0,6.0,181.0,15.0,0.0,12.0,7.0,300.0,82.0,7.0,48.0,77.0,18.0,4.0,65.0,359.0,494.0,22.0,660.0,173.0,0.0,0.0,527.0,1.0,7.0,3.0,66.0,81.0,87.0,10.0,40.0,3.0,29.0,4.0,50.0,120.0,105.0,204.0,233.0,0.0,0.0,1.0,7.0,29.0,5.0,3.0,62.0,67.0,103.0,10.0,122.0,87.0,5.0,1.0,191.0,21.0,40.0,456.0,453.0,1.0,191.0,18.0,0.0,46.0,32.0,947.0,2.0,338.0,88.0,36.0,17.0,77.0,6.0,30.0,36.0,1.0,307.0,11.0,54.0,52.0,4.0,177.0,0.0,40.0,204.0
France,2.0,65.0,1.0,1911.0,8.0,58.0,32.0,0.0,26.0,4.0,13.0,81.0,67.0,71.0,23.0,158.0,1.0,5744.0,1.0,11.0,110.0,54.0,146.0,147.0,8.0,168.0,5.0,195.0,5.0,0.0,55.0,4.0,294.0,5.0,0.0,2.0,3.0,243.0,65.0,2.0,59.0,18.0,4.0,1.0,38.0,143.0,106.0,7.0,85.0,15.0,1.0,0.0,1512.0,1.0,2.0,0.0,21.0,7.0,73.0,50.0,165.0,0.0,63.0,1.0,104.0,77.0,10.0,168.0,112.0,4.0,0.0,1.0,124.0,32.0,5.0,17.0,68.0,31.0,48.0,11.0,58.0,172.0,8.0,2.0,50.0,8.0,55.0,181.0,237.0,9.0,6.0,23.0,4.0,68.0,17.0,119.0,1.0,93.0,88.0,24.0,6.0,53.0,0.0,7.0,2.0,1.0,125.0,0.0,65.0,61.0,6.0,20.0,3.0,43.0,125.0
Morocco,2.0,17.0,0.0,61.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,5.0,100.0,0.0,2498.0,0.0,1.0,20.0,0.0,0.0,114.0,3.0,163.0,2.0,281.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,2.0,80.0,9.0,0.0,11.0,5.0,0.0,0.0,2.0,4.0,41.0,2.0,3.0,2.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,0.0,0.0,1.0,0.0,28.0,17.0,18.0,49.0,1.0,1.0,0.0,0.0,1.0,11.0,0.0,0.0,11.0,2.0,11.0,0.0,5.0,40.0,2.0,0.0,4.0,1.0,24.0,25.0,42.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,0.0,14.0,10.0,6.0,2.0,1.0,4.0,0.0,0.0,0.0,38.0,0.0,3.0,21.0,1.0,0.0,0.0,4.0,29.0
China,2.0,34.0,7.0,716.0,10.0,43.0,20.0,0.0,52.0,8.0,31.0,21.0,39.0,50.0,15.0,1055.0,3.0,29786.0,18.0,2.0,119.0,124.0,72.0,78.0,2.0,758.0,72.0,485.0,47.0,1.0,25.0,8.0,292.0,3.0,1.0,8.0,8.0,208.0,56.0,5.0,27.0,18.0,24.0,19.0,56.0,280.0,151.0,116.0,215.0,90.0,4.0,0.0,1404.0,29.0,4.0,13.0,10.0,5.0,29.0,8.0,35.0,7.0,16.0,1.0,420.0,118.0,79.0,689.0,59.0,10.0,12.0,9.0,35.0,2164.0,4.0,15.0,121.0,3446.0,96.0,5.0,23.0,197.0,35.0,1.0,58.0,38.0,979.0,116.0,123.0,4.0,3.0,32.0,0.0,32.0,4.0,133.0,1.0,647.0,59.0,113.0,16.0,24.0,3.0,6.0,1.0,2.0,179.0,2.0,65.0,233.0,5.0,9.0,3.0,14.0,198.0
Slovenia,1.0,0.0,0.0,104.0,4.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,418.0,1.0,1.0,1.0,5.0,6.0,0.0,0.0,11.0,1.0,7.0,0.0,0.0,4.0,1.0,16.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,6.0,6.0,1.0,11.0,4.0,0.0,0.0,57.0,0.0,0.0,0.0,47.0,0.0,6.0,3.0,1.0,0.0,15.0,0.0,4.0,2.0,1.0,21.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,5.0,0.0,1.0,2.0,2.0,7.0,1.0,39.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,0.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,0.0,4.0
Netherlands,8.0,6.0,1.0,726.0,1.0,5.0,2.0,0.0,8.0,2.0,9.0,5.0,13.0,1.0,2.0,40.0,1.0,952.0,1.0,13.0,19.0,19.0,9.0,7.0,0.0,52.0,0.0,27.0,1.0,0.0,16.0,7.0,37.0,4.0,0.0,0.0,1.0,22.0,1.0,1.0,13.0,20.0,3.0,1.0,4.0,27.0,31.0,0.0,23.0,5.0,1.0,0.0,116.0,0.0,0.0,0.0,37.0,0.0,16.0,9.0,0.0,1.0,8.0,1.0,8.0,16.0,1.0,38.0,41.0,0.0,0.0,0.0,18.0,3.0,2.0,2.0,23.0,13.0,54.0,3.0,3.0,63.0,3.0,5.0,27.0,7.0,16.0,52.0,48.0,4.0,12.0,1.0,0.0,5.0,3.0,7.0,0.0,32.0,11.0,79.0,5.0,17.0,1.0,0.0,1.0,1.0,38.0,0.0,16.0,11.0,1.0,2.0,0.0,3.0,16.0
Peru,1.0,0.0,1.0,488.0,1.0,8.0,6.0,0.0,5.0,6.0,1.0,13.0,3.0,5.0,0.0,22.0,0.0,1772.0,0.0,0.0,4.0,4.0,219.0,13.0,3.0,16.0,0.0,20.0,1.0,0.0,2.0,1.0,21.0,2.0,0.0,4.0,0.0,16.0,0.0,2.0,1.0,10.0,4.0,0.0,30.0,47.0,14.0,1.0,17.0,1.0,1.0,0.0,142.0,0.0,1.0,0.0,1.0,9.0,29.0,40.0,0.0,1.0,7.0,0.0,6.0,39.0,6.0,87.0,22.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,5.0,19.0,40.0,0.0,78.0,4.0,4.0,0.0,41.0,8.0,5.0,51.0,26.0,0.0,5.0,9.0,0.0,2.0,2.0,149.0,1.0,21.0,14.0,1.0,14.0,1.0,0.0,0.0,3.0,1.0,28.0,0.0,28.0,9.0,0.0,0.0,0.0,10.0,97.0
Iceland,3.0,0.0,1.0,49.0,10.0,0.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,5.0,0.0,5.0,0.0,190.0,2.0,0.0,3.0,7.0,2.0,1.0,0.0,15.0,0.0,6.0,1.0,0.0,13.0,0.0,6.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,15.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,10.0
