,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Norway,4.0,2.0,0.0,57.0,2.0,2.0,1.0,0.0,8.0,0.0,0.0,1.0,5.0,9.0,0.0,5.0,0.0,261.0,2.0,1.0,4.0,2.0,3.0,7.0,0.0,11.0,3.0,7.0,1.0,0.0,7.0,1.0,14.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,2.0,2.0,0.0,0.0,16.0,13.0,28.0,0.0,8.0,2.0,1.0,0.0,50.0,0.0,0.0,0.0,11.0,1.0,2.0,4.0,5.0,0.0,6.0,0.0,4.0,4.0,0.0,29.0,0.0,1.0,0.0,0.0,13.0,12.0,0.0,0.0,3.0,0.0,6.0,0.0,3.0,25.0,2.0,0.0,2.0,0.0,8.0,2.0,64.0,10.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,13.0,13.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,9.0,11.0,0.0,4.0,2.0,0.0,0.0,7.0,14.0
Spain,75.0,30.0,2.0,653.0,26.0,210.0,81.0,7.0,29.0,70.0,32.0,37.0,110.0,26.0,9.0,162.0,35.0,7986.0,2.0,0.0,93.0,44.0,77.0,123.0,15.0,441.0,20.0,79.0,11.0,1.0,27.0,7.0,112.0,6.0,0.0,9.0,3.0,150.0,67.0,18.0,74.0,33.0,20.0,4.0,105.0,292.0,390.0,26.0,435.0,92.0,0.0,0.0,358.0,0.0,6.0,3.0,108.0,61.0,41.0,8.0,26.0,3.0,28.0,17.0,34.0,100.0,7.0,154.0,174.0,5.0,1.0,0.0,21.0,49.0,6.0,3.0,56.0,73.0,83.0,13.0,134.0,42.0,11.0,0.0,85.0,20.0,14.0,376.0,256.0,1.0,128.0,5.0,0.0,48.0,27.0,815.0,2.0,290.0,130.0,42.0,15.0,85.0,0.0,33.0,40.0,2.0,133.0,2.0,52.0,70.0,2.0,214.0,0.0,49.0,223.0
Russian Federation,1.0,60.0,1.0,207.0,6.0,16.0,31.0,0.0,0.0,0.0,27.0,1.0,2.0,44.0,5.0,56.0,3.0,3981.0,1.0,1.0,66.0,5.0,8.0,149.0,1.0,173.0,11.0,56.0,6.0,17.0,3.0,1.0,33.0,1.0,0.0,0.0,30.0,116.0,6.0,0.0,12.0,2.0,11.0,20.0,63.0,41.0,91.0,3.0,17.0,33.0,0.0,0.0,371.0,2.0,0.0,0.0,1.0,0.0,5.0,14.0,3.0,0.0,74.0,0.0,40.0,16.0,26.0,123.0,26.0,5.0,0.0,0.0,9.0,9.0,0.0,8.0,17.0,26.0,12.0,5.0,41.0,14.0,12.0,0.0,63.0,22.0,71.0,55.0,5.0,0.0,2.0,1.0,0.0,3.0,1.0,39.0,0.0,133.0,36.0,1.0,4.0,7.0,0.0,14.0,0.0,0.0,75.0,16.0,37.0,32.0,0.0,16.0,1.0,9.0,18.0
Japan,23.0,7.0,5.0,230.0,2.0,16.0,3.0,0.0,17.0,2.0,7.0,8.0,5.0,11.0,4.0,53.0,0.0,3233.0,2.0,1.0,47.0,52.0,35.0,7.0,0.0,63.0,6.0,68.0,281.0,1.0,10.0,1.0,110.0,1.0,0.0,23.0,3.0,230.0,17.0,0.0,8.0,12.0,2.0,1.0,6.0,34.0,54.0,31.0,88.0,54.0,3.0,1.0,162.0,13.0,5.0,88.0,6.0,0.0,22.0,2.0,2.0,0.0,7.0,0.0,13.0,30.0,9.0,75.0,9.0,2.0,1.0,0.0,8.0,40.0,6.0,3.0,21.0,160.0,12.0,0.0,21.0,32.0,5.0,0.0,27.0,14.0,19.0,32.0,23.0,1.0,4.0,8.0,0.0,13.0,1.0,11.0,0.0,98.0,110.0,5.0,2.0,10.0,0.0,5.0,2.0,0.0,41.0,0.0,10.0,19.0,0.0,4.0,0.0,25.0,42.0
Italy,82.0,14.0,4.0,364.0,13.0,99.0,215.0,1.0,17.0,9.0,20.0,62.0,32.0,12.0,11.0,247.0,2.0,20647.0,1.0,1.0,70.0,212.0,143.0,15.0,0.0,217.0,18.0,55.0,18.0,0.0,50.0,76.0,493.0,1.0,0.0,19.0,1.0,385.0,144.0,3.0,16.0,59.0,3.0,0.0,51.0,266.0,756.0,14.0,777.0,931.0,3.0,0.0,586.0,3.0,7.0,0.0,446.0,15.0,55.0,8.0,195.0,1.0,16.0,3.0,45.0,94.0,17.0,464.0,205.0,8.0,2.0,0.0,28.0,88.0,4.0,28.0,267.0,59.0,124.0,11.0,13.0,250.0,29.0,0.0,100.0,216.0,173.0,196.0,217.0,6.0,70.0,13.0,0.0,67.0,4.0,273.0,1.0,147.0,61.0,37.0,97.0,58.0,4.0,47.0,0.0,3.0,62.0,0.0,71.0,92.0,2.0,582.0,1.0,27.0,113.0
Puerto Rico,1.0,2.0,0.0,27.0,1.0,4.0,1.0,0.0,3.0,0.0,4.0,7.0,3.0,8.0,0.0,12.0,0.0,663.0,0.0,0.0,21.0,4.0,32.0,0.0,0.0,18.0,0.0,12.0,2.0,0.0,3.0,1.0,11.0,0.0,0.0,4.0,0.0,21.0,11.0,0.0,1.0,1.0,1.0,0.0,25.0,22.0,21.0,0.0,4.0,11.0,4.0,0.0,57.0,1.0,1.0,0.0,2.0,0.0,8.0,79.0,0.0,1.0,21.0,0.0,4.0,4.0,0.0,10.0,11.0,1.0,0.0,0.0,51.0,0.0,0.0,0.0,8.0,4.0,7.0,0.0,36.0,13.0,11.0,0.0,6.0,4.0,5.0,22.0,29.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,0.0,19.0,7.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,17.0,0.0,21.0,0.0,8.0,33.0
Portugal,2.0,1.0,1.0,140.0,0.0,23.0,9.0,0.0,22.0,1.0,2.0,4.0,6.0,9.0,0.0,48.0,0.0,1805.0,0.0,0.0,20.0,32.0,3.0,1.0,0.0,24.0,0.0,5.0,1.0,0.0,3.0,1.0,28.0,0.0,0.0,0.0,0.0,32.0,4.0,1.0,5.0,4.0,0.0,0.0,2.0,27.0,73.0,1.0,21.0,5.0,1.0,0.0,48.0,0.0,0.0,0.0,27.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,13.0,22.0,0.0,34.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,4.0,5.0,11.0,1.0,16.0,1.0,2.0,0.0,5.0,2.0,12.0,32.0,7.0,2.0,2.0,0.0,0.0,2.0,10.0,28.0,0.0,39.0,4.0,2.0,2.0,3.0,0.0,0.0,13.0,0.0,39.0,0.0,16.0,2.0,0.0,0.0,0.0,14.0,20.0
Papua New Guinea,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,27.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,3.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
"Iran, Islamic Republic of",1.0,11.0,1.0,9.0,1.0,5.0,26.0,0.0,2.0,0.0,0.0,0.0,6.0,186.0,1.0,12.0,3.0,444.0,0.0,0.0,9.0,3.0,6.0,79.0,0.0,24.0,3.0,29.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,3.0,0.0,59.0,106.0,0.0,12.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,15.0,0.0,2.0,0.0,363.0,0.0,2.0,0.0,1.0,5.0,3.0,0.0,6.0,0.0,2.0,0.0,3.0,3.0,5.0,8.0,2.0,0.0,0.0,0.0,3.0,12.0,1.0,2.0,6.0,4.0,6.0,2.0,1.0,6.0,7.0,1.0,3.0,7.0,12.0,14.0,9.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,13.0,4.0,0.0,0.0,7.0,0.0,57.0,2.0,1.0,48.0,4.0,1.0,1.0,0.0,1.0,5.0,10.0,2.0
Belgium,1.0,0.0,0.0,203.0,1.0,3.0,17.0,0.0,5.0,0.0,1.0,2.0,5.0,8.0,1.0,9.0,0.0,1103.0,0.0,0.0,14.0,5.0,5.0,25.0,0.0,51.0,0.0,9.0,7.0,0.0,1.0,2.0,14.0,1.0,0.0,0.0,0.0,22.0,11.0,3.0,3.0,0.0,2.0,0.0,60.0,13.0,25.0,1.0,10.0,6.0,0.0,0.0,87.0,0.0,0.0,1.0,4.0,1.0,4.0,2.0,1.0,0.0,23.0,0.0,5.0,15.0,52.0,21.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,9.0,6.0,5.0,1.0,6.0,13.0,2.0,0.0,5.0,4.0,49.0,11.0,221.0,0.0,6.0,0.0,2.0,9.0,2.0,72.0,0.0,14.0,4.0,1.0,0.0,26.0,0.0,2.0,1.0,0.0,24.0,0.0,5.0,5.0,1.0,2.0,0.0,2.0,7.0
