,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Italy,27.0,9.0,2.0,804.0,29.0,87.0,205.0,1.0,49.0,23.0,13.0,91.0,20.0,18.0,2.0,322.0,0.0,29775.0,1.0,2.0,62.0,101.0,81.0,121.0,1.0,310.0,16.0,79.0,20.0,0.0,68.0,3.0,270.0,3.0,0.0,41.0,4.0,164.0,80.0,5.0,10.0,63.0,5.0,1.0,62.0,339.0,654.0,21.0,438.0,415.0,1.0,0.0,523.0,2.0,1.0,1.0,178.0,26.0,121.0,5.0,5.0,1.0,49.0,0.0,75.0,154.0,14.0,1064.0,320.0,13.0,0.0,0.0,15.0,94.0,5.0,64.0,148.0,209.0,149.0,4.0,50.0,121.0,120.0,2.0,94.0,302.0,795.0,352.0,214.0,2.0,25.0,12.0,0.0,31.0,9.0,248.0,3.0,293.0,107.0,17.0,63.0,32.0,2.0,47.0,1.0,10.0,133.0,0.0,85.0,117.0,0.0,42.0,0.0,24.0,157.0
Japan,15.0,37.0,2.0,222.0,0.0,7.0,3.0,0.0,23.0,1.0,58.0,14.0,3.0,10.0,6.0,43.0,0.0,2129.0,4.0,3.0,53.0,74.0,34.0,14.0,0.0,98.0,3.0,63.0,117.0,0.0,17.0,2.0,78.0,1.0,0.0,6.0,16.0,195.0,11.0,1.0,12.0,18.0,5.0,0.0,22.0,92.0,87.0,14.0,74.0,45.0,0.0,0.0,288.0,38.0,1.0,57.0,5.0,1.0,25.0,1.0,0.0,1.0,4.0,0.0,45.0,25.0,15.0,108.0,7.0,1.0,0.0,1.0,9.0,33.0,6.0,3.0,20.0,164.0,20.0,3.0,2.0,28.0,1.0,3.0,30.0,13.0,65.0,17.0,17.0,2.0,1.0,4.0,0.0,7.0,0.0,36.0,3.0,112.0,34.0,4.0,4.0,28.0,0.0,0.0,2.0,0.0,41.0,0.0,3.0,41.0,0.0,4.0,0.0,20.0,48.0
Cameroon,1.0,1.0,2.0,46.0,0.0,1.0,0.0,3.0,3.0,1.0,2.0,3.0,1.0,266.0,7.0,3.0,1.0,253.0,0.0,0.0,7.0,3.0,6.0,6.0,1.0,31.0,0.0,9.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,9.0,0.0,19.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,7.0,6.0,1.0,3.0,2.0,4.0,0.0,17.0,0.0,0.0,3.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,8.0,82.0,0.0,33.0,2.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,2.0,0.0,24.0,0.0,1.0,4.0,8.0,0.0,2.0,0.0,9.0,2.0,8.0,0.0,0.0,7.0,0.0,0.0,6.0,12.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,30.0,4.0,0.0,1.0,3.0,58.0,5.0
Grenada,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,234.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0
Spain,70.0,5.0,3.0,1153.0,19.0,144.0,127.0,0.0,41.0,60.0,128.0,16.0,94.0,130.0,1.0,254.0,4.0,11285.0,2.0,3.0,129.0,101.0,119.0,141.0,3.0,626.0,38.0,76.0,18.0,0.0,76.0,15.0,193.0,4.0,0.0,4.0,65.0,265.0,74.0,1.0,43.0,85.0,18.0,0.0,357.0,300.0,497.0,70.0,511.0,88.0,2.0,0.0,855.0,0.0,1.0,2.0,53.0,17.0,87.0,18.0,14.0,7.0,133.0,5.0,128.0,166.0,53.0,439.0,151.0,0.0,1.0,0.0,5.0,29.0,53.0,5.0,26.0,87.0,87.0,21.0,138.0,34.0,9.0,2.0,85.0,18.0,73.0,361.0,272.0,2.0,149.0,8.0,0.0,50.0,6.0,335.0,6.0,257.0,120.0,31.0,11.0,42.0,1.0,17.0,7.0,0.0,296.0,10.0,42.0,152.0,1.0,75.0,0.0,46.0,164.0
Norway,1.0,0.0,5.0,73.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,21.0,1.0,0.0,3.0,0.0,574.0,2.0,0.0,4.0,4.0,6.0,3.0,0.0,24.0,11.0,17.0,2.0,0.0,12.0,2.0,16.0,0.0,0.0,0.0,0.0,6.0,10.0,1.0,4.0,2.0,1.0,0.0,34.0,32.0,41.0,0.0,17.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,2.0,0.0,4.0,1.0,5.0,13.0,0.0,31.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,2.0,11.0,4.0,4.0,0.0,7.0,34.0,2.0,0.0,2.0,0.0,8.0,10.0,67.0,1.0,0.0,1.0,0.0,8.0,2.0,7.0,0.0,18.0,16.0,0.0,10.0,16.0,0.0,1.0,1.0,0.0,10.0,1.0,8.0,12.0,0.0,0.0,0.0,1.0,31.0
Nigeria,1.0,2.0,1.0,44.0,1.0,1.0,5.0,25.0,3.0,0.0,23.0,15.0,5.0,153.0,2.0,31.0,0.0,1089.0,1.0,0.0,31.0,9.0,6.0,7.0,24.0,238.0,4.0,42.0,1.0,0.0,3.0,1.0,15.0,6.0,0.0,30.0,4.0,25.0,14.0,1.0,5.0,2.0,11.0,0.0,12.0,67.0,30.0,0.0,17.0,2.0,12.0,0.0,53.0,0.0,0.0,400.0,1.0,1.0,100.0,1.0,0.0,1.0,7.0,0.0,8.0,298.0,162.0,230.0,16.0,0.0,0.0,0.0,1.0,3.0,37.0,1.0,11.0,11.0,112.0,1.0,6.0,20.0,9.0,0.0,5.0,0.0,58.0,40.0,24.0,0.0,4.0,36.0,0.0,5.0,13.0,117.0,0.0,10.0,6.0,0.0,7.0,3.0,7.0,1.0,0.0,1.0,59.0,0.0,78.0,18.0,0.0,1.0,1.0,42.0,44.0
Portugal,10.0,2.0,0.0,283.0,2.0,11.0,7.0,0.0,4.0,0.0,30.0,21.0,3.0,2.0,0.0,98.0,1.0,3121.0,0.0,0.0,13.0,13.0,95.0,2.0,0.0,101.0,0.0,17.0,0.0,0.0,12.0,2.0,63.0,1.0,0.0,3.0,0.0,39.0,8.0,2.0,9.0,3.0,0.0,0.0,22.0,48.0,59.0,2.0,32.0,6.0,1.0,0.0,168.0,1.0,0.0,2.0,59.0,4.0,20.0,2.0,0.0,0.0,2.0,1.0,20.0,53.0,0.0,268.0,8.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,20.0,17.0,27.0,1.0,36.0,7.0,6.0,0.0,16.0,11.0,27.0,78.0,24.0,0.0,6.0,3.0,0.0,5.0,5.0,72.0,0.0,244.0,17.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,38.0,0.0,14.0,26.0,0.0,7.0,0.0,14.0,63.0
"Venezuela, Bolivarian Republic of",2.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,8.0,16.0,2.0,2.0,9.0,0.0,14.0,0.0,974.0,0.0,0.0,11.0,6.0,18.0,17.0,0.0,17.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,8.0,19.0,13.0,0.0,10.0,1.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,4.0,11.0,2.0,0.0,0.0,0.0,0.0,2.0,57.0,0.0,143.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,61.0,0.0,10.0,0.0,0.0,0.0,16.0,32.0,2.0,32.0,1.0,0.0,9.0,2.0,0.0,0.0,1.0,19.0,0.0,43.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,38.0,0.0,5.0,2.0,0.0,0.0,0.0,34.0,19.0
United States,14.0,280.0,43.0,4766.0,86.0,240.0,105.0,13.0,192.0,127.0,273.0,242.0,303.0,150.0,167.0,1509.0,16.0,46897.0,35.0,35.0,2396.0,969.0,309.0,136.0,49.0,2235.0,34.0,1310.0,112.0,1.0,841.0,101.0,838.0,8.0,1.0,67.0,47.0,1087.0,425.0,61.0,206.0,156.0,105.0,19.0,1054.0,1453.0,1575.0,50.0,1540.0,874.0,60.0,1.0,4995.0,42.0,26.0,10.0,185.0,57.0,249.0,137.0,10.0,4.0,640.0,8.0,895.0,702.0,199.0,2052.0,232.0,40.0,1.0,13.0,382.0,236.0,83.0,78.0,486.0,1142.0,435.0,27.0,494.0,1030.0,132.0,44.0,361.0,139.0,889.0,1249.0,1032.0,43.0,35.0,114.0,3.0,142.0,55.0,493.0,33.0,1260.0,521.0,213.0,149.0,267.0,21.0,23.0,79.0,18.0,657.0,32.0,467.0,693.0,6.0,177.0,1.0,410.0,1289.0
