,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Japan,8.0,16.0,3.0,619.0,3.0,14.0,4.0,1.0,34.0,7.0,27.0,9.0,5.0,13.0,12.0,96.0,0.0,4419.0,1.0,1.0,71.0,52.0,56.0,10.0,0.0,70.0,5.0,123.0,272.0,1.0,8.0,2.0,123.0,3.0,0.0,16.0,1.0,255.0,23.0,0.0,8.0,8.0,2.0,1.0,11.0,41.0,62.0,17.0,103.0,61.0,0.0,1.0,300.0,5.0,4.0,189.0,84.0,2.0,14.0,2.0,1.0,0.0,11.0,0.0,33.0,56.0,4.0,125.0,12.0,2.0,1.0,0.0,13.0,45.0,7.0,2.0,29.0,139.0,16.0,1.0,12.0,77.0,8.0,1.0,33.0,20.0,40.0,27.0,49.0,1.0,1.0,10.0,0.0,16.0,8.0,21.0,0.0,184.0,119.0,8.0,2.0,9.0,0.0,5.0,1.0,0.0,66.0,0.0,8.0,19.0,0.0,9.0,0.0,37.0,64.0
Spain,55.0,12.0,4.0,1036.0,4.0,224.0,126.0,9.0,38.0,83.0,51.0,45.0,90.0,41.0,21.0,217.0,1.0,9712.0,1.0,9.0,91.0,70.0,133.0,169.0,1.0,478.0,28.0,111.0,10.0,0.0,41.0,6.0,182.0,15.0,0.0,12.0,7.0,291.0,81.0,7.0,51.0,77.0,17.0,4.0,68.0,359.0,513.0,22.0,649.0,168.0,0.0,0.0,531.0,1.0,7.0,3.0,67.0,81.0,90.0,9.0,42.0,3.0,29.0,5.0,51.0,123.0,102.0,202.0,232.0,0.0,0.0,1.0,11.0,30.0,5.0,3.0,69.0,73.0,108.0,10.0,124.0,77.0,6.0,1.0,191.0,21.0,38.0,454.0,448.0,1.0,182.0,18.0,0.0,45.0,32.0,958.0,2.0,367.0,91.0,36.0,17.0,78.0,6.0,29.0,36.0,1.0,307.0,11.0,52.0,50.0,4.0,188.0,0.0,41.0,215.0
Iceland,4.0,0.0,0.0,49.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,5.0,0.0,5.0,0.0,194.0,2.0,0.0,4.0,7.0,1.0,1.0,0.0,14.0,0.0,4.0,1.0,0.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,15.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,5.0,4.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,11.0
Italy,93.0,17.0,5.0,585.0,10.0,156.0,158.0,2.0,53.0,26.0,26.0,57.0,51.0,19.0,12.0,296.0,1.0,23433.0,0.0,2.0,82.0,323.0,81.0,33.0,1.0,251.0,54.0,76.0,31.0,0.0,39.0,38.0,399.0,1.0,0.0,25.0,2.0,278.0,103.0,5.0,14.0,73.0,5.0,1.0,53.0,286.0,740.0,9.0,754.0,868.0,15.0,0.0,694.0,2.0,7.0,0.0,392.0,19.0,81.0,6.0,186.0,2.0,12.0,1.0,95.0,112.0,10.0,445.0,392.0,11.0,0.0,0.0,32.0,88.0,9.0,37.0,275.0,69.0,150.0,11.0,17.0,426.0,13.0,1.0,69.0,267.0,172.0,338.0,301.0,3.0,123.0,23.0,0.0,34.0,13.0,176.0,3.0,143.0,104.0,19.0,60.0,75.0,16.0,155.0,5.0,3.0,63.0,0.0,82.0,89.0,0.0,178.0,1.0,21.0,119.0
Hong Kong,1.0,5.0,1.0,225.0,2.0,24.0,3.0,0.0,9.0,1.0,2.0,9.0,4.0,6.0,7.0,91.0,2.0,3750.0,2.0,0.0,113.0,11.0,20.0,8.0,2.0,127.0,1.0,98.0,11.0,0.0,23.0,7.0,35.0,0.0,0.0,3.0,0.0,122.0,32.0,1.0,9.0,3.0,11.0,0.0,12.0,93.0,41.0,15.0,61.0,13.0,4.0,0.0,232.0,1.0,0.0,4.0,3.0,7.0,3.0,3.0,0.0,0.0,18.0,0.0,30.0,14.0,7.0,51.0,9.0,0.0,0.0,3.0,10.0,67.0,1.0,4.0,28.0,75.0,12.0,0.0,9.0,21.0,9.0,1.0,13.0,3.0,130.0,27.0,41.0,2.0,2.0,1.0,2.0,9.0,1.0,6.0,1.0,150.0,9.0,6.0,3.0,7.0,0.0,0.0,3.0,2.0,25.0,1.0,22.0,439.0,1.0,7.0,0.0,8.0,28.0
France,2.0,63.0,1.0,1938.0,8.0,57.0,31.0,0.0,25.0,4.0,12.0,93.0,67.0,77.0,23.0,149.0,1.0,5722.0,1.0,9.0,116.0,57.0,153.0,143.0,8.0,173.0,5.0,199.0,4.0,0.0,54.0,4.0,302.0,5.0,0.0,2.0,2.0,252.0,63.0,1.0,100.0,17.0,4.0,0.0,37.0,152.0,108.0,9.0,86.0,16.0,1.0,0.0,1522.0,1.0,2.0,0.0,20.0,7.0,74.0,46.0,169.0,0.0,62.0,1.0,103.0,75.0,11.0,167.0,102.0,4.0,0.0,1.0,122.0,28.0,7.0,17.0,68.0,31.0,48.0,11.0,58.0,170.0,7.0,2.0,46.0,7.0,55.0,201.0,229.0,2.0,8.0,24.0,4.0,26.0,24.0,132.0,1.0,89.0,86.0,23.0,6.0,49.0,0.0,8.0,2.0,1.0,122.0,0.0,76.0,64.0,6.0,22.0,3.0,51.0,141.0
Morocco,2.0,17.0,0.0,61.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,6.0,107.0,1.0,2503.0,0.0,1.0,28.0,0.0,0.0,111.0,3.0,165.0,2.0,292.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,2.0,81.0,9.0,0.0,10.0,5.0,0.0,0.0,2.0,3.0,40.0,2.0,4.0,2.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,3.0,8.0,4.0,0.0,0.0,1.0,0.0,27.0,16.0,18.0,50.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,11.0,2.0,14.0,0.0,6.0,39.0,2.0,0.0,4.0,1.0,23.0,26.0,42.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,0.0,14.0,10.0,6.0,2.0,1.0,4.0,0.0,0.0,0.0,37.0,0.0,3.0,21.0,1.0,0.0,0.0,3.0,27.0
China,2.0,36.0,6.0,672.0,8.0,46.0,19.0,0.0,49.0,8.0,31.0,21.0,37.0,50.0,15.0,1014.0,3.0,29446.0,17.0,2.0,120.0,123.0,71.0,76.0,2.0,747.0,79.0,474.0,44.0,1.0,25.0,8.0,287.0,2.0,0.0,10.0,8.0,209.0,58.0,6.0,27.0,18.0,24.0,20.0,55.0,272.0,154.0,120.0,221.0,88.0,4.0,0.0,1334.0,30.0,4.0,14.0,10.0,5.0,33.0,7.0,35.0,7.0,16.0,1.0,407.0,117.0,79.0,705.0,60.0,10.0,12.0,9.0,34.0,2204.0,4.0,15.0,122.0,3598.0,98.0,6.0,27.0,195.0,36.0,1.0,60.0,40.0,939.0,117.0,117.0,4.0,3.0,31.0,0.0,33.0,4.0,160.0,1.0,653.0,60.0,93.0,19.0,22.0,3.0,6.0,1.0,2.0,171.0,2.0,72.0,214.0,6.0,9.0,3.0,14.0,197.0
Slovenia,1.0,0.0,0.0,104.0,4.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,437.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,13.0,1.0,6.0,0.0,0.0,4.0,1.0,19.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,6.0,7.0,1.0,11.0,4.0,0.0,0.0,56.0,0.0,0.0,0.0,47.0,0.0,6.0,3.0,1.0,0.0,13.0,0.0,5.0,2.0,1.0,21.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,5.0,0.0,1.0,2.0,2.0,8.0,1.0,40.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,0.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,0.0,4.0
Netherlands,8.0,6.0,1.0,739.0,1.0,7.0,2.0,0.0,9.0,2.0,9.0,5.0,13.0,2.0,2.0,38.0,1.0,944.0,1.0,13.0,17.0,19.0,9.0,7.0,0.0,54.0,0.0,27.0,1.0,0.0,16.0,7.0,38.0,4.0,0.0,0.0,1.0,21.0,1.0,1.0,13.0,20.0,3.0,1.0,4.0,30.0,30.0,0.0,20.0,6.0,1.0,0.0,109.0,0.0,0.0,0.0,41.0,0.0,14.0,9.0,0.0,1.0,8.0,1.0,8.0,15.0,1.0,35.0,41.0,0.0,0.0,0.0,17.0,3.0,2.0,2.0,23.0,13.0,54.0,3.0,3.0,67.0,3.0,5.0,26.0,8.0,17.0,48.0,49.0,0.0,12.0,1.0,0.0,5.0,3.0,7.0,0.0,32.0,11.0,79.0,5.0,16.0,1.0,0.0,1.0,1.0,37.0,0.0,9.0,11.0,1.0,2.0,0.0,3.0,16.0
