,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,93.0,19.0,3.0,1148.0,48.0,153.0,128.0,0.0,42.0,61.0,128.0,31.0,100.0,132.0,1.0,257.0,6.0,11553.0,3.0,3.0,139.0,103.0,134.0,130.0,17.0,643.0,43.0,80.0,18.0,0.0,77.0,15.0,202.0,4.0,0.0,8.0,65.0,278.0,75.0,2.0,44.0,69.0,21.0,0.0,358.0,331.0,529.0,71.0,510.0,97.0,1.0,0.0,800.0,0.0,1.0,2.0,55.0,22.0,95.0,18.0,23.0,6.0,162.0,7.0,116.0,164.0,53.0,402.0,161.0,0.0,2.0,0.0,5.0,51.0,51.0,5.0,27.0,88.0,82.0,22.0,134.0,33.0,9.0,2.0,82.0,18.0,72.0,389.0,279.0,2.0,161.0,8.0,0.0,49.0,8.0,404.0,6.0,234.0,137.0,30.0,12.0,46.0,1.0,19.0,9.0,0.0,309.0,10.0,43.0,154.0,2.0,86.0,0.0,61.0,225.0
Norway,2.0,0.0,0.0,72.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,21.0,1.0,0.0,4.0,0.0,549.0,2.0,0.0,4.0,4.0,8.0,4.0,0.0,24.0,11.0,17.0,2.0,0.0,12.0,2.0,16.0,0.0,0.0,0.0,0.0,11.0,9.0,1.0,4.0,2.0,1.0,0.0,32.0,29.0,39.0,0.0,18.0,1.0,0.0,0.0,88.0,0.0,0.0,0.0,6.0,0.0,8.0,3.0,2.0,0.0,5.0,1.0,5.0,12.0,0.0,24.0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,10.0,3.0,4.0,0.0,7.0,29.0,3.0,0.0,2.0,0.0,7.0,10.0,65.0,1.0,0.0,1.0,0.0,8.0,2.0,11.0,0.0,18.0,17.0,0.0,10.0,15.0,0.0,1.0,1.0,0.0,10.0,1.0,8.0,12.0,0.0,0.0,0.0,1.0,31.0
Nigeria,1.0,2.0,1.0,45.0,1.0,1.0,5.0,25.0,4.0,0.0,23.0,16.0,5.0,149.0,2.0,31.0,0.0,1091.0,1.0,0.0,31.0,10.0,7.0,6.0,24.0,241.0,4.0,45.0,1.0,0.0,3.0,1.0,19.0,6.0,0.0,30.0,5.0,22.0,13.0,1.0,5.0,6.0,10.0,0.0,12.0,70.0,34.0,1.0,18.0,2.0,12.0,0.0,53.0,0.0,0.0,390.0,1.0,1.0,101.0,1.0,0.0,1.0,8.0,0.0,11.0,315.0,144.0,248.0,17.0,0.0,0.0,0.0,3.0,4.0,37.0,1.0,11.0,6.0,100.0,1.0,7.0,21.0,11.0,0.0,5.0,0.0,60.0,41.0,26.0,0.0,4.0,37.0,0.0,5.0,14.0,122.0,0.0,14.0,6.0,0.0,8.0,3.0,7.0,1.0,1.0,0.0,60.0,0.0,82.0,16.0,0.0,1.0,1.0,42.0,43.0
Portugal,12.0,2.0,0.0,221.0,2.0,12.0,8.0,0.0,4.0,0.0,31.0,18.0,4.0,2.0,0.0,89.0,1.0,3037.0,0.0,0.0,13.0,13.0,93.0,2.0,0.0,102.0,0.0,17.0,0.0,0.0,12.0,0.0,49.0,1.0,0.0,3.0,0.0,41.0,8.0,2.0,13.0,3.0,0.0,0.0,23.0,49.0,63.0,2.0,34.0,7.0,1.0,0.0,156.0,1.0,0.0,2.0,59.0,3.0,18.0,2.0,0.0,0.0,2.0,1.0,14.0,55.0,0.0,267.0,8.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,19.0,18.0,26.0,1.0,39.0,8.0,6.0,0.0,16.0,11.0,27.0,80.0,24.0,0.0,6.0,3.0,0.0,5.0,5.0,87.0,0.0,223.0,18.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,38.0,0.0,17.0,25.0,0.0,7.0,0.0,24.0,60.0
"Venezuela, Bolivarian Republic of",2.0,0.0,0.0,4.0,0.0,3.0,4.0,0.0,0.0,7.0,22.0,2.0,2.0,9.0,0.0,11.0,0.0,1035.0,0.0,0.0,11.0,6.0,17.0,14.0,0.0,18.0,0.0,5.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0,19.0,14.0,0.0,9.0,2.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,2.0,59.0,0.0,145.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,65.0,0.0,10.0,0.0,1.0,0.0,20.0,33.0,2.0,34.0,2.0,0.0,9.0,1.0,0.0,0.0,1.0,21.0,0.0,43.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,41.0,0.0,5.0,2.0,0.0,0.0,0.0,33.0,19.0
United States,14.0,271.0,44.0,4815.0,90.0,238.0,105.0,13.0,165.0,129.0,283.0,238.0,297.0,154.0,174.0,1474.0,16.0,46556.0,36.0,35.0,2357.0,952.0,320.0,133.0,49.0,2173.0,36.0,1300.0,113.0,1.0,829.0,104.0,766.0,8.0,1.0,65.0,42.0,1122.0,435.0,62.0,186.0,161.0,104.0,20.0,1044.0,1414.0,1535.0,60.0,1539.0,839.0,58.0,1.0,4954.0,43.0,26.0,10.0,181.0,60.0,242.0,118.0,22.0,4.0,680.0,8.0,860.0,687.0,180.0,1877.0,255.0,40.0,1.0,12.0,408.0,216.0,80.0,77.0,496.0,1094.0,414.0,30.0,481.0,957.0,125.0,44.0,410.0,154.0,920.0,1301.0,995.0,44.0,33.0,107.0,2.0,139.0,52.0,503.0,32.0,1178.0,540.0,192.0,180.0,273.0,22.0,29.0,63.0,18.0,621.0,32.0,460.0,696.0,6.0,220.0,1.0,437.0,1283.0
"Iran, Islamic Republic of",2.0,2.0,0.0,6.0,1.0,5.0,16.0,0.0,1.0,0.0,0.0,0.0,9.0,178.0,0.0,21.0,4.0,439.0,2.0,0.0,14.0,21.0,17.0,66.0,1.0,27.0,13.0,30.0,2.0,0.0,0.0,4.0,27.0,1.0,0.0,2.0,1.0,207.0,142.0,2.0,23.0,2.0,2.0,0.0,4.0,24.0,20.0,1.0,40.0,1.0,0.0,0.0,56.0,1.0,1.0,0.0,0.0,9.0,3.0,2.0,0.0,0.0,2.0,0.0,39.0,13.0,5.0,148.0,1.0,2.0,1.0,1.0,0.0,5.0,1.0,2.0,1.0,9.0,64.0,0.0,4.0,5.0,1.0,4.0,4.0,53.0,64.0,6.0,27.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,1.0,10.0,1.0,0.0,1.0,18.0,0.0,36.0,0.0,0.0,47.0,0.0,4.0,10.0,3.0,0.0,1.0,15.0,6.0
Japan,18.0,37.0,3.0,144.0,0.0,10.0,3.0,0.0,25.0,1.0,61.0,14.0,4.0,10.0,6.0,44.0,0.0,2337.0,4.0,3.0,54.0,76.0,33.0,12.0,0.0,96.0,4.0,64.0,175.0,0.0,17.0,2.0,85.0,1.0,0.0,11.0,11.0,210.0,12.0,1.0,14.0,18.0,5.0,0.0,22.0,96.0,87.0,13.0,76.0,51.0,0.0,0.0,296.0,38.0,1.0,59.0,5.0,1.0,24.0,1.0,0.0,0.0,3.0,0.0,35.0,25.0,13.0,109.0,8.0,1.0,0.0,1.0,10.0,34.0,8.0,4.0,22.0,167.0,22.0,3.0,3.0,31.0,1.0,3.0,29.0,14.0,69.0,18.0,19.0,2.0,3.0,6.0,0.0,7.0,0.0,19.0,3.0,118.0,34.0,5.0,2.0,27.0,0.0,0.0,3.0,0.0,45.0,0.0,3.0,41.0,0.0,3.0,0.0,22.0,53.0
India,1.0,44.0,6.0,261.0,2.0,18.0,13.0,2.0,5.0,4.0,25.0,137.0,8.0,89.0,22.0,337.0,3.0,9869.0,4.0,5.0,338.0,42.0,328.0,23.0,6.0,141.0,10.0,133.0,5.0,0.0,17.0,2.0,75.0,0.0,1.0,89.0,6.0,391.0,35.0,7.0,29.0,22.0,11.0,1.0,64.0,184.0,150.0,12.0,88.0,39.0,11.0,0.0,633.0,44.0,0.0,7.0,6.0,43.0,290.0,24.0,0.0,0.0,18.0,0.0,116.0,311.0,6.0,788.0,21.0,3.0,10.0,16.0,52.0,26.0,6.0,3.0,26.0,64.0,254.0,2.0,94.0,53.0,8.0,1.0,110.0,33.0,144.0,104.0,46.0,0.0,2.0,24.0,0.0,67.0,5.0,35.0,0.0,139.0,15.0,0.0,17.0,12.0,7.0,7.0,9.0,2.0,288.0,0.0,249.0,84.0,46.0,31.0,3.0,50.0,168.0
France,2.0,9.0,4.0,2461.0,24.0,35.0,41.0,5.0,36.0,5.0,14.0,82.0,15.0,44.0,2.0,134.0,0.0,6521.0,2.0,25.0,96.0,61.0,102.0,144.0,3.0,192.0,18.0,162.0,7.0,1.0,61.0,0.0,848.0,2.0,0.0,7.0,2.0,198.0,160.0,3.0,17.0,34.0,3.0,1.0,47.0,80.0,111.0,12.0,53.0,10.0,0.0,0.0,1720.0,5.0,6.0,0.0,31.0,2.0,60.0,13.0,175.0,0.0,147.0,3.0,57.0,82.0,6.0,262.0,38.0,6.0,0.0,1.0,10.0,32.0,7.0,19.0,20.0,32.0,37.0,10.0,36.0,61.0,30.0,3.0,23.0,7.0,87.0,49.0,400.0,1.0,3.0,13.0,2.0,103.0,21.0,117.0,0.0,104.0,31.0,38.0,11.0,43.0,6.0,4.0,0.0,3.0,128.0,3.0,59.0,43.0,1.0,4.0,1.0,47.0,182.0
