,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,97.0,31.0,3.0,809.0,59.0,211.0,99.0,5.0,32.0,57.0,102.0,36.0,116.0,89.0,8.0,202.0,37.0,9207.0,2.0,0.0,113.0,66.0,97.0,72.0,16.0,639.0,31.0,55.0,11.0,1.0,38.0,8.0,140.0,7.0,0.0,11.0,16.0,192.0,67.0,18.0,79.0,24.0,26.0,0.0,170.0,292.0,473.0,43.0,382.0,90.0,1.0,0.0,461.0,0.0,7.0,3.0,113.0,55.0,67.0,10.0,31.0,3.0,145.0,17.0,56.0,128.0,23.0,217.0,126.0,5.0,1.0,0.0,19.0,54.0,14.0,1.0,49.0,91.0,76.0,7.0,151.0,38.0,16.0,0.0,49.0,19.0,33.0,418.0,254.0,1.0,129.0,7.0,0.0,47.0,23.0,889.0,4.0,296.0,167.0,46.0,15.0,78.0,1.0,27.0,42.0,1.0,221.0,2.0,52.0,94.0,2.0,235.0,0.0,61.0,261.0
Italy,48.0,8.0,3.0,368.0,32.0,93.0,202.0,0.0,30.0,8.0,21.0,98.0,36.0,17.0,11.0,302.0,2.0,24569.0,2.0,1.0,80.0,217.0,178.0,29.0,0.0,222.0,3.0,61.0,23.0,0.0,47.0,71.0,531.0,1.0,0.0,38.0,2.0,433.0,143.0,2.0,16.0,40.0,5.0,1.0,59.0,256.0,803.0,20.0,748.0,855.0,2.0,0.0,499.0,2.0,8.0,0.0,416.0,19.0,69.0,6.0,189.0,1.0,42.0,3.0,42.0,115.0,14.0,642.0,238.0,9.0,2.0,0.0,29.0,95.0,2.0,32.0,233.0,111.0,141.0,11.0,21.0,220.0,126.0,0.0,116.0,228.0,229.0,260.0,152.0,5.0,40.0,12.0,0.0,86.0,2.0,419.0,3.0,143.0,75.0,32.0,120.0,48.0,1.0,36.0,1.0,3.0,126.0,0.0,86.0,89.0,2.0,582.0,1.0,36.0,170.0
Portugal,10.0,2.0,1.0,160.0,0.0,22.0,13.0,0.0,24.0,1.0,18.0,5.0,6.0,4.0,0.0,53.0,0.0,2128.0,0.0,0.0,22.0,27.0,22.0,1.0,0.0,83.0,0.0,16.0,0.0,0.0,3.0,0.0,41.0,1.0,0.0,2.0,0.0,22.0,5.0,1.0,9.0,5.0,0.0,0.0,2.0,25.0,58.0,1.0,23.0,9.0,1.0,0.0,97.0,1.0,0.0,1.0,25.0,4.0,12.0,0.0,0.0,0.0,0.0,1.0,8.0,39.0,0.0,125.0,10.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,5.0,5.0,22.0,0.0,20.0,5.0,0.0,0.0,10.0,6.0,15.0,58.0,16.0,1.0,6.0,0.0,0.0,6.0,9.0,86.0,0.0,66.0,11.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,26.0,0.0,21.0,9.0,0.0,1.0,0.0,17.0,30.0
Argentina,3.0,11.0,0.0,37.0,4.0,39.0,86.0,0.0,8.0,41.0,24.0,23.0,9.0,15.0,3.0,29.0,0.0,2092.0,0.0,2.0,30.0,33.0,85.0,10.0,0.0,92.0,14.0,13.0,11.0,0.0,16.0,2.0,43.0,2.0,0.0,15.0,0.0,21.0,6.0,3.0,5.0,21.0,347.0,0.0,52.0,94.0,48.0,3.0,34.0,5.0,1.0,0.0,92.0,0.0,0.0,0.0,188.0,35.0,864.0,29.0,0.0,0.0,3.0,1.0,7.0,26.0,1.0,160.0,17.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,43.0,141.0,160.0,0.0,78.0,49.0,10.0,0.0,87.0,246.0,20.0,110.0,12.0,13.0,10.0,3.0,0.0,10.0,2.0,105.0,0.0,193.0,27.0,4.0,9.0,18.0,0.0,50.0,10.0,0.0,68.0,0.0,30.0,32.0,0.0,12.0,0.0,47.0,106.0
Papua New Guinea,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,2.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
United States,8.0,202.0,18.0,1896.0,58.0,150.0,32.0,9.0,155.0,75.0,252.0,129.0,262.0,106.0,133.0,1059.0,11.0,35287.0,13.0,20.0,1397.0,569.0,166.0,87.0,17.0,1560.0,17.0,953.0,78.0,1.0,249.0,99.0,528.0,6.0,1.0,41.0,38.0,873.0,329.0,31.0,140.0,117.0,88.0,9.0,685.0,838.0,957.0,26.0,1024.0,654.0,59.0,0.0,3275.0,28.0,13.0,11.0,194.0,31.0,170.0,57.0,57.0,1.0,475.0,6.0,492.0,423.0,121.0,1244.0,177.0,19.0,0.0,19.0,202.0,184.0,32.0,54.0,327.0,683.0,615.0,18.0,302.0,854.0,70.0,26.0,292.0,112.0,530.0,1143.0,717.0,55.0,23.0,50.0,1.0,107.0,37.0,488.0,12.0,844.0,493.0,158.0,146.0,152.0,11.0,34.0,60.0,8.0,526.0,15.0,380.0,436.0,3.0,327.0,2.0,278.0,740.0
Croatia,2.0,64.0,0.0,28.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,338.0,0.0,1.0,7.0,1.0,2.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,6.0,11.0,0.0,6.0,2.0,0.0,0.0,20.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,1.0,4.0,0.0,5.0,4.0,0.0,0.0,1.0,3.0,4.0,3.0,108.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,9.0,0.0,0.0,2.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0
Netherlands,10.0,3.0,2.0,835.0,1.0,22.0,4.0,1.0,10.0,2.0,8.0,6.0,8.0,3.0,1.0,23.0,0.0,1000.0,2.0,3.0,22.0,22.0,7.0,8.0,0.0,44.0,3.0,28.0,3.0,0.0,6.0,2.0,34.0,3.0,0.0,0.0,1.0,17.0,8.0,1.0,10.0,3.0,0.0,0.0,9.0,33.0,26.0,5.0,24.0,14.0,0.0,0.0,97.0,0.0,2.0,0.0,20.0,0.0,7.0,2.0,0.0,0.0,13.0,0.0,18.0,10.0,2.0,24.0,13.0,3.0,0.0,0.0,17.0,8.0,2.0,2.0,16.0,13.0,14.0,7.0,11.0,29.0,0.0,3.0,25.0,7.0,14.0,42.0,39.0,0.0,20.0,0.0,0.0,4.0,9.0,28.0,0.0,24.0,8.0,1.0,2.0,1.0,0.0,2.0,2.0,4.0,28.0,0.0,10.0,11.0,0.0,2.0,0.0,5.0,17.0
Japan,34.0,5.0,6.0,142.0,1.0,19.0,0.0,0.0,31.0,2.0,9.0,5.0,6.0,12.0,4.0,49.0,0.0,3063.0,4.0,1.0,46.0,79.0,24.0,5.0,0.0,62.0,4.0,77.0,261.0,1.0,19.0,3.0,102.0,1.0,0.0,18.0,3.0,278.0,14.0,0.0,11.0,16.0,3.0,1.0,11.0,59.0,68.0,29.0,96.0,66.0,3.0,1.0,225.0,12.0,5.0,85.0,3.0,0.0,25.0,1.0,2.0,0.0,6.0,0.0,18.0,26.0,11.0,81.0,9.0,2.0,1.0,1.0,7.0,45.0,4.0,3.0,22.0,181.0,8.0,0.0,20.0,39.0,2.0,1.0,30.0,12.0,44.0,32.0,24.0,0.0,3.0,8.0,0.0,15.0,0.0,13.0,0.0,115.0,97.0,5.0,1.0,6.0,0.0,1.0,3.0,0.0,36.0,0.0,10.0,38.0,0.0,6.0,0.0,15.0,34.0
Brazil,1.0,2.0,10.0,79.0,7.0,80.0,45.0,0.0,5.0,37.0,99.0,266.0,10.0,11.0,4.0,84.0,0.0,5385.0,1.0,18.0,21.0,55.0,391.0,23.0,1.0,48.0,4.0,44.0,3.0,0.0,10.0,42.0,83.0,9.0,0.0,14.0,0.0,162.0,21.0,8.0,9.0,115.0,4.0,1.0,46.0,302.0,101.0,14.0,121.0,112.0,11.0,1.0,301.0,3.0,1.0,4.0,1.0,87.0,151.0,36.0,0.0,0.0,14.0,1.0,20.0,99.0,1.0,987.0,232.0,0.0,2.0,1.0,8.0,31.0,10.0,2.0,50.0,35.0,647.0,1.0,220.0,19.0,36.0,1.0,429.0,324.0,40.0,117.0,36.0,1.0,3.0,48.0,0.0,23.0,9.0,344.0,0.0,483.0,135.0,33.0,65.0,61.0,2.0,3.0,6.0,3.0,98.0,0.0,32.0,151.0,3.0,10.0,0.0,245.0,573.0
