,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Argentina,3.0,10.0,0.0,36.0,3.0,44.0,82.0,0.0,8.0,40.0,16.0,22.0,9.0,19.0,3.0,17.0,0.0,1683.0,0.0,2.0,31.0,45.0,95.0,10.0,0.0,79.0,14.0,11.0,10.0,0.0,6.0,3.0,45.0,2.0,0.0,15.0,0.0,30.0,7.0,3.0,4.0,21.0,344.0,0.0,45.0,94.0,49.0,3.0,33.0,3.0,1.0,0.0,89.0,0.0,0.0,0.0,188.0,32.0,831.0,31.0,0.0,0.0,1.0,0.0,6.0,25.0,1.0,155.0,17.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,43.0,145.0,179.0,0.0,48.0,52.0,7.0,0.0,88.0,270.0,19.0,132.0,13.0,13.0,9.0,3.0,0.0,10.0,2.0,118.0,0.0,193.0,31.0,4.0,11.0,18.0,0.0,47.0,10.0,0.0,76.0,0.0,31.0,31.0,0.0,12.0,0.0,49.0,115.0
Spain,88.0,34.0,2.0,782.0,57.0,209.0,89.0,6.0,28.0,59.0,31.0,40.0,115.0,83.0,8.0,185.0,37.0,8834.0,2.0,0.0,104.0,53.0,86.0,74.0,15.0,501.0,31.0,74.0,12.0,1.0,22.0,6.0,137.0,7.0,0.0,10.0,2.0,192.0,75.0,18.0,78.0,24.0,20.0,0.0,159.0,288.0,485.0,31.0,382.0,96.0,0.0,0.0,439.0,0.0,7.0,3.0,115.0,53.0,60.0,9.0,34.0,2.0,116.0,17.0,47.0,126.0,7.0,193.0,114.0,5.0,1.0,0.0,20.0,57.0,6.0,1.0,57.0,84.0,81.0,8.0,146.0,36.0,13.0,0.0,76.0,18.0,26.0,425.0,298.0,0.0,117.0,6.0,0.0,47.0,23.0,892.0,4.0,303.0,157.0,44.0,14.0,83.0,0.0,27.0,42.0,2.0,193.0,2.0,50.0,79.0,2.0,237.0,0.0,50.0,242.0
Italy,46.0,10.0,3.0,385.0,29.0,98.0,183.0,0.0,24.0,9.0,19.0,86.0,40.0,13.0,11.0,293.0,2.0,23670.0,2.0,1.0,74.0,224.0,172.0,29.0,0.0,220.0,9.0,55.0,22.0,0.0,45.0,76.0,537.0,1.0,0.0,33.0,0.0,442.0,138.0,2.0,17.0,44.0,4.0,0.0,57.0,268.0,855.0,20.0,811.0,946.0,1.0,0.0,562.0,3.0,8.0,0.0,435.0,17.0,67.0,7.0,191.0,1.0,39.0,3.0,36.0,119.0,17.0,584.0,252.0,10.0,2.0,0.0,31.0,96.0,2.0,34.0,267.0,88.0,138.0,13.0,17.0,234.0,112.0,0.0,116.0,223.0,227.0,278.0,197.0,4.0,46.0,13.0,0.0,86.0,5.0,363.0,3.0,144.0,82.0,33.0,118.0,55.0,3.0,46.0,1.0,3.0,84.0,0.0,90.0,108.0,2.0,577.0,1.0,34.0,157.0
Japan,33.0,5.0,5.0,164.0,1.0,15.0,1.0,0.0,30.0,2.0,10.0,7.0,5.0,12.0,4.0,54.0,0.0,3146.0,2.0,1.0,50.0,62.0,26.0,5.0,0.0,58.0,2.0,80.0,260.0,1.0,12.0,1.0,114.0,1.0,0.0,24.0,3.0,276.0,16.0,0.0,8.0,18.0,3.0,1.0,7.0,50.0,55.0,31.0,85.0,54.0,3.0,1.0,206.0,12.0,5.0,89.0,3.0,0.0,24.0,1.0,2.0,0.0,6.0,0.0,15.0,28.0,10.0,86.0,10.0,2.0,1.0,1.0,9.0,42.0,7.0,3.0,23.0,168.0,8.0,0.0,21.0,38.0,2.0,1.0,31.0,12.0,33.0,30.0,22.0,0.0,3.0,7.0,0.0,15.0,0.0,12.0,0.0,106.0,107.0,5.0,2.0,7.0,0.0,1.0,2.0,0.0,32.0,0.0,11.0,31.0,0.0,6.0,0.0,18.0,33.0
Portugal,4.0,2.0,1.0,161.0,0.0,24.0,13.0,0.0,21.0,1.0,6.0,4.0,6.0,3.0,0.0,43.0,0.0,2067.0,0.0,0.0,20.0,30.0,7.0,1.0,0.0,33.0,0.0,7.0,1.0,0.0,2.0,1.0,26.0,0.0,0.0,1.0,0.0,24.0,4.0,1.0,5.0,4.0,0.0,0.0,2.0,27.0,65.0,1.0,13.0,5.0,1.0,0.0,80.0,1.0,0.0,0.0,27.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,0.0,77.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,5.0,12.0,0.0,18.0,3.0,2.0,0.0,4.0,2.0,15.0,27.0,12.0,2.0,6.0,0.0,0.0,2.0,10.0,75.0,0.0,50.0,6.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,30.0,0.0,19.0,6.0,0.0,1.0,0.0,18.0,26.0
Brazil,1.0,2.0,13.0,79.0,4.0,68.0,35.0,0.0,4.0,39.0,72.0,239.0,10.0,8.0,3.0,102.0,0.0,5442.0,1.0,18.0,23.0,51.0,279.0,12.0,1.0,48.0,3.0,48.0,2.0,0.0,10.0,41.0,72.0,3.0,0.0,14.0,0.0,150.0,22.0,9.0,5.0,130.0,4.0,1.0,35.0,304.0,102.0,11.0,117.0,111.0,11.0,1.0,252.0,1.0,1.0,4.0,1.0,79.0,130.0,34.0,0.0,0.0,12.0,1.0,21.0,76.0,2.0,777.0,232.0,0.0,2.0,1.0,5.0,30.0,6.0,3.0,48.0,37.0,674.0,0.0,210.0,10.0,37.0,1.0,434.0,335.0,36.0,126.0,34.0,1.0,3.0,41.0,0.0,23.0,9.0,355.0,1.0,474.0,141.0,37.0,64.0,56.0,2.0,2.0,5.0,4.0,99.0,0.0,24.0,139.0,3.0,10.0,0.0,235.0,554.0
Azerbaijan,1.0,7.0,0.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,12.0,0.0,485.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,39.0,0.0,31.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,9.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,2.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,16.0
Romania,2.0,16.0,1.0,40.0,6.0,173.0,5.0,0.0,3.0,0.0,14.0,1.0,3.0,8.0,0.0,28.0,0.0,1167.0,1.0,5.0,11.0,25.0,1.0,6.0,0.0,22.0,4.0,15.0,3.0,0.0,2.0,0.0,47.0,3.0,0.0,2.0,0.0,2.0,3.0,5.0,1.0,12.0,0.0,0.0,2.0,23.0,23.0,1.0,14.0,15.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,1.0,10.0,17.0,11.0,0.0,24.0,0.0,5.0,5.0,1.0,23.0,19.0,0.0,0.0,0.0,0.0,247.0,0.0,2.0,19.0,26.0,22.0,1.0,24.0,8.0,3.0,0.0,12.0,9.0,77.0,58.0,90.0,0.0,3.0,1.0,0.0,6.0,0.0,156.0,0.0,10.0,8.0,0.0,3.0,13.0,0.0,40.0,0.0,1.0,91.0,0.0,19.0,36.0,0.0,37.0,0.0,4.0,8.0
United States,9.0,191.0,14.0,1764.0,45.0,143.0,25.0,5.0,176.0,73.0,219.0,124.0,248.0,109.0,164.0,992.0,7.0,33284.0,8.0,19.0,1313.0,503.0,172.0,90.0,15.0,1407.0,17.0,913.0,56.0,1.0,197.0,84.0,500.0,6.0,0.0,32.0,34.0,857.0,310.0,27.0,125.0,111.0,86.0,20.0,339.0,748.0,837.0,24.0,987.0,582.0,56.0,0.0,3142.0,17.0,10.0,12.0,114.0,21.0,165.0,41.0,57.0,1.0,425.0,6.0,426.0,387.0,109.0,1190.0,205.0,20.0,0.0,18.0,180.0,162.0,21.0,58.0,323.0,551.0,605.0,16.0,262.0,863.0,54.0,21.0,273.0,120.0,437.0,1100.0,558.0,52.0,20.0,41.0,1.0,89.0,32.0,475.0,10.0,769.0,479.0,209.0,140.0,170.0,10.0,30.0,58.0,8.0,448.0,8.0,329.0,388.0,0.0,311.0,2.0,248.0,684.0
Thailand,3.0,13.0,3.0,34.0,5.0,31.0,8.0,0.0,4.0,0.0,16.0,25.0,4.0,11.0,3.0,36.0,3.0,1151.0,4.0,0.0,15.0,15.0,33.0,11.0,0.0,72.0,8.0,130.0,9.0,4.0,2.0,0.0,38.0,1.0,0.0,18.0,1.0,126.0,3.0,3.0,15.0,0.0,3.0,1.0,13.0,22.0,32.0,23.0,17.0,6.0,4.0,0.0,188.0,1.0,1.0,0.0,5.0,3.0,22.0,13.0,1.0,0.0,20.0,0.0,15.0,31.0,2.0,56.0,17.0,11.0,0.0,6.0,6.0,5.0,0.0,14.0,11.0,29.0,19.0,0.0,48.0,16.0,3.0,0.0,30.0,9.0,8.0,40.0,17.0,0.0,3.0,10.0,0.0,23.0,4.0,6.0,3.0,29.0,29.0,0.0,8.0,9.0,0.0,8.0,2.0,3.0,86.0,11.0,28.0,17.0,0.0,11.0,4.0,17.0,45.0
