,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Italy,93.0,17.0,5.0,589.0,10.0,156.0,154.0,2.0,53.0,26.0,28.0,56.0,51.0,16.0,11.0,300.0,1.0,23515.0,0.0,2.0,83.0,325.0,80.0,33.0,1.0,251.0,54.0,76.0,31.0,0.0,39.0,42.0,392.0,1.0,0.0,24.0,2.0,277.0,103.0,5.0,14.0,74.0,5.0,1.0,53.0,297.0,737.0,9.0,763.0,870.0,15.0,0.0,724.0,2.0,7.0,0.0,378.0,19.0,82.0,6.0,186.0,2.0,11.0,1.0,96.0,112.0,10.0,449.0,410.0,11.0,0.0,0.0,32.0,89.0,9.0,37.0,284.0,70.0,148.0,11.0,17.0,438.0,13.0,1.0,77.0,269.0,171.0,337.0,301.0,3.0,123.0,24.0,0.0,34.0,14.0,176.0,3.0,145.0,104.0,16.0,60.0,82.0,16.0,156.0,5.0,3.0,62.0,0.0,82.0,92.0,0.0,172.0,1.0,21.0,122.0
Spain,54.0,12.0,4.0,1044.0,4.0,223.0,123.0,9.0,39.0,84.0,51.0,47.0,91.0,41.0,21.0,215.0,1.0,9741.0,1.0,9.0,92.0,71.0,134.0,163.0,1.0,476.0,28.0,113.0,11.0,0.0,47.0,6.0,188.0,15.0,0.0,12.0,7.0,293.0,81.0,7.0,48.0,77.0,17.0,4.0,66.0,361.0,516.0,23.0,648.0,168.0,0.0,0.0,538.0,1.0,7.0,3.0,65.0,81.0,90.0,9.0,42.0,3.0,29.0,5.0,51.0,125.0,103.0,203.0,233.0,0.0,0.0,1.0,11.0,29.0,5.0,3.0,69.0,73.0,106.0,10.0,124.0,79.0,6.0,1.0,193.0,21.0,38.0,459.0,444.0,1.0,182.0,18.0,0.0,46.0,32.0,947.0,2.0,360.0,91.0,36.0,17.0,78.0,6.0,29.0,37.0,1.0,310.0,11.0,52.0,51.0,4.0,186.0,0.0,42.0,219.0
Hong Kong,1.0,5.0,1.0,225.0,2.0,24.0,3.0,0.0,9.0,1.0,2.0,9.0,4.0,6.0,7.0,89.0,2.0,3719.0,2.0,0.0,113.0,11.0,20.0,8.0,2.0,127.0,1.0,98.0,11.0,0.0,23.0,7.0,35.0,0.0,0.0,3.0,0.0,121.0,32.0,1.0,8.0,3.0,11.0,0.0,12.0,89.0,41.0,15.0,57.0,13.0,4.0,0.0,229.0,1.0,0.0,4.0,3.0,6.0,3.0,3.0,0.0,0.0,17.0,0.0,30.0,14.0,7.0,52.0,9.0,0.0,0.0,3.0,10.0,65.0,1.0,4.0,29.0,73.0,11.0,0.0,9.0,25.0,9.0,1.0,13.0,3.0,138.0,24.0,41.0,2.0,2.0,1.0,2.0,9.0,1.0,6.0,1.0,152.0,9.0,6.0,3.0,7.0,0.0,0.0,3.0,2.0,25.0,1.0,22.0,439.0,1.0,7.0,0.0,8.0,29.0
Japan,7.0,17.0,3.0,657.0,3.0,14.0,4.0,1.0,34.0,7.0,27.0,9.0,5.0,13.0,12.0,96.0,0.0,4449.0,1.0,1.0,73.0,52.0,57.0,10.0,0.0,70.0,5.0,124.0,298.0,1.0,8.0,2.0,121.0,3.0,0.0,16.0,1.0,268.0,23.0,0.0,8.0,8.0,2.0,1.0,11.0,42.0,62.0,17.0,106.0,62.0,0.0,1.0,302.0,5.0,4.0,180.0,85.0,2.0,14.0,2.0,1.0,0.0,11.0,0.0,33.0,57.0,4.0,124.0,12.0,2.0,1.0,0.0,15.0,46.0,7.0,2.0,29.0,135.0,16.0,1.0,12.0,78.0,8.0,1.0,33.0,20.0,42.0,26.0,49.0,1.0,1.0,10.0,0.0,16.0,8.0,22.0,0.0,185.0,119.0,8.0,2.0,9.0,0.0,5.0,1.0,0.0,68.0,0.0,7.0,19.0,0.0,9.0,0.0,36.0,65.0
France,2.0,63.0,1.0,1937.0,8.0,58.0,31.0,0.0,25.0,4.0,12.0,93.0,67.0,76.0,23.0,151.0,1.0,5730.0,1.0,9.0,115.0,56.0,153.0,148.0,8.0,173.0,4.0,201.0,4.0,0.0,54.0,4.0,300.0,5.0,0.0,2.0,2.0,250.0,64.0,1.0,100.0,17.0,4.0,1.0,37.0,148.0,106.0,8.0,89.0,16.0,1.0,0.0,1531.0,1.0,2.0,0.0,20.0,7.0,73.0,49.0,169.0,0.0,62.0,1.0,104.0,76.0,10.0,168.0,102.0,4.0,0.0,1.0,122.0,30.0,7.0,17.0,68.0,31.0,48.0,11.0,58.0,165.0,7.0,2.0,45.0,7.0,54.0,202.0,228.0,2.0,8.0,23.0,4.0,27.0,25.0,131.0,1.0,90.0,86.0,24.0,6.0,51.0,0.0,8.0,2.0,1.0,122.0,0.0,78.0,61.0,6.0,22.0,3.0,50.0,140.0
Morocco,2.0,17.0,0.0,61.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,5.0,104.0,0.0,2489.0,0.0,1.0,20.0,0.0,0.0,115.0,3.0,160.0,2.0,287.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,2.0,80.0,9.0,0.0,10.0,5.0,0.0,0.0,2.0,5.0,39.0,2.0,3.0,2.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,3.0,8.0,4.0,0.0,0.0,1.0,0.0,27.0,16.0,18.0,49.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,11.0,2.0,13.0,0.0,5.0,40.0,2.0,0.0,4.0,1.0,24.0,24.0,42.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,0.0,14.0,10.0,6.0,2.0,1.0,4.0,0.0,0.0,0.0,37.0,0.0,3.0,21.0,1.0,0.0,0.0,3.0,27.0
China,2.0,36.0,7.0,692.0,9.0,45.0,19.0,0.0,51.0,8.0,30.0,21.0,38.0,50.0,15.0,1043.0,3.0,29636.0,18.0,2.0,120.0,122.0,73.0,78.0,2.0,754.0,72.0,478.0,44.0,1.0,25.0,8.0,290.0,2.0,0.0,10.0,8.0,201.0,58.0,6.0,27.0,18.0,24.0,20.0,56.0,280.0,153.0,113.0,220.0,89.0,4.0,0.0,1391.0,30.0,4.0,13.0,10.0,5.0,33.0,7.0,35.0,7.0,16.0,1.0,421.0,123.0,79.0,698.0,60.0,10.0,12.0,9.0,35.0,2214.0,4.0,15.0,122.0,3568.0,97.0,6.0,27.0,197.0,36.0,1.0,60.0,37.0,955.0,118.0,119.0,4.0,3.0,30.0,0.0,33.0,4.0,134.0,1.0,643.0,59.0,93.0,19.0,22.0,3.0,6.0,1.0,2.0,175.0,2.0,71.0,227.0,6.0,9.0,3.0,14.0,199.0
Slovenia,1.0,0.0,0.0,104.0,4.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,430.0,1.0,0.0,0.0,5.0,6.0,0.0,0.0,13.0,1.0,6.0,0.0,0.0,4.0,1.0,19.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,6.0,7.0,1.0,11.0,4.0,0.0,0.0,56.0,0.0,0.0,0.0,47.0,0.0,6.0,3.0,1.0,0.0,14.0,0.0,5.0,2.0,1.0,21.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,5.0,0.0,1.0,2.0,2.0,7.0,1.0,40.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,0.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,0.0,4.0
Netherlands,8.0,6.0,1.0,736.0,1.0,6.0,2.0,0.0,8.0,2.0,9.0,5.0,13.0,2.0,2.0,38.0,1.0,942.0,1.0,13.0,19.0,19.0,9.0,7.0,0.0,54.0,0.0,27.0,1.0,0.0,16.0,7.0,38.0,4.0,0.0,0.0,1.0,21.0,1.0,1.0,13.0,20.0,3.0,1.0,4.0,29.0,31.0,0.0,22.0,6.0,1.0,0.0,110.0,0.0,0.0,0.0,41.0,0.0,14.0,9.0,0.0,1.0,8.0,1.0,8.0,15.0,1.0,35.0,41.0,0.0,0.0,0.0,18.0,3.0,2.0,2.0,23.0,13.0,54.0,3.0,3.0,66.0,3.0,5.0,29.0,8.0,17.0,51.0,49.0,0.0,13.0,1.0,0.0,5.0,3.0,7.0,0.0,31.0,11.0,79.0,5.0,16.0,1.0,0.0,1.0,1.0,39.0,0.0,9.0,11.0,1.0,2.0,0.0,3.0,16.0
Peru,1.0,0.0,2.0,470.0,1.0,8.0,6.0,0.0,5.0,5.0,2.0,12.0,3.0,5.0,0.0,27.0,0.0,1789.0,0.0,0.0,3.0,5.0,188.0,14.0,3.0,15.0,0.0,16.0,1.0,0.0,2.0,1.0,22.0,2.0,0.0,4.0,0.0,16.0,0.0,2.0,1.0,10.0,4.0,0.0,29.0,48.0,14.0,1.0,17.0,1.0,1.0,0.0,135.0,0.0,1.0,0.0,1.0,8.0,19.0,22.0,0.0,1.0,7.0,0.0,6.0,32.0,6.0,90.0,22.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,5.0,18.0,34.0,0.0,78.0,4.0,4.0,0.0,49.0,8.0,6.0,53.0,26.0,0.0,5.0,9.0,0.0,2.0,2.0,160.0,1.0,23.0,15.0,1.0,14.0,1.0,0.0,0.0,3.0,2.0,30.0,0.0,25.0,8.0,0.0,0.0,0.0,12.0,77.0
