,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Papua New Guinea,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,2.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,41.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
United States,8.0,196.0,19.0,1803.0,49.0,149.0,27.0,5.0,183.0,73.0,220.0,127.0,252.0,109.0,159.0,1030.0,6.0,34335.0,9.0,20.0,1367.0,524.0,175.0,87.0,12.0,1438.0,16.0,929.0,64.0,1.0,208.0,87.0,523.0,5.0,0.0,33.0,35.0,862.0,327.0,27.0,129.0,111.0,88.0,20.0,529.0,806.0,911.0,26.0,1005.0,602.0,57.0,0.0,3221.0,17.0,10.0,12.0,142.0,26.0,177.0,43.0,57.0,1.0,456.0,6.0,439.0,396.0,112.0,1235.0,198.0,20.0,0.0,18.0,198.0,173.0,22.0,54.0,348.0,611.0,611.0,16.0,283.0,881.0,65.0,22.0,279.0,116.0,482.0,1134.0,621.0,51.0,22.0,41.0,1.0,96.0,35.0,479.0,11.0,766.0,479.0,208.0,142.0,144.0,11.0,33.0,59.0,8.0,475.0,15.0,356.0,434.0,2.0,321.0,2.0,262.0,698.0
Portugal,9.0,2.0,1.0,160.0,0.0,22.0,13.0,0.0,24.0,1.0,7.0,2.0,6.0,3.0,0.0,44.0,0.0,2119.0,0.0,0.0,21.0,26.0,10.0,1.0,0.0,37.0,0.0,14.0,1.0,0.0,2.0,1.0,41.0,0.0,0.0,1.0,0.0,25.0,6.0,1.0,7.0,4.0,0.0,0.0,2.0,23.0,63.0,1.0,14.0,8.0,1.0,0.0,88.0,1.0,0.0,0.0,27.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,0.0,95.0,8.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,4.0,5.0,13.0,0.0,18.0,4.0,1.0,0.0,4.0,4.0,15.0,52.0,16.0,1.0,6.0,0.0,0.0,6.0,10.0,78.0,0.0,55.0,7.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,29.0,0.0,21.0,6.0,0.0,1.0,0.0,17.0,26.0
Spain,92.0,33.0,2.0,799.0,58.0,206.0,104.0,5.0,28.0,56.0,32.0,41.0,115.0,84.0,8.0,200.0,37.0,9009.0,2.0,0.0,107.0,57.0,90.0,74.0,15.0,544.0,31.0,70.0,12.0,1.0,36.0,7.0,135.0,7.0,0.0,10.0,2.0,203.0,79.0,18.0,80.0,24.0,21.0,0.0,161.0,296.0,484.0,32.0,387.0,99.0,0.0,0.0,446.0,0.0,7.0,3.0,115.0,54.0,70.0,10.0,33.0,2.0,143.0,17.0,53.0,126.0,9.0,200.0,125.0,5.0,1.0,0.0,19.0,56.0,8.0,1.0,52.0,86.0,79.0,6.0,148.0,34.0,16.0,0.0,71.0,17.0,31.0,420.0,315.0,0.0,126.0,6.0,0.0,47.0,23.0,849.0,4.0,293.0,160.0,48.0,15.0,81.0,0.0,27.0,41.0,2.0,217.0,2.0,50.0,81.0,2.0,238.0,0.0,59.0,253.0
Croatia,2.0,64.0,0.0,39.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,341.0,0.0,1.0,6.0,1.0,2.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,8.0,13.0,0.0,6.0,1.0,0.0,0.0,29.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,1.0,4.0,0.0,3.0,4.0,0.0,0.0,1.0,3.0,4.0,3.0,108.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,8.0,0.0,0.0,2.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Netherlands,10.0,2.0,3.0,845.0,1.0,20.0,4.0,1.0,11.0,2.0,6.0,6.0,8.0,1.0,1.0,13.0,0.0,1016.0,2.0,3.0,23.0,24.0,8.0,9.0,0.0,48.0,3.0,26.0,3.0,0.0,6.0,3.0,42.0,3.0,0.0,0.0,0.0,21.0,8.0,1.0,11.0,6.0,0.0,0.0,9.0,39.0,29.0,5.0,24.0,14.0,0.0,0.0,109.0,0.0,2.0,0.0,44.0,0.0,12.0,2.0,0.0,0.0,12.0,0.0,18.0,10.0,3.0,23.0,37.0,3.0,0.0,0.0,17.0,7.0,2.0,2.0,17.0,13.0,15.0,6.0,11.0,26.0,0.0,3.0,26.0,10.0,13.0,39.0,38.0,0.0,21.0,0.0,0.0,4.0,8.0,15.0,0.0,24.0,8.0,1.0,2.0,1.0,0.0,2.0,3.0,4.0,29.0,0.0,8.0,14.0,0.0,2.0,0.0,5.0,18.0
Italy,47.0,6.0,4.0,395.0,33.0,92.0,194.0,0.0,26.0,8.0,19.0,89.0,38.0,15.0,11.0,295.0,2.0,24376.0,2.0,1.0,73.0,224.0,173.0,30.0,0.0,218.0,5.0,58.0,21.0,0.0,44.0,76.0,532.0,1.0,0.0,36.0,0.0,433.0,142.0,2.0,16.0,40.0,4.0,0.0,57.0,252.0,832.0,21.0,806.0,929.0,1.0,0.0,527.0,2.0,8.0,0.0,430.0,19.0,74.0,7.0,190.0,1.0,43.0,3.0,42.0,117.0,16.0,609.0,221.0,8.0,2.0,0.0,32.0,97.0,2.0,33.0,248.0,92.0,137.0,12.0,17.0,232.0,127.0,0.0,116.0,234.0,231.0,271.0,191.0,4.0,46.0,12.0,0.0,86.0,4.0,380.0,3.0,142.0,66.0,32.0,121.0,51.0,3.0,37.0,1.0,3.0,95.0,0.0,91.0,91.0,2.0,574.0,1.0,34.0,161.0
Japan,34.0,5.0,6.0,152.0,1.0,15.0,0.0,0.0,30.0,2.0,9.0,7.0,5.0,12.0,4.0,56.0,0.0,3136.0,2.0,1.0,51.0,68.0,26.0,6.0,0.0,61.0,2.0,80.0,258.0,1.0,17.0,2.0,112.0,1.0,0.0,23.0,3.0,273.0,16.0,0.0,9.0,18.0,4.0,1.0,9.0,53.0,58.0,31.0,90.0,56.0,3.0,1.0,208.0,12.0,5.0,87.0,3.0,0.0,23.0,1.0,2.0,0.0,5.0,0.0,18.0,27.0,10.0,88.0,9.0,2.0,1.0,1.0,7.0,42.0,7.0,3.0,23.0,165.0,8.0,0.0,20.0,38.0,2.0,1.0,29.0,12.0,36.0,30.0,25.0,0.0,3.0,7.0,0.0,15.0,0.0,12.0,0.0,107.0,101.0,5.0,2.0,6.0,0.0,1.0,2.0,0.0,33.0,0.0,11.0,32.0,0.0,6.0,0.0,18.0,40.0
Argentina,3.0,10.0,0.0,38.0,4.0,43.0,86.0,0.0,8.0,41.0,19.0,22.0,9.0,20.0,3.0,28.0,0.0,1906.0,0.0,2.0,32.0,25.0,93.0,10.0,0.0,84.0,14.0,11.0,10.0,0.0,8.0,3.0,46.0,2.0,0.0,15.0,0.0,29.0,7.0,3.0,4.0,21.0,346.0,0.0,46.0,94.0,50.0,3.0,24.0,2.0,1.0,0.0,89.0,0.0,0.0,0.0,188.0,33.0,848.0,30.0,0.0,0.0,1.0,0.0,7.0,25.0,1.0,165.0,17.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,43.0,143.0,174.0,0.0,67.0,50.0,8.0,0.0,87.0,263.0,19.0,129.0,12.0,13.0,8.0,3.0,0.0,10.0,2.0,103.0,0.0,190.0,29.0,4.0,10.0,16.0,0.0,50.0,10.0,0.0,75.0,0.0,31.0,32.0,0.0,12.0,0.0,49.0,116.0
Brazil,1.0,2.0,10.0,77.0,5.0,66.0,37.0,0.0,4.0,36.0,95.0,249.0,10.0,9.0,3.0,102.0,0.0,5471.0,1.0,18.0,24.0,50.0,309.0,13.0,1.0,47.0,3.0,45.0,2.0,0.0,10.0,42.0,79.0,4.0,0.0,14.0,0.0,155.0,22.0,8.0,8.0,128.0,4.0,1.0,37.0,312.0,99.0,14.0,120.0,113.0,11.0,1.0,281.0,1.0,1.0,4.0,1.0,81.0,139.0,33.0,0.0,0.0,12.0,1.0,19.0,78.0,1.0,898.0,231.0,0.0,2.0,1.0,5.0,30.0,7.0,3.0,48.0,35.0,657.0,1.0,212.0,17.0,36.0,1.0,432.0,331.0,38.0,121.0,37.0,1.0,3.0,41.0,0.0,23.0,9.0,353.0,0.0,483.0,133.0,38.0,64.0,54.0,2.0,2.0,5.0,3.0,98.0,0.0,30.0,140.0,3.0,10.0,0.0,236.0,565.0
