,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Japan,10.0,40.0,2.0,223.0,0.0,7.0,3.0,0.0,19.0,1.0,58.0,14.0,3.0,9.0,6.0,41.0,0.0,2065.0,4.0,2.0,53.0,72.0,39.0,15.0,0.0,100.0,3.0,56.0,120.0,0.0,15.0,2.0,70.0,1.0,0.0,10.0,16.0,177.0,12.0,1.0,12.0,13.0,5.0,0.0,22.0,81.0,81.0,13.0,69.0,45.0,0.0,0.0,257.0,38.0,1.0,66.0,3.0,1.0,22.0,1.0,0.0,1.0,4.0,0.0,57.0,31.0,15.0,112.0,7.0,1.0,0.0,0.0,9.0,32.0,6.0,3.0,20.0,169.0,20.0,3.0,2.0,28.0,1.0,2.0,29.0,15.0,57.0,18.0,13.0,2.0,1.0,8.0,0.0,8.0,0.0,37.0,3.0,104.0,34.0,4.0,4.0,27.0,0.0,0.0,2.0,0.0,38.0,0.0,1.0,30.0,0.0,4.0,0.0,20.0,53.0
Italy,33.0,8.0,2.0,840.0,26.0,86.0,215.0,1.0,45.0,22.0,14.0,80.0,14.0,18.0,3.0,313.0,0.0,29262.0,1.0,2.0,65.0,83.0,61.0,115.0,1.0,318.0,17.0,82.0,19.0,0.0,67.0,3.0,259.0,3.0,0.0,25.0,4.0,147.0,81.0,6.0,13.0,62.0,5.0,1.0,60.0,353.0,641.0,20.0,419.0,372.0,2.0,0.0,479.0,2.0,1.0,1.0,171.0,27.0,119.0,5.0,5.0,1.0,36.0,0.0,77.0,149.0,14.0,1042.0,270.0,14.0,0.0,0.0,12.0,92.0,8.0,52.0,156.0,201.0,154.0,4.0,47.0,164.0,113.0,2.0,78.0,313.0,818.0,310.0,225.0,2.0,27.0,12.0,0.0,16.0,11.0,207.0,2.0,298.0,100.0,15.0,67.0,29.0,2.0,54.0,0.0,11.0,127.0,0.0,68.0,112.0,1.0,32.0,0.0,21.0,140.0
"Macedonia, Republic of",1.0,0.0,0.0,23.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,724.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,49.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,16.0,12.0,57.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0
Austria,1.0,1.0,5.0,92.0,3.0,2.0,1.0,0.0,1.0,0.0,7.0,8.0,5.0,5.0,0.0,24.0,0.0,1416.0,0.0,1.0,5.0,8.0,5.0,34.0,0.0,26.0,4.0,7.0,3.0,0.0,17.0,0.0,60.0,1.0,0.0,0.0,0.0,11.0,2.0,0.0,1.0,5.0,2.0,0.0,20.0,56.0,48.0,0.0,16.0,15.0,0.0,0.0,180.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,4.0,0.0,7.0,5.0,0.0,111.0,11.0,1.0,0.0,0.0,1.0,8.0,0.0,4.0,3.0,19.0,8.0,0.0,1.0,4.0,1.0,0.0,5.0,12.0,31.0,14.0,19.0,0.0,0.0,0.0,0.0,7.0,3.0,49.0,10.0,47.0,12.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,26.0,0.0,6.0,12.0,1.0,4.0,0.0,4.0,19.0
Belgium,3.0,2.0,0.0,208.0,0.0,2.0,21.0,0.0,3.0,1.0,10.0,0.0,2.0,3.0,1.0,42.0,0.0,1654.0,0.0,1.0,14.0,23.0,11.0,12.0,0.0,87.0,1.0,11.0,6.0,0.0,15.0,0.0,74.0,0.0,0.0,1.0,0.0,117.0,91.0,0.0,2.0,2.0,2.0,0.0,14.0,24.0,6.0,1.0,34.0,11.0,1.0,0.0,186.0,0.0,0.0,0.0,24.0,1.0,6.0,1.0,6.0,0.0,4.0,0.0,5.0,21.0,2.0,61.0,7.0,0.0,0.0,0.0,17.0,10.0,1.0,1.0,9.0,8.0,15.0,2.0,13.0,38.0,1.0,1.0,10.0,5.0,24.0,25.0,470.0,1.0,6.0,0.0,1.0,6.0,4.0,41.0,0.0,34.0,15.0,5.0,0.0,6.0,0.0,2.0,0.0,1.0,29.0,0.0,10.0,12.0,0.0,1.0,0.0,9.0,19.0
United States,14.0,300.0,44.0,4546.0,86.0,285.0,105.0,11.0,198.0,118.0,218.0,224.0,300.0,153.0,211.0,1508.0,16.0,45843.0,36.0,37.0,2375.0,892.0,320.0,132.0,45.0,2252.0,33.0,1285.0,101.0,2.0,835.0,98.0,837.0,7.0,1.0,68.0,47.0,1103.0,375.0,61.0,205.0,136.0,107.0,17.0,1032.0,1491.0,1550.0,44.0,1475.0,785.0,67.0,1.0,5019.0,41.0,27.0,10.0,180.0,53.0,249.0,153.0,22.0,4.0,596.0,7.0,923.0,692.0,208.0,2138.0,230.0,46.0,1.0,12.0,368.0,238.0,91.0,78.0,440.0,1129.0,467.0,26.0,479.0,1072.0,128.0,43.0,365.0,141.0,874.0,1205.0,997.0,42.0,36.0,114.0,3.0,151.0,53.0,524.0,35.0,1298.0,502.0,206.0,124.0,258.0,14.0,19.0,78.0,15.0,650.0,31.0,457.0,688.0,6.0,133.0,1.0,399.0,1281.0
Ireland,1.0,4.0,0.0,185.0,1.0,10.0,0.0,0.0,7.0,0.0,4.0,3.0,35.0,4.0,0.0,72.0,0.0,2770.0,1.0,2.0,20.0,15.0,13.0,1.0,0.0,86.0,2.0,45.0,2.0,0.0,6.0,0.0,95.0,1.0,0.0,1.0,3.0,242.0,14.0,3.0,22.0,4.0,1.0,1.0,81.0,64.0,81.0,0.0,31.0,9.0,0.0,0.0,318.0,0.0,0.0,3.0,3.0,0.0,8.0,4.0,5.0,0.0,34.0,3.0,7.0,14.0,0.0,53.0,11.0,1.0,0.0,0.0,15.0,5.0,3.0,0.0,7.0,6.0,15.0,1.0,7.0,26.0,0.0,0.0,13.0,8.0,27.0,46.0,180.0,1.0,2.0,1.0,0.0,10.0,2.0,10.0,0.0,75.0,21.0,14.0,2.0,11.0,0.0,2.0,4.0,0.0,19.0,0.0,31.0,23.0,0.0,1.0,1.0,5.0,11.0
Netherlands,11.0,1.0,0.0,941.0,2.0,8.0,1.0,0.0,3.0,1.0,21.0,3.0,5.0,3.0,1.0,31.0,0.0,1200.0,1.0,0.0,17.0,18.0,9.0,7.0,0.0,34.0,0.0,32.0,6.0,0.0,4.0,0.0,46.0,0.0,0.0,1.0,1.0,27.0,5.0,0.0,3.0,4.0,0.0,1.0,12.0,43.0,19.0,1.0,20.0,14.0,0.0,0.0,136.0,0.0,0.0,0.0,5.0,0.0,4.0,7.0,0.0,0.0,26.0,0.0,18.0,13.0,0.0,36.0,17.0,3.0,0.0,0.0,12.0,4.0,0.0,3.0,18.0,13.0,19.0,20.0,5.0,37.0,1.0,0.0,31.0,11.0,14.0,29.0,73.0,0.0,2.0,4.0,1.0,0.0,6.0,20.0,0.0,27.0,5.0,1.0,9.0,4.0,0.0,0.0,1.0,0.0,22.0,0.0,48.0,17.0,0.0,0.0,0.0,4.0,16.0
Costa Rica,2.0,1.0,5.0,5.0,0.0,11.0,9.0,0.0,1.0,3.0,7.0,4.0,1.0,6.0,0.0,8.0,0.0,899.0,7.0,0.0,0.0,2.0,26.0,6.0,0.0,3.0,0.0,6.0,3.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,10.0,1.0,0.0,18.0,18.0,12.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,1.0,7.0,1.0,0.0,13.0,11.0,5.0,8.0,3.0,0.0,2.0,0.0,0.0,4.0,0.0,7.0,0.0,18.0,5.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,20.0,17.0
Cameroon,1.0,1.0,1.0,40.0,0.0,1.0,0.0,3.0,3.0,0.0,2.0,7.0,0.0,249.0,11.0,1.0,1.0,256.0,0.0,0.0,7.0,2.0,11.0,7.0,1.0,31.0,0.0,8.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0,17.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,6.0,5.0,1.0,3.0,1.0,3.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,83.0,0.0,30.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,0.0,27.0,0.0,1.0,2.0,7.0,0.0,3.0,0.0,5.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,13.0,0.0,1.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,20.0,3.0,0.0,1.0,3.0,64.0,2.0
