,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Spain,97.0,28.0,3.0,722.0,62.0,202.0,102.0,5.0,32.0,61.0,106.0,36.0,111.0,99.0,6.0,214.0,37.0,9357.0,2.0,0.0,123.0,72.0,95.0,77.0,16.0,698.0,30.0,61.0,10.0,1.0,39.0,11.0,165.0,8.0,0.0,11.0,64.0,216.0,64.0,18.0,78.0,24.0,25.0,0.0,184.0,294.0,491.0,43.0,362.0,84.0,1.0,0.0,398.0,0.0,5.0,2.0,106.0,57.0,72.0,10.0,30.0,5.0,158.0,17.0,60.0,129.0,55.0,230.0,113.0,5.0,1.0,0.0,20.0,55.0,55.0,0.0,51.0,85.0,73.0,7.0,154.0,38.0,17.0,1.0,46.0,16.0,36.0,422.0,247.0,1.0,121.0,5.0,0.0,40.0,23.0,808.0,4.0,310.0,167.0,47.0,10.0,82.0,1.0,21.0,38.0,1.0,229.0,2.0,48.0,95.0,2.0,241.0,0.0,60.0,274.0
Italy,57.0,9.0,3.0,291.0,29.0,106.0,189.0,0.0,30.0,10.0,20.0,100.0,30.0,18.0,5.0,303.0,2.0,24804.0,2.0,1.0,77.0,197.0,179.0,30.0,0.0,227.0,3.0,60.0,21.0,0.0,37.0,70.0,519.0,2.0,0.0,42.0,2.0,441.0,142.0,1.0,17.0,40.0,5.0,1.0,65.0,254.0,819.0,21.0,708.0,809.0,2.0,0.0,479.0,1.0,8.0,0.0,396.0,19.0,74.0,6.0,186.0,1.0,42.0,3.0,43.0,128.0,15.0,664.0,255.0,9.0,2.0,0.0,28.0,110.0,1.0,31.0,216.0,122.0,130.0,9.0,21.0,185.0,129.0,0.0,114.0,231.0,249.0,285.0,148.0,5.0,32.0,12.0,0.0,84.0,2.0,413.0,3.0,141.0,70.0,32.0,116.0,40.0,3.0,22.0,1.0,4.0,120.0,0.0,88.0,86.0,2.0,567.0,0.0,36.0,173.0
Philippines,1.0,3.0,1.0,92.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,20.0,1.0,33.0,2.0,51.0,3.0,1276.0,0.0,0.0,10.0,1.0,319.0,1.0,1.0,58.0,0.0,215.0,1.0,0.0,2.0,1.0,9.0,1.0,0.0,1.0,1.0,52.0,12.0,0.0,1.0,3.0,1.0,0.0,6.0,15.0,44.0,1.0,7.0,0.0,2.0,0.0,66.0,5.0,0.0,0.0,2.0,0.0,10.0,65.0,0.0,0.0,0.0,0.0,10.0,10.0,4.0,49.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,19.0,18.0,0.0,36.0,1.0,0.0,0.0,3.0,13.0,9.0,28.0,14.0,19.0,1.0,29.0,0.0,0.0,0.0,4.0,0.0,8.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,48.0,5.0,0.0,0.0,1.0,2.0,15.0
"Congo, The Democratic Republic of the",1.0,11.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,2.0,16.0,0.0,2.0,22.0,0.0,6.0,40.0,205.0,0.0,0.0,0.0,2.0,11.0,0.0,3.0,335.0,0.0,34.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,5.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,3.0,3.0,1.0,14.0,7.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,5.0,0.0,4.0,40.0,6.0,94.0,5.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,2.0,52.0,0.0,2.0,3.0,1.0,1.0,10.0,2.0,16.0,10.0,8.0,0.0,0.0,5.0,0.0,2.0,10.0,17.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,21.0,0.0,23.0,3.0,2.0,1.0,2.0,28.0,5.0
France,4.0,6.0,2.0,1559.0,11.0,50.0,46.0,0.0,17.0,5.0,16.0,154.0,40.0,47.0,19.0,145.0,0.0,5046.0,2.0,12.0,114.0,50.0,194.0,72.0,0.0,169.0,14.0,146.0,8.0,1.0,46.0,3.0,414.0,2.0,0.0,3.0,5.0,187.0,66.0,2.0,76.0,11.0,4.0,1.0,39.0,103.0,127.0,16.0,61.0,16.0,0.0,0.0,907.0,4.0,2.0,0.0,28.0,4.0,59.0,22.0,91.0,4.0,96.0,2.0,43.0,70.0,6.0,172.0,40.0,4.0,1.0,1.0,15.0,23.0,7.0,4.0,20.0,27.0,29.0,8.0,56.0,77.0,50.0,3.0,39.0,5.0,47.0,91.0,262.0,2.0,4.0,13.0,1.0,25.0,23.0,239.0,1.0,54.0,40.0,22.0,7.0,39.0,1.0,6.0,1.0,4.0,101.0,0.0,59.0,57.0,2.0,18.0,0.0,56.0,259.0
Portugal,9.0,2.0,1.0,171.0,0.0,22.0,13.0,0.0,24.0,1.0,32.0,5.0,6.0,4.0,0.0,56.0,0.0,2168.0,0.0,0.0,18.0,25.0,32.0,1.0,0.0,95.0,0.0,21.0,0.0,0.0,3.0,0.0,38.0,1.0,0.0,2.0,0.0,25.0,4.0,1.0,9.0,4.0,0.0,0.0,2.0,29.0,64.0,1.0,27.0,10.0,1.0,0.0,96.0,1.0,0.0,1.0,26.0,4.0,12.0,1.0,0.0,0.0,0.0,1.0,8.0,40.0,0.0,147.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,2.0,21.0,0.0,22.0,7.0,0.0,0.0,9.0,8.0,17.0,75.0,17.0,1.0,6.0,1.0,0.0,7.0,9.0,98.0,0.0,58.0,12.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,28.0,0.0,21.0,9.0,0.0,1.0,0.0,17.0,25.0
Argentina,3.0,6.0,0.0,40.0,4.0,36.0,76.0,0.0,8.0,43.0,26.0,26.0,8.0,15.0,3.0,129.0,0.0,2816.0,0.0,2.0,30.0,34.0,77.0,11.0,0.0,87.0,15.0,13.0,11.0,0.0,16.0,2.0,40.0,3.0,0.0,15.0,0.0,20.0,6.0,3.0,5.0,20.0,344.0,0.0,104.0,108.0,56.0,3.0,34.0,5.0,1.0,0.0,90.0,0.0,0.0,0.0,186.0,29.0,896.0,25.0,0.0,0.0,4.0,1.0,7.0,20.0,1.0,163.0,17.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,43.0,138.0,138.0,0.0,81.0,56.0,11.0,0.0,89.0,222.0,19.0,111.0,13.0,13.0,11.0,3.0,0.0,9.0,2.0,104.0,0.0,180.0,30.0,4.0,8.0,18.0,0.0,57.0,9.0,0.0,66.0,0.0,29.0,40.0,0.0,12.0,0.0,41.0,99.0
United States,8.0,198.0,19.0,2165.0,60.0,152.0,46.0,9.0,157.0,85.0,251.0,138.0,267.0,118.0,137.0,1093.0,11.0,36111.0,14.0,24.0,1458.0,647.0,166.0,91.0,17.0,1616.0,17.0,982.0,78.0,1.0,263.0,129.0,545.0,6.0,1.0,42.0,43.0,915.0,343.0,35.0,157.0,131.0,90.0,11.0,778.0,879.0,962.0,27.0,1031.0,684.0,57.0,0.0,3299.0,30.0,18.0,11.0,195.0,31.0,175.0,64.0,50.0,1.0,535.0,6.0,518.0,426.0,137.0,1259.0,181.0,19.0,0.0,20.0,215.0,205.0,37.0,56.0,354.0,733.0,605.0,20.0,316.0,798.0,79.0,28.0,293.0,111.0,566.0,1161.0,730.0,55.0,23.0,56.0,1.0,108.0,39.0,485.0,8.0,800.0,525.0,158.0,150.0,163.0,11.0,33.0,67.0,8.0,517.0,16.0,396.0,520.0,3.0,335.0,2.0,296.0,770.0
Croatia,1.0,64.0,0.0,25.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,310.0,0.0,1.0,5.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,6.0,11.0,1.0,6.0,3.0,0.0,0.0,17.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,2.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,0.0,5.0,0.0,5.0,4.0,0.0,0.0,1.0,3.0,4.0,3.0,117.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,9.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0
Netherlands,10.0,2.0,2.0,839.0,1.0,24.0,4.0,1.0,9.0,2.0,24.0,5.0,8.0,3.0,1.0,23.0,0.0,996.0,2.0,3.0,20.0,22.0,7.0,9.0,0.0,42.0,3.0,29.0,3.0,0.0,5.0,2.0,34.0,3.0,0.0,0.0,1.0,18.0,7.0,1.0,9.0,3.0,0.0,0.0,9.0,37.0,25.0,5.0,24.0,15.0,0.0,0.0,93.0,0.0,2.0,0.0,18.0,0.0,2.0,1.0,0.0,0.0,13.0,0.0,21.0,13.0,2.0,26.0,13.0,3.0,0.0,0.0,17.0,8.0,2.0,2.0,19.0,15.0,11.0,7.0,11.0,29.0,0.0,3.0,24.0,8.0,15.0,41.0,42.0,0.0,20.0,0.0,0.0,4.0,8.0,28.0,0.0,23.0,8.0,1.0,2.0,1.0,0.0,2.0,2.0,4.0,26.0,0.0,16.0,10.0,0.0,2.0,0.0,5.0,14.0
