,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Italy,84.0,17.0,5.0,631.0,16.0,169.0,165.0,3.0,60.0,25.0,27.0,60.0,52.0,16.0,14.0,284.0,1.0,22378.0,1.0,5.0,86.0,388.0,72.0,28.0,1.0,260.0,57.0,79.0,36.0,0.0,41.0,43.0,352.0,1.0,0.0,24.0,2.0,263.0,74.0,5.0,12.0,72.0,6.0,1.0,39.0,283.0,686.0,10.0,752.0,879.0,15.0,0.0,693.0,2.0,7.0,0.0,391.0,21.0,86.0,6.0,59.0,2.0,19.0,1.0,94.0,117.0,13.0,445.0,419.0,10.0,1.0,0.0,32.0,96.0,9.0,36.0,310.0,82.0,147.0,11.0,20.0,424.0,14.0,1.0,69.0,251.0,161.0,365.0,304.0,3.0,128.0,29.0,1.0,36.0,14.0,127.0,2.0,151.0,106.0,17.0,59.0,90.0,16.0,159.0,5.0,1.0,70.0,0.0,91.0,102.0,1.0,114.0,1.0,17.0,132.0
Slovenia,1.0,0.0,0.0,107.0,4.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,396.0,1.0,1.0,1.0,4.0,6.0,0.0,0.0,11.0,1.0,4.0,0.0,0.0,3.0,0.0,15.0,0.0,0.0,1.0,1.0,9.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,7.0,7.0,1.0,8.0,5.0,1.0,0.0,55.0,0.0,0.0,0.0,40.0,0.0,6.0,2.0,1.0,0.0,15.0,0.0,3.0,2.0,1.0,22.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,7.0,0.0,1.0,2.0,2.0,7.0,1.0,36.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,4.0
Netherlands,8.0,7.0,1.0,638.0,1.0,6.0,2.0,0.0,8.0,2.0,7.0,5.0,9.0,1.0,2.0,48.0,1.0,946.0,1.0,13.0,19.0,19.0,8.0,6.0,0.0,54.0,0.0,27.0,1.0,0.0,17.0,7.0,34.0,4.0,0.0,0.0,1.0,26.0,1.0,1.0,9.0,20.0,3.0,1.0,4.0,29.0,31.0,0.0,25.0,7.0,1.0,0.0,134.0,0.0,0.0,0.0,36.0,0.0,16.0,9.0,0.0,1.0,8.0,1.0,7.0,17.0,2.0,33.0,41.0,0.0,0.0,0.0,17.0,4.0,2.0,2.0,17.0,13.0,53.0,3.0,3.0,65.0,3.0,5.0,25.0,8.0,15.0,47.0,58.0,4.0,21.0,2.0,0.0,5.0,2.0,6.0,0.0,29.0,12.0,81.0,6.0,17.0,1.0,0.0,1.0,1.0,40.0,0.0,31.0,9.0,1.0,3.0,0.0,2.0,16.0
Spain,55.0,11.0,5.0,971.0,4.0,171.0,124.0,7.0,38.0,86.0,56.0,50.0,101.0,40.0,24.0,187.0,1.0,9682.0,1.0,9.0,86.0,72.0,139.0,156.0,1.0,488.0,27.0,114.0,11.0,0.0,48.0,6.0,180.0,20.0,0.0,9.0,7.0,295.0,83.0,7.0,44.0,73.0,19.0,4.0,72.0,367.0,495.0,21.0,706.0,192.0,0.0,0.0,491.0,1.0,7.0,3.0,65.0,83.0,89.0,10.0,37.0,3.0,29.0,4.0,45.0,116.0,108.0,206.0,235.0,0.0,0.0,1.0,11.0,31.0,5.0,3.0,58.0,73.0,106.0,11.0,51.0,92.0,7.0,2.0,193.0,21.0,44.0,453.0,478.0,1.0,198.0,22.0,0.0,47.0,32.0,891.0,8.0,293.0,97.0,38.0,18.0,67.0,6.0,28.0,34.0,1.0,312.0,11.0,57.0,50.0,4.0,141.0,0.0,40.0,183.0
Peru,1.0,0.0,1.0,507.0,1.0,9.0,6.0,0.0,5.0,6.0,5.0,23.0,3.0,5.0,0.0,21.0,0.0,1699.0,0.0,0.0,3.0,5.0,263.0,20.0,3.0,18.0,0.0,23.0,1.0,0.0,2.0,1.0,19.0,2.0,0.0,4.0,0.0,16.0,0.0,1.0,1.0,11.0,6.0,0.0,29.0,46.0,13.0,1.0,19.0,1.0,1.0,0.0,149.0,0.0,1.0,0.0,1.0,10.0,33.0,54.0,0.0,1.0,8.0,0.0,5.0,45.0,7.0,89.0,19.0,1.0,0.0,0.0,0.0,4.0,2.0,3.0,5.0,22.0,78.0,0.0,74.0,4.0,4.0,0.0,43.0,9.0,4.0,53.0,28.0,0.0,4.0,9.0,0.0,2.0,2.0,119.0,1.0,20.0,16.0,1.0,14.0,2.0,0.0,0.0,2.0,0.0,32.0,0.0,30.0,9.0,0.0,0.0,0.0,20.0,118.0
Iceland,3.0,0.0,1.0,48.0,10.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,0.0,5.0,0.0,5.0,0.0,198.0,2.0,0.0,3.0,7.0,4.0,1.0,0.0,15.0,0.0,6.0,1.0,0.0,13.0,0.0,6.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,14.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,11.0,4.0,0.0,0.0,0.0,1.0,11.0
Thailand,2.0,12.0,1.0,49.0,4.0,25.0,22.0,1.0,3.0,0.0,16.0,29.0,3.0,11.0,5.0,27.0,2.0,1402.0,3.0,0.0,30.0,12.0,54.0,7.0,0.0,101.0,5.0,49.0,14.0,4.0,6.0,0.0,50.0,2.0,0.0,7.0,1.0,92.0,5.0,2.0,12.0,4.0,11.0,1.0,18.0,30.0,43.0,92.0,35.0,5.0,2.0,0.0,263.0,1.0,1.0,0.0,4.0,7.0,12.0,8.0,1.0,0.0,12.0,0.0,14.0,70.0,10.0,111.0,17.0,13.0,0.0,6.0,11.0,7.0,0.0,19.0,14.0,35.0,24.0,0.0,30.0,29.0,2.0,0.0,37.0,10.0,10.0,56.0,15.0,0.0,3.0,5.0,0.0,27.0,4.0,14.0,1.0,65.0,45.0,16.0,11.0,11.0,1.0,6.0,4.0,0.0,100.0,2.0,28.0,15.0,0.0,6.0,2.0,10.0,42.0
Japan,14.0,17.0,3.0,684.0,3.0,15.0,4.0,1.0,44.0,8.0,27.0,9.0,4.0,12.0,12.0,102.0,0.0,4617.0,1.0,2.0,74.0,46.0,53.0,10.0,0.0,73.0,5.0,99.0,285.0,1.0,6.0,2.0,119.0,3.0,0.0,16.0,1.0,287.0,25.0,0.0,8.0,9.0,2.0,0.0,7.0,51.0,61.0,11.0,101.0,57.0,0.0,1.0,336.0,6.0,5.0,170.0,86.0,2.0,12.0,3.0,0.0,0.0,11.0,0.0,35.0,56.0,1.0,137.0,12.0,2.0,1.0,0.0,16.0,41.0,8.0,1.0,29.0,107.0,25.0,1.0,7.0,80.0,12.0,1.0,31.0,18.0,46.0,31.0,58.0,1.0,1.0,13.0,0.0,18.0,8.0,24.0,0.0,180.0,117.0,26.0,2.0,9.0,0.0,5.0,1.0,0.0,64.0,0.0,8.0,16.0,0.0,9.0,0.0,35.0,60.0
United Kingdom,1.0,22.0,5.0,2114.0,19.0,42.0,12.0,6.0,94.0,11.0,70.0,23.0,65.0,55.0,53.0,329.0,6.0,12154.0,5.0,16.0,267.0,85.0,59.0,512.0,8.0,292.0,11.0,332.0,21.0,0.0,140.0,5.0,193.0,3.0,0.0,18.0,14.0,525.0,81.0,7.0,152.0,18.0,21.0,1.0,200.0,203.0,373.0,8.0,258.0,81.0,5.0,5.0,1927.0,4.0,1.0,17.0,64.0,13.0,126.0,20.0,29.0,2.0,71.0,1.0,89.0,148.0,24.0,264.0,129.0,3.0,1.0,3.0,354.0,42.0,10.0,21.0,101.0,143.0,172.0,9.0,38.0,296.0,18.0,17.0,50.0,50.0,73.0,205.0,157.0,1.0,29.0,42.0,0.0,100.0,21.0,145.0,0.0,202.0,65.0,127.0,15.0,55.0,7.0,7.0,8.0,18.0,152.0,0.0,119.0,106.0,2.0,6.0,0.0,33.0,87.0
Svalbard and Jan Mayen,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
