,Disease,SVM,SSL,DNN
0,Anisakis,0,0,0
1,Ascaris,1,0,1
2,Buruliulcer,0,0,0
3,Chagas disease,1,0,1
4,Coccidioidomycosis,1,0,0
5,Dracunculus,0,0,0
6,Enterobiasis,0,0,0
7,Fasciola,1,0,1
8,Fasciolopsiasis,0,0,0
9,Filovirus,1,0,1
10,HendraVirus,1,0,0
11,Hymenolepsis,1,0,0
12,Lassa Fever,1,0,1
13,Leishmaniasis,0,0,1
14,Listeriosis,1,0,0
15,Lujo,0,0,0
16,Lymphogranuloma,0,0,0
17,Marburg Hemorrhagic Fever,1,0,1
18,NDM-1,1,0,0
19,Norovirus,1,0,1
20,Saxitoxin Poisoning,0,0,0
21,SchmallenbergVirus,0,0,0
22,Sleeping Sickness,1,0,1
23,Trachoma,0,0,0
24,Trichomoniasis,0,0,0
25,Trichuris,1,0,0
26,Tularemia,0,0,0
27,Visceral Leishmaniasis,0,0,0
28,Yaws,0,0,0
29,Yellow Fever,0,1,0
