,Disease,SVM,SSL,DNN
0,Anisakis,0,0,0
1,Ascaris,1,0,1
2,Babesiosis,1,0,1
3,Brucellosis,1,0,1
4,Buruliulcer,0,0,0
5,Chagas disease,1,0,0
6,Coccidioidomycosis,1,0,0
7,Dracunculus,0,0,0
8,Enterobiasis,0,0,0
9,Equine encephalitis,1,0,1
10,Fasciola,1,0,0
11,Fasciolopsiasis,0,0,0
12,Filovirus,1,0,1
13,Giardiasis,1,0,1
14,HendraVirus,1,0,0
15,Hymenolepsis,0,0,0
16,Kaposis Sarcoma,0,0,0
17,Lassa Fever,1,0,1
18,Leishmaniasis,0,0,0
19,Leptospirosis,1,0,1
20,Listeriosis,0,0,0
21,Lujo,0,0,0
22,Lyme disease,1,0,1
23,Lymphogranuloma,0,0,0
24,Marburg Hemorrhagic Fever,1,0,1
25,NDM-1,1,0,0
26,Onchocerciasis,1,0,1
27,Saxitoxin Poisoning,0,0,1
28,SchmallenbergVirus,0,0,0
29,Sleeping Sickness,1,0,1
30,Strongyloidiasis,0,0,0
31,Trachoma,1,0,0
32,Trichomoniasis,0,0,0
33,Trichuris,1,0,0
34,Tularemia,0,0,0
35,Visceral Leishmaniasis,0,0,0
36,West Nile Disease,0,0,0
37,Yaws,0,0,0
38,Yellow Fever,0,1,0
