,Disease,SVM,SSL,DNN
0,Anisakis,0,0,0
1,Ascaris,1,0,1
2,Buruliulcer,1,0,0
3,Chagas disease,1,0,1
4,Coccidioidomycosis,1,0,1
5,Dracunculus,0,0,0
6,Enterobiasis,0,0,0
7,Fasciola,1,0,0
8,Fasciolopsiasis,0,0,0
9,Filovirus,1,0,1
10,HendraVirus,1,0,0
11,Hymenolepsis,0,0,0
12,Kaposis Sarcoma,0,0,0
13,Lassa Fever,1,0,1
14,Leishmaniasis,0,0,0
15,Listeriosis,1,0,0
16,Lujo,0,0,0
17,Lymphogranuloma,0,0,0
18,Marburg Hemorrhagic Fever,1,0,1
19,NDM-1,1,0,0
20,Onchocerciasis,1,0,0
21,Saxitoxin Poisoning,0,0,0
22,SchmallenbergVirus,0,0,0
23,Sleeping Sickness,1,0,1
24,Trachoma,0,0,0
25,Trichomoniasis,0,0,0
26,Trichuris,1,0,0
27,Tularemia,0,0,0
28,Visceral Leishmaniasis,0,0,0
29,Yaws,0,0,0
30,Yellow Fever,0,1,1
