,Disease,SVM,SSL,DNN
0,Ascaris,1,0,1
1,Babesiosis,1,0,1
2,Brucellosis,1,0,0
3,Buruliulcer,0,0,0
4,Chagas disease,1,0,1
5,Coccidioidomycosis,1,0,0
6,Dracunculus,0,0,0
7,Enterobiasis,0,0,0
8,Equine encephalitis,1,0,1
9,Fasciola,0,0,1
10,Fasciolopsiasis,0,0,0
11,Filovirus,1,0,1
12,Giardiasis,1,0,1
13,HendraVirus,1,0,1
14,Hymenolepsis,0,0,0
15,Kaposis Sarcoma,0,0,0
16,Lassa Fever,1,0,0
17,Leishmaniasis,0,0,0
18,Leptospirosis,1,0,1
19,Listeriosis,0,0,0
20,Lujo,0,0,0
21,Lyme disease,0,0,1
22,Lymphogranuloma,0,0,0
23,Marburg Hemorrhagic Fever,1,0,1
24,NDM-1,0,0,0
25,Onchocerciasis,0,0,0
26,Rubella,1,1,1
27,Saxitoxin Poisoning,0,0,0
28,SchmallenbergVirus,0,0,0
29,Sleeping Sickness,1,0,1
30,Strongyloidiasis,0,0,0
31,Toxoplasma,1,0,1
32,Trachoma,1,0,0
33,Trichomoniasis,0,0,0
34,Trichuris,0,0,0
35,Tularemia,0,0,0
36,Visceral Leishmaniasis,0,0,0
37,West Nile Disease,0,0,0
38,Yaws,0,0,0
39,Yellow Fever,0,1,0
